,Documents,Share
1980,796,0.0006142619904557885
1981,921,0.0007162705402826352
1982,975,0.0007385317383067702
1983,1116,0.0008147620872802935
1984,1256,0.0008820119422731611
1985,1397,0.0009435567971211049
1986,1556,0.0009976827599649657
1987,1817,0.0011052311435523115
1988,1936,0.0011268930464412648
1989,2354,0.0012869893252053634
1990,2311,0.0011614168380816067
1991,2781,0.0013957970498040062
1992,2951,0.00142024808860885
1993,3184,0.0014651535949411706
1994,3553,0.001551716080940795
1995,3990,0.0016426032833128385
1996,4477,0.0017003605432798158
1997,5018,0.0018389197207832376
1998,5541,0.0019057242577615015
1999,5848,0.0019432735586197042
2000,6617,0.0018121086761309659
2001,7471,0.0020431503732420866
2002,9963,0.0023371134221341038
2003,10676,0.002361064115408177
2004,11637,0.0023681588556971754
2005,13276,0.0025280607892363563
2006,15574,0.002719463916028039
2007,16303,0.0026046963139465086
2008,18042,0.0027117720848900996
2009,18398,0.00255173688843717
2010,19040,0.00247004647034381
2011,20684,0.0024691617408378152
2012,20572,0.0023819950262017136
2013,21150,0.002326205246533212
2014,22521,0.0023427586693305523
2015,22315,0.002273605120588694
2016,23278,0.002298149504902696
2017,24721,0.002478499734163584
2018,25724,0.0025737592022347
2019,27006,0.002625408306112926
2020,30391,0.0027626923537391614
2021,33910,0.0033644901725831656
2022,33391,0.0034620074977848585
2023,34975,0.003468024565611951
2024,28167,0.0029868466133854883
