,Documents,Share
1980,49,3.781260996524327e-05
1981,70,5.4439671899874556e-05
1982,97,7.347443960590431e-05
1983,72,5.256529595356732e-05
1984,79,5.547686579584373e-05
1985,81,5.4708733405017535e-05
1986,58,3.71886889961234e-05
1987,96,5.839416058394161e-05
1988,72,4.190924552880737e-05
1989,77,4.2097781665596e-05
1990,83,4.1712504353428544e-05
1991,79,3.965047354711129e-05
1992,79,3.802087394107053e-05
1993,108,4.969742093393418e-05
1994,110,4.804074553996269e-05
1995,82,3.3757761712193675e-05
1996,112,4.2537498514036044e-05
1997,135,4.947273063087626e-05
1998,143,4.918219975814739e-05
1999,139,4.618929970043415e-05
2000,112,3.067193164979117e-05
2001,136,3.7192939467397105e-05
2002,144,3.37794171220828e-05
2003,155,3.427921861074068e-05
2004,171,3.479893136755323e-05
2005,235,4.474949423550345e-05
2006,228,3.981236502211332e-05
2007,215,3.4350101668312544e-05
2008,250,3.757582425576571e-05
2009,366,5.0762892769214275e-05
2010,344,4.462689001041337e-05
2011,409,4.882455772590729e-05
2012,452,5.233627026264703e-05
2013,549,6.0382348952564224e-05
2014,578,6.012674885098615e-05
2015,711,7.244155235216498e-05
2016,719,7.098416934552103e-05
2017,943,9.454412237839325e-05
2018,1010,0.00010105336628273392
2019,975,9.478534764349043e-05
2020,1304,0.0001185400555847411
2021,1382,0.0001371195935862558
2022,1451,0.00015044092358078014
2023,1484,0.00014714934825927478
2024,1127,0.00011950779753915736
