,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1,,,,3,,,,,,,,,,,,,1,,,,,,,1,
1981,,,,,2,1,,,,,,,,,,,,,,,,,,,,
1982,,,,,1,,,,,,,,,,,,,,,,,,,,,
1983,,,2,,,,,,,,,,,,,,,1,,,,,,,,
1984,2,,2,,,1,,,,,,,,,,,,,,,,,,,,
1985,1,,3,,,,,,,,,,,,,,,,,,,,,,,
1986,2,,,,,,,,,,,,,,,,,1,,,,,,,,
1987,3,,1,,,2,,,,,,,,,1,,1,1,,,,,,,,
1988,5,,,,,,,,,,,,,,1,,,1,,,,,,,,
1989,2,,,,2,4,,,,,,,,,,,,,,,,,,,,
1990,4,,2,1,1,3,,,,,,,,,,,1,1,,,,,,1,,1
1991,5,,,1,1,3,1,,,,,,,,,,,,,,,,,,,
1992,2,2,,,,2,,,,,,,,,,,,3,,,,,,,,
1993,13,,1,,,,,,,,,,,,,,1,1,,,,,,,,
1994,4,,1,,3,2,,,,,,,,,,,,6,,,,,,,,1
1995,3,,1,,2,,,,,,,,,,,1,,1,,,,,,,,
1996,5,,2,,,,,,,3,,,,,2,,,2,,,,,,,,
1997,7,1,,,,1,,,,,,,,,,1,,2,,,1,,,,,
1998,9,1,1,,2,,1,,,,,,,,1,1,1,4,,,1,,,,,
1999,18,2,,1,3,1,,,,2,,,1,,2,,,9,,,,,,,,
2000,9,2,1,,1,3,,,,,,,,,,,,6,,,1,,,,,
2001,11,,6,,4,2,,,,,1,,,,3,,,10,,,1,,,,,
2002,15,1,,,8,3,,,,,,,,,,,,4,,,2,,,,,
2003,17,3,1,,1,3,,1,,,,,,,2,,,8,,1,2,,,,,
2004,18,5,1,,3,2,,,,2,1,,,,5,,,11,,,1,,,,,
2005,10,3,,,,1,,,,1,,1,1,,1,,,4,,1,2,1,,,,
2006,14,1,2,,1,1,2,1,,1,,,,1,,,,11,,,2,,,,,
2007,11,3,2,,5,1,,1,,1,1,,1,,3,,,9,,,,,,,,
2008,13,8,,2,3,,,,,1,1,,1,,1,,,7,,,3,,,,,
2009,9,5,2,1,4,,1,,,,,,,,,,1,7,,1,2,,,,,
2010,13,4,1,,3,,,,,1,2,,1,,,2,,14,,,1,,1,,,
2011,12,6,1,,4,3,,,,1,,,1,1,,,,18,1,,3,,,,,
2012,13,10,2,,1,2,,1,,1,4,,,,,,,15,,,2,,1,,,
2013,14,5,1,,2,2,,1,,,1,,,,,,,10,,2,2,,,,,
2014,30,12,1,,4,1,,,,2,2,,,,,,,17,,,4,,,,,
2015,23,16,,2,1,,1,,,1,4,,1,,,1,,20,,,5,1,,,,
2016,19,23,11,3,6,1,1,,,5,2,,,,,,,23,,1,,1,1,,,
2017,17,20,4,1,8,1,1,3,,,3,,1,,1,,,16,,,6,1,,,,
2018,24,23,2,,11,2,2,2,,,2,,4,,1,,,26,,1,,3,,,,
2019,28,54,4,,9,1,1,3,,4,3,,1,,1,,,26,,1,2,3,,,,1
2020,23,22,4,,7,2,2,,,1,1,,2,3,,,,26,,2,2,2,,,,
2021,28,47,5,1,10,1,1,2,,6,4,,3,2,1,,,25,,1,3,2,,,,
2022,18,48,,2,7,,2,4,,1,1,,2,1,,,,24,,1,3,3,,,,
2023,23,42,2,,7,,3,4,,8,1,,2,1,1,,,12,,,,4,,,,
2024,26,18,2,,7,2,,1,,2,2,,,2,,,,15,,,3,,,,,
