,Documents,Share
1980,6,4.630115505948155e-06
1981,3,2.3331287957089095e-06
1982,1,7.574684495454053e-07
1983,3,2.1902206647319718e-06
1984,5,3.5111940377116286e-06
1985,4,2.7016658471613596e-06
1986,3,1.923552879109831e-06
1987,9,5.474452554744525e-06
1988,7,4.074509981967383e-06
1989,8,4.373795497724259e-06
1990,16,8.040964694636827e-06
1991,11,5.520952012888914e-06
1992,9,4.33149196797006e-06
1993,16,7.3625808791013604e-06
1994,17,7.424478856176053e-06
1995,8,3.2934401670432853e-06
1996,14,5.3171873142545055e-06
1997,13,4.764040727417714e-06
1998,22,7.5664922704842144e-06
1999,39,1.2959587685733322e-05
2000,23,6.298700249510687e-06
2001,38,1.0392144851184486e-05
2002,33,7.741116423810641e-06
2003,39,8.625093714960557e-06
2004,50,1.0175126130863519e-05
2005,27,5.141431252589758e-06
2006,37,6.46077853429032e-06
2007,39,6.230948674717159e-06
2008,40,6.012131880922514e-06
2009,33,4.576982134929156e-06
2010,44,5.708090582727292e-06
2011,51,6.088147784893085e-06
2012,52,6.020986844375322e-06
2013,40,4.399442546634916e-06
2014,75,7.801913778242149e-06
2015,78,7.947174519646791e-06
2016,97,9.576445655793518e-06
2017,83,8.321486911353807e-06
2018,106,1.0605600817791876e-05
2019,144,1.3999066728884741e-05
2020,102,9.272304961383122e-06
2021,145,1.438664332127865e-05
2022,117,1.2130660274949191e-05
2023,111,1.1006453946616914e-05
2024,80,8.4832509344566e-06
