,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,1,,,,,,,,,,,,,,,,,,,,,,,,
1981,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,
1982,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,
1983,1,2,1,,,,,,,,,,3,,,,,,,,,,,,,1
1984,,1,,,,,,,,,,,1,,,,,,,,,,,,,
1985,,2,,,,1,,,,,1,,1,,,,,,,,,,,,,
1986,,4,1,,,,,,,,,,1,,,,,,,,,,,,,
1987,2,2,3,,1,,,,,,,,,,,1,,,,,,,,,,
1988,2,2,,,,,,1,,,,,,,1,,,,,,,,,,,
1989,,2,,,1,,,1,,,,,,,1,,,,,,,,,,,
1990,1,2,2,,1,,,,,,,,,,,,,,,,,,,,,
1991,,1,1,,,1,,1,,,,,1,,,,1,,,,,,,,,
1992,,,,1,,,,,,,,,,,1,,,,,,,,,,,
1993,2,1,1,,1,2,,,,,,,,,,,,,,,,,,,,
1994,1,2,2,2,,,1,,1,,,,,,,,,,1,,,,,,,
1995,1,,,,,1,,,1,,,1,2,,,,,,,,,,,,,
1996,3,2,2,,1,,,,,,,,,,,,,,,,,,,,,
1997,1,1,2,2,5,,,,,,2,,,,,,,,,,,,,,,
1998,1,,5,1,2,,,,,1,,,,,,,,,,,,,,,,
1999,3,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,
2000,1,1,1,,3,,,1,,1,1,1,1,,,,,,,,,,,,,
2001,1,,1,1,3,,,1,,1,,,,,,,2,,,,,,,,,
2002,1,1,2,,2,2,,,,,,,,,1,,1,,,,,,,,1,
2003,1,3,,,,,,,,,,,,,,,,,,,,,,,1,
2004,2,,,1,1,1,,,,,,1,1,,,,,,,,,,,,2,
2005,1,5,1,,7,2,1,,1,,1,,1,1,,,2,,,1,,,,,3,
2006,2,1,,,3,,,1,,,,2,2,,,,,1,,,,,,,,
2007,5,2,1,1,3,1,,,,3,1,,,,,,,,,,,,,,1,
2008,1,3,1,,3,,,2,,,,,1,,,,4,,,,,,,,,
2009,9,4,2,2,2,,,,,1,1,,,,,,1,,,,,,,1,1,
2010,9,7,2,1,2,1,1,,,,1,,1,1,,,5,,,,,,,,1,
2011,5,10,1,,1,,5,1,,1,3,1,4,2,,,1,,,,,1,,,2,
2012,12,5,3,1,4,,1,,,,,,4,3,,,2,1,,,,,,,,
2013,8,5,1,2,7,,3,1,2,,,1,2,2,1,,3,,,,1,1,1,,2,
2014,6,5,4,2,4,1,1,1,,,1,,2,1,2,,5,,,,,1,,,,
2015,17,8,14,,11,1,,2,,1,,,,1,,1,1,2,,,,,,,,
2016,33,7,11,1,16,4,3,5,,5,,,5,6,,1,2,,,,,,,,,
2017,25,19,14,4,12,4,4,5,2,8,3,,6,4,1,,1,,,1,2,5,,1,,1
2018,26,13,9,2,12,5,3,4,1,9,4,,6,9,5,3,4,3,,1,4,,,,,
2019,49,22,23,3,19,4,3,4,1,6,,,4,16,3,5,1,1,1,,2,2,,,,
2020,32,20,11,4,26,5,6,9,1,4,4,,1,3,3,,1,2,,2,1,,,3,,
2021,58,23,16,3,21,10,5,6,2,4,2,,6,10,3,,4,3,,2,4,1,2,2,1,
2022,55,27,18,5,23,3,5,15,2,13,,,13,9,1,,3,2,2,4,5,6,2,1,,
2023,79,42,28,6,23,7,8,17,3,20,,2,14,16,2,,1,4,1,4,5,4,5,1,,
2024,65,45,22,13,33,1,9,14,5,12,,2,14,16,5,,5,4,2,,6,7,1,3,4,
