,Documents,Share
1980,60,4.6301155059481554e-05
1981,55,4.277402792133001e-05
1982,31,2.3481521935907564e-05
1983,24,1.7521765317855774e-05
1984,35,2.45783582639814e-05
1985,46,3.1069157242355635e-05
1986,51,3.270039894486713e-05
1987,59,3.588807785888078e-05
1988,23,1.3387675655035686e-05
1989,25,1.366811093038831e-05
1990,26,1.3066567628784845e-05
1991,66,3.312571207733348e-05
1992,33,1.5882137215890222e-05
1993,43,1.9786936112584906e-05
1994,34,1.4848957712352105e-05
1995,58,2.3877441211063817e-05
1996,49,1.861015559989077e-05
1997,78,2.8584244364506284e-05
1998,66,2.2699476811452643e-05
1999,63,2.093471856926152e-05
2000,61,1.670524848783269e-05
2001,52,1.4220829796357718e-05
2002,77,1.8062604988891497e-05
2003,74,1.6365562433514902e-05
2004,81,1.64837043319989e-05
2005,87,1.6566834036122552e-05
2006,90,1.5715407245571048e-05
2007,76,1.2142361519961643e-05
2008,105,1.57818461874216e-05
2009,121,1.678226782807357e-05
2010,140,1.8162106399586837e-05
2011,154,1.8383818801441864e-05
2012,397,4.596791879263467e-05
2013,241,2.6506641343475367e-05
2014,302,3.141570614705505e-05
2015,669,6.816230453389363e-05
2016,321,3.169112428360535e-05
2017,324,3.248387661781486e-05
2018,434,4.342293165020447e-05
2019,645,6.27041530564629e-05
2020,757,6.881504760555906e-05
2021,743,7.371914474282783e-05
2022,731,7.579070650416973e-05
2023,847,8.398618461968042e-05
2024,654,6.935057638918271e-05
