,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1,1,,,,,,1,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,1,,,,,,,,,,,,,,,,,,,,1,,,,,
1984,1,2,,,,,,,,,,,,,,,,1,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,3,,,,1,,,,,,,,,,,,,,,,,,,,,
1987,,,1,,,,,,,,,,,,,,,,,,,,,,,
1988,2,,,,,,,,,,,,,,,,,,,,2,,,,,
1989,2,1,,,,,,,,,,,,,1,,,,,,,,,,,
1990,1,,2,,,,,,,,,,,,,,,,,,,,,,,
1991,3,,1,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,1,,,,,,,,,,,1,,,1,,,,,,,,
1993,2,2,,,,,,,,,,,,,,,,,,,,,,,,
1994,1,,,,,,,,,,,,,,,,,1,,,,,,,,
1995,2,,,1,,,,,,,,,,,,,,,,,,,,,,
1996,1,2,3,,,,,,,,1,,,1,,,,,,,,,,,,
1997,1,,,,,,,,,,,,,,,,,,,,,,,,,
1998,2,,,,,,,,,,,,,,,,,,,,,,,,,
1999,2,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2,1,,,2,,,,,,,,,1,,,,2,,,,,,,,
2001,4,,1,,,,,,,,,,,,,,,1,,,,,,,,
2002,1,3,,1,2,,,,,,,,,,1,,,1,,,,,,,,
2003,3,,1,,,,,,,3,,,,,,,,,,,,,,,,
2004,4,1,,,,,,,,1,,,,,,,,,,,,,,,,
2005,5,2,1,1,,,,,,,,,,,,,,1,,,,,1,,,
2006,5,,,1,,1,,,,,,,,1,,,1,5,,,,,,,,
2007,6,5,1,2,2,1,,,,1,1,,,,,,,2,,,,,,,,1
2008,10,2,,,4,1,,,,1,,,2,,,,,,,,,,,,,
2009,13,,,2,5,,,,,2,1,,2,,,,,2,,,1,,,,,
2010,9,2,3,1,,1,,1,,2,2,,1,,3,,,1,,,1,,,,,
2011,4,3,1,1,3,3,,1,,,,,2,,3,,,2,,,,,,,,
2012,14,7,5,,2,2,,2,,1,4,,,,2,,,,,,3,,,,,
2013,18,2,2,,3,4,,4,,2,3,,2,,1,,,6,,1,3,,1,,,
2014,23,14,6,2,1,6,,1,1,4,2,,2,1,1,,,,,1,4,,,,,
2015,46,6,3,,1,1,1,5,,8,1,,,1,3,,,3,,,1,1,1,,,
2016,31,11,4,2,,7,,6,,3,,,3,3,2,,,3,,,2,1,1,,,
2017,37,13,4,,,2,1,2,,5,1,,,2,1,1,,10,,2,2,,,,,
2018,48,5,3,1,2,5,1,2,,2,4,,2,4,7,,,7,,,,,1,,,
2019,54,23,8,1,3,7,5,3,,3,6,,1,4,2,,,4,,,3,,,,,
2020,48,31,11,3,5,15,1,3,,6,4,,1,8,11,1,,6,,1,,2,,,,
2021,66,27,11,2,8,9,2,1,,2,5,,4,4,8,2,,6,,1,4,1,1,,,
2022,83,14,3,1,17,8,1,6,1,8,2,,10,1,12,,,3,1,1,8,,,,,
2023,57,29,24,2,14,5,1,8,2,6,9,,5,5,12,,,5,2,1,4,1,,,,
2024,59,22,25,5,11,2,,3,2,9,3,,,8,3,1,,4,,,2,,,,,
