,Documents,Share
1980,3,2.3150577529740774e-06
1981,,
1982,,
1983,2,1.4601471098213146e-06
1984,4,2.8089552301693025e-06
1985,,
1986,5,3.2059214651830518e-06
1987,1,6.08272506082725e-07
1988,4,2.328291418267076e-06
1989,4,2.1868977488621297e-06
1990,3,1.507680880244405e-06
1991,4,2.0076189137777867e-06
1992,3,1.4438306559900203e-06
1993,4,1.8406452197753401e-06
1994,2,8.734681007265945e-07
1995,4,1.6467200835216426e-06
1996,8,3.0383927510025746e-06
1997,1,3.6646467133982413e-07
1998,3,1.0317944005205746e-06
1999,2,6.645942402940165e-07
2000,8,2.1908522606993694e-06
2001,7,1.914342472586616e-06
2002,9,2.111213570130175e-06
2003,7,1.5480937437108691e-06
2004,6,1.2210151357036222e-06
2005,11,2.0946571769810125e-06
2006,14,2.4446189048666077e-06
2007,22,3.5148941241994228e-06
2008,20,3.006065940461257e-06
2009,28,3.883499993273224e-06
2010,29,3.762150611342988e-06
2011,23,2.745635275540019e-06
2012,42,4.863104758918529e-06
2013,52,5.719275310625391e-06
2014,70,7.2817861930260044e-06
2015,82,8.35472193091073e-06
2016,79,7.799373266058639e-06
2017,83,8.321486911353807e-06
2018,95,9.50501960085121e-06
2019,128,1.244361487011977e-05
2020,158,1.436298219508366e-05
2021,166,1.6470226147119006e-05
2022,181,1.876623512620345e-05
2023,194,1.923650509588902e-05
2024,163,1.7284623778955324e-05
