,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,332,17,106,174,49,229,58,15,136,9,20,156,7,5,20,118,212,22,7,55,12,10,7,21,21,9
1981,393,27,130,188,28,263,74,10,118,9,13,217,14,3,24,140,191,32,4,88,19,9,1,14,24,11
1982,351,18,130,192,50,224,60,10,118,6,14,183,6,1,25,102,239,32,10,94,11,11,9,21,19,12
1983,317,27,118,197,41,241,65,10,90,11,9,171,13,2,26,113,225,34,9,116,8,15,6,22,17,8
1984,386,28,112,239,39,281,87,22,129,9,13,218,15,5,25,103,241,32,7,99,16,15,3,25,23,13
1985,398,16,151,211,51,273,86,23,126,8,10,220,15,7,27,148,247,44,9,112,10,11,14,19,18,7
1986,427,35,129,233,58,319,102,31,127,15,13,238,26,3,29,142,242,35,11,134,25,19,1,22,31,7
1987,592,58,143,261,44,333,122,21,164,9,17,293,27,6,36,123,328,46,7,138,18,18,4,27,27,8
1988,592,76,138,258,60,380,119,16,164,16,24,313,18,6,27,146,314,50,7,130,25,24,4,29,29,11
1989,620,71,183,279,58,384,128,29,141,16,23,324,35,10,36,119,304,61,8,141,21,25,9,20,40,7
1990,836,87,144,251,74,402,123,21,176,29,35,290,25,12,52,161,323,70,13,123,24,21,17,50,25,12
1991,794,78,139,282,61,355,153,30,171,22,32,318,24,11,45,147,303,62,13,163,17,17,17,29,25,4
1992,788,94,144,272,84,363,163,28,158,21,31,264,26,9,59,164,325,70,3,147,26,23,11,24,21,8
1993,684,100,163,322,87,383,184,25,179,25,37,322,27,18,56,190,330,60,5,135,22,15,9,27,33,6
1994,754,104,195,330,103,370,159,32,168,30,37,410,30,12,49,148,335,58,8,157,22,20,7,34,32,16
1995,718,127,206,326,118,357,169,38,186,25,46,386,38,16,70,164,334,57,10,141,16,23,9,31,23,17
1996,867,151,224,373,107,415,210,39,185,36,63,415,36,21,72,176,379,49,12,180,25,25,5,25,26,9
1997,986,157,203,433,129,467,200,43,189,30,105,502,39,17,70,216,407,98,17,182,19,33,16,34,40,14
1998,979,133,253,414,147,553,213,48,224,31,73,502,36,22,70,210,386,84,8,194,32,27,15,35,38,15
1999,884,153,254,465,139,586,227,40,253,38,70,511,63,29,100,214,426,94,14,198,21,30,21,26,34,18
2000,1129,196,389,544,161,603,280,57,288,39,115,539,83,30,101,210,412,80,18,211,38,25,17,24,34,7
2001,1254,188,362,522,163,633,308,67,280,39,101,654,57,45,113,268,453,102,14,234,35,39,22,31,47,14
2002,1313,261,424,850,206,661,692,71,343,45,145,655,97,62,112,290,434,95,17,240,38,50,22,30,37,11
2003,1346,300,451,867,233,783,586,75,360,42,134,674,116,64,113,270,488,99,27,253,40,50,20,39,38,12
2004,1636,320,423,721,243,799,495,103,374,50,138,655,118,42,141,305,464,113,27,247,34,41,26,43,32,13
2005,1625,394,618,848,253,873,636,119,443,62,204,754,149,74,160,329,458,115,20,291,50,42,20,50,39,13
2006,1787,425,665,861,330,860,679,126,388,69,228,718,133,98,171,293,421,127,13,323,45,67,25,49,36,17
2007,1840,513,710,947,332,891,705,129,426,81,187,729,147,95,206,302,448,134,30,313,61,77,25,54,40,24
2008,1869,597,682,979,353,895,733,160,403,80,273,744,143,113,178,322,445,159,32,308,66,65,24,41,32,14
2009,1929,730,689,1016,375,934,746,198,422,95,279,719,177,134,206,383,422,149,29,318,55,61,29,50,46,23
2010,1974,791,833,1066,424,885,726,190,427,93,281,740,187,166,267,355,389,123,34,299,54,82,19,61,38,24
2011,2224,906,773,1181,435,974,842,210,411,91,355,826,213,222,219,321,406,151,52,383,53,103,23,60,41,25
2012,2259,957,834,1249,469,1080,871,238,472,100,360,793,227,229,256,326,397,163,49,386,66,90,42,64,30,21
2013,2315,1107,781,1356,475,1092,866,243,436,144,437,849,242,220,219,356,397,189,62,388,56,99,30,69,43,23
2014,2477,1395,900,1477,601,1177,882,305,507,153,436,1038,318,264,355,388,448,186,81,350,68,118,34,65,51,27
2015,2613,1459,978,1524,641,1128,906,369,469,179,545,1089,319,260,412,359,493,179,82,430,69,112,32,79,36,29
2016,2740,1694,1010,1485,628,1185,840,364,473,222,487,962,338,336,294,393,450,187,106,402,61,110,35,78,73,30
2017,2760,1955,1003,1531,654,1145,768,440,510,176,607,976,301,338,302,440,407,194,80,381,77,115,36,64,34,38
2018,2952,2209,1044,1914,667,1189,995,424,522,277,570,968,389,356,342,373,375,228,96,406,85,127,57,66,60,39
2019,3249,2484,1156,1984,824,1547,1035,516,489,282,656,1075,377,454,345,431,459,223,113,376,69,137,53,82,46,31
2020,3505,3330,1389,2209,1005,1379,1024,619,568,341,766,979,474,547,432,428,398,208,146,450,86,182,84,97,44,28
2021,3622,3759,1448,2287,1089,1444,1207,761,594,313,920,946,489,542,509,468,372,231,153,486,81,188,83,97,62,37
2022,3918,3925,1526,2452,1198,1447,1285,874,563,368,874,965,604,575,500,486,375,238,177,443,90,222,97,106,46,47
2023,4031,4229,1584,2680,1330,1463,1292,788,601,381,892,1049,553,632,489,452,370,241,218,471,104,208,113,95,32,75
2024,3488,2946,1299,2137,1063,1273,1081,678,484,363,637,773,436,514,391,408,281,237,151,310,77,171,103,79,41,40
