,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,31,,14,30,9,10,2,,18,2,,12,,,4,,28,3,2,1,2,3,2,1,,1
1981,18,1,14,27,13,7,4,,16,4,3,6,,,4,1,15,3,,4,,1,1,3,7,1
1982,18,,13,32,9,7,6,3,14,3,,6,,,1,1,16,4,2,1,2,,4,5,2,
1983,22,2,14,39,8,8,8,1,18,2,,6,,,4,1,14,2,1,1,1,2,1,2,4,2
1984,18,1,12,21,1,11,15,,13,,,6,,,4,,20,1,3,1,,,,2,6,1
1985,14,1,14,47,13,10,13,1,11,,4,3,,3,4,1,23,,,4,1,1,1,1,4,
1986,30,,14,45,10,15,8,,15,,,13,1,,7,,18,1,4,3,1,,2,1,6,4
1987,25,,29,44,18,14,8,,12,,1,7,1,,2,1,32,5,2,1,,,1,,5,11
1988,38,2,27,54,17,14,14,1,23,1,3,11,1,,9,2,29,2,3,,3,2,,3,3,1
1989,37,4,41,40,10,16,9,,24,1,1,14,,1,5,2,38,8,5,7,,1,,7,5,5
1990,40,4,38,48,15,7,13,1,17,,2,10,2,,4,4,30,4,6,3,2,,3,9,6,7
1991,12,1,10,17,5,12,4,3,10,,1,9,,1,1,1,22,3,1,3,2,,2,4,1,2
1992,23,,13,11,4,8,1,2,8,2,,4,,,2,,18,,3,2,,,,5,3,5
1993,13,1,9,15,5,4,5,1,7,4,,3,,,2,2,22,3,1,2,,,2,7,1,3
1994,19,2,14,17,6,6,1,,11,,3,1,,,3,1,10,5,2,3,,,2,1,2,1
1995,15,,7,16,4,9,1,1,1,,1,,,,2,,17,,,2,,,,2,,1
1996,9,,23,12,6,4,3,,6,2,,,,,1,,9,1,1,3,2,,,1,5,5
1997,12,1,7,12,3,5,1,,1,1,1,,,,2,1,10,,,2,,,,,,1
1998,15,1,4,12,4,5,3,,2,,,1,1,,2,,4,1,,,1,1,,1,,
1999,27,14,14,11,6,4,7,,4,1,8,1,2,,2,1,13,4,1,1,3,,1,,2,2
2000,35,4,15,29,11,11,2,2,4,2,1,1,1,,1,,5,4,,1,,,3,1,4,1
2001,22,2,16,11,7,8,,1,4,1,1,6,1,1,1,2,11,2,2,2,2,,,,2,1
2002,38,5,13,38,6,10,15,,6,1,3,5,1,2,,,6,8,1,3,2,,1,2,3,1
2003,38,,14,26,7,4,10,3,1,3,1,7,,,4,2,5,1,1,2,2,,16,1,2,1
2004,28,2,17,22,3,7,10,1,2,3,4,4,2,,5,,11,6,1,13,4,,18,1,2,
2005,132,9,55,127,16,17,40,11,10,16,2,8,2,6,9,4,16,6,,14,13,3,36,4,3,
2006,149,24,55,186,31,21,54,8,15,20,4,8,6,2,4,,20,10,1,19,8,6,39,5,1,2
2007,169,8,75,215,40,15,80,6,17,23,1,13,6,6,5,3,25,17,3,25,3,2,17,5,7,1
2008,254,31,96,295,42,46,89,12,32,27,12,22,20,8,9,5,44,11,4,55,7,7,29,9,11,4
2009,274,36,92,423,92,48,128,5,58,33,12,30,8,12,25,12,72,21,13,52,10,10,37,9,14,5
2010,373,35,160,581,110,69,212,11,99,56,16,44,9,15,21,14,68,29,16,88,14,18,42,18,8,5
2011,456,65,162,529,98,85,189,27,111,52,28,54,7,11,25,9,73,40,18,72,18,16,76,15,12,6
2012,620,69,233,716,160,152,274,39,162,45,35,93,9,18,47,13,112,53,34,82,27,33,77,15,15,33
2013,719,82,222,1016,236,192,355,62,281,64,48,106,15,23,64,17,173,42,35,122,32,33,49,26,24,14
2014,708,121,252,1018,241,156,377,60,276,80,66,90,16,30,47,31,146,70,54,108,27,40,62,43,25,8
2015,756,176,277,1121,213,184,406,81,319,97,110,103,31,48,55,36,180,74,79,95,31,35,72,36,27,9
2016,944,232,385,1386,292,240,538,104,347,98,180,123,53,65,80,35,196,82,81,143,40,46,73,36,31,14
2017,1413,338,664,1924,420,395,754,135,439,139,218,134,84,126,81,61,214,138,109,167,55,76,84,97,38,24
2018,1799,517,699,2854,552,475,956,158,601,207,281,159,103,190,124,87,298,127,164,181,68,110,148,86,54,15
2019,2245,712,1006,3537,835,662,1441,219,947,277,395,347,155,351,178,128,446,208,256,393,119,174,136,118,71,35
2020,3073,922,1004,4773,1045,719,1848,360,1043,438,439,334,173,346,221,174,510,255,321,654,103,240,276,120,75,35
2021,3187,1140,1607,5612,1420,902,2438,362,1375,491,639,343,304,442,260,178,591,273,464,865,131,316,255,137,111,47
2022,4980,1637,1920,5787,1499,1358,2806,600,1435,725,828,391,369,606,310,291,859,484,518,830,196,371,393,192,92,55
2023,5239,2015,2646,6571,1771,1625,3088,639,1631,701,950,428,417,717,319,339,897,477,583,748,238,358,515,239,99,54
2024,4379,994,1619,5734,1383,1291,2562,378,1282,520,476,348,203,566,250,331,699,368,519,496,199,264,382,165,65,39
