,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,32,9,25,45,7,9,10,3,12,1,1,25,1,2,6,6,20,6,3,6,4,2,3,4,,2
1981,26,9,19,28,4,15,5,4,10,3,1,9,3,2,10,5,16,2,2,10,4,1,4,2,,
1982,16,7,10,22,9,9,7,,3,4,1,,2,1,7,,12,2,1,5,1,1,2,2,,3
1983,20,8,5,15,1,11,1,,6,1,,7,1,1,10,,21,,,2,3,2,3,1,1,
1984,15,9,8,15,4,14,6,4,4,1,1,5,,,5,,20,4,,1,1,,2,1,,
1985,64,12,6,20,3,9,5,3,9,,1,7,2,,4,2,12,,1,9,,1,,1,,2
1986,25,8,4,31,5,18,10,3,9,1,1,15,3,2,6,4,24,1,4,7,2,3,5,2,1,
1987,44,10,9,28,5,19,6,1,12,1,3,11,2,,9,2,21,1,5,6,3,2,5,2,1,1
1988,64,15,25,47,5,14,13,2,10,5,7,13,2,,9,6,19,1,2,6,,1,1,1,2,1
1989,47,17,20,42,5,14,4,5,6,,1,8,,2,3,3,29,,1,6,2,3,1,5,3,1
1990,48,19,29,55,4,20,7,9,5,4,6,19,3,2,5,2,35,5,2,8,1,4,1,2,3,2
1991,67,16,21,72,7,20,14,3,16,5,5,14,1,1,3,6,39,9,2,5,1,2,,6,7,5
1992,54,12,24,82,9,24,7,11,7,6,3,18,7,,6,7,45,4,2,15,1,7,4,,2,4
1993,105,20,32,91,10,33,7,7,19,7,12,23,4,4,10,3,32,12,3,18,2,7,3,1,5,2
1994,91,42,41,123,13,34,20,8,31,9,8,26,3,3,11,9,47,6,1,16,3,4,1,2,4,7
1995,149,33,51,135,14,36,23,7,19,6,10,34,2,6,13,7,67,6,1,31,4,4,,6,4,6
1996,190,30,59,124,35,67,27,10,31,6,11,51,6,4,11,25,95,14,2,26,5,11,2,9,11,3
1997,155,57,56,174,31,47,44,22,30,10,15,54,7,5,21,12,114,12,5,34,4,6,1,7,8,4
1998,204,29,72,186,43,69,27,14,49,8,13,87,8,7,12,14,168,22,5,41,10,3,3,7,27,9
1999,207,32,88,242,40,76,57,19,78,12,24,89,22,16,22,28,339,18,3,55,4,14,7,18,24,6
2000,336,62,147,360,52,121,64,57,101,15,25,149,10,7,25,44,302,17,6,69,6,17,20,12,47,6
2001,360,86,185,366,65,99,83,36,111,29,17,152,8,10,32,23,401,21,5,87,13,14,10,18,73,4
2002,527,85,217,842,76,147,296,54,146,40,40,235,10,20,48,49,523,25,8,135,9,31,24,28,86,14
2003,802,105,310,1067,93,246,284,61,251,40,49,247,17,18,74,64,665,50,13,167,23,42,16,36,125,16
