,Documents,Share
1980,246,0.00018983473574387435
1981,198,0.00015398650051678804
1982,131,9.92283668904481e-05
1983,123,8.979904725401084e-05
1984,122,8.567313452016373e-05
1985,176,0.00011887329727509983
1986,197,0.00012631330572821225
1987,215,0.00013077858880778588
1988,278,0.0001618162535695618
1989,237,0.00012957369162008118
1990,305,0.0001532808894915145
1991,354,0.00017767427386933412
1992,364,0.00017518478626012246
1993,480,0.00022087742637304082
1994,571,0.0002493751427574427
1995,679,0.00027953073417779885
1996,872,0.00033118480985928065
1997,956,0.0003503402258008719
1998,1151,0.0003958651183330605
1999,1557,0.0005173866160688919
2000,2096,0.0005740032923032348
2001,2352,0.0006432190707891029
2002,3739,0.0008770919487463027
2003,4935,0.0010914060893161628
2004,6681,0.0013596003536059833
2005,8904,0.001695529773076267
2006,12828,0.00223996937940206
2007,16112,0.0025741806422318685
2008,20833,0.0031312685868814683
2009,24786,0.0034377296726167896
2010,31275,0.004057284840336274
2011,42285,0.005047790766356943
2012,48646,0.005632633192913113
2013,53482,0.005882274656978215
2014,61755,0.006424095805004584
2015,67961,0.006924332404227122
2016,75540,0.007457780462254045
2017,80451,0.00806592703018464
2018,85325,0.008537008394132942
2019,92061,0.008949778348110126
2020,104381,0.009488749648765997
2021,103916,0.010310361568096497
2022,88959,0.009223345362386368
2023,81816,0.008112648973841527
2024,66416,0.00704279492578587
