,Documents,Share
1980,47,3.6269238129927216e-05
1981,58,4.5107156717038916e-05
1982,80,6.059747596363242e-05
1983,74,5.4025443063388636e-05
1984,60,4.213432845253954e-05
1985,68,4.5928319401743116e-05
1986,98,6.283606071758781e-05
1987,97,5.900243309002433e-05
1988,108,6.286386829321105e-05
1989,155,8.474228776840753e-05
1990,171,8.593781017393109e-05
1991,184,9.235047003377818e-05
1992,186,8.951750067138126e-05
1993,216,9.939484186786836e-05
1994,226,9.870189538210517e-05
1995,262,0.00010786016547066759
1996,302,0.0001146993263503472
1997,290,0.000106274754688549
1998,323,0.00011108986378938187
1999,308,0.00010234751300527854
2000,407,0.00011145960876308041
2001,459,0.00012552617070246523
2002,546,0.0001280802899212306
2003,578,0.00012782831198069748
2004,617,0.00012556105645485582
2005,668,0.00012720281765666512
2006,765,0.0001335809615873539
2007,826,0.0001319682975722147
2008,980,0.00014729723108260158
2009,1122,0.0001556173925875913
2010,1310,0.00016994542416756255
2011,1406,0.00016784187814822897
2012,1466,0.0001697455137279658
2013,1570,0.00017267811995542044
2014,1710,0.00017788363414392096
2015,1869,0.00019042652791307504
2016,1977,0.00019518178413921428
2017,2099,0.00021044338586664627
2018,2210,0.00022111677176717023
2019,2414,0.00023467879919116503
2020,2621,0.00023826187552730552
2021,2894,0.00028713755704676145
2022,2885,0.0002991192725916959
2023,3093,0.0003066933518638389
2024,2436,0.0002583149909542035
