,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,11,3,3,4,1,2,4,1,5,1,1,,,,1,,5,,,1,,,,,1,
1981,10,3,4,12,3,1,2,,1,,2,4,1,,3,,2,,,3,,2,,1,1,
1982,12,5,3,15,,3,5,2,3,,,6,,1,2,,3,,,2,1,1,,,1,
1983,18,1,2,13,3,6,1,3,5,1,1,8,,,2,,6,,1,4,,2,,,3,1
1984,11,12,11,12,4,4,3,3,8,3,5,10,,1,7,,7,1,,,,2,1,,,
1985,15,8,13,15,5,3,3,5,2,4,3,4,,,7,1,15,,1,5,1,1,,4,4,1
1986,29,9,16,37,8,7,7,4,9,3,6,6,3,,3,2,16,1,5,8,2,1,,2,3,1
1987,25,8,8,64,3,11,8,6,7,2,3,21,,,8,1,31,1,5,5,2,4,1,2,4,2
1988,63,8,15,54,7,17,10,3,12,3,3,13,1,1,9,3,34,1,7,11,1,2,,4,12,
1989,40,21,13,59,11,14,4,2,16,1,11,3,,5,4,1,44,1,5,8,2,2,2,8,3,1
1990,42,8,14,70,8,20,8,1,12,4,1,9,1,,7,2,41,2,10,4,3,5,1,2,3,4
1991,33,5,23,56,4,15,12,3,16,7,3,6,,1,4,1,27,1,5,6,1,3,,3,2,1
1992,38,9,18,42,7,8,4,6,8,5,5,9,,1,9,3,21,3,10,12,1,1,,2,4,1
1993,45,11,9,58,7,11,11,3,10,1,3,10,,,6,2,15,2,8,11,,2,1,,1,1
1994,43,14,26,61,10,15,15,,8,6,7,14,,2,6,1,16,4,8,13,2,2,4,1,,
1995,54,7,30,70,15,19,11,6,16,6,6,10,2,4,7,3,17,1,8,9,1,5,5,3,3,
1996,60,11,63,63,25,23,14,4,14,5,6,15,,2,8,1,25,3,9,11,6,1,5,2,6,2
1997,70,12,26,79,22,23,13,3,13,8,3,13,4,3,4,1,37,6,10,16,,3,8,6,5,
1998,89,8,43,114,24,26,24,6,23,9,7,16,1,5,10,1,19,5,11,10,8,1,12,7,4,1
1999,118,15,39,112,35,23,22,4,18,6,8,13,4,8,11,4,39,3,9,14,5,4,9,8,2,2
2000,124,9,38,109,31,43,25,8,19,5,7,23,2,5,19,6,35,6,9,20,2,9,7,5,6,1
2001,114,19,49,114,34,28,23,3,15,12,7,26,2,4,13,1,33,5,7,20,4,7,13,8,6,1
2002,125,18,60,180,53,34,58,2,32,13,5,38,4,11,15,6,36,6,4,37,3,9,23,6,7,1
2003,116,19,72,177,57,38,54,4,31,9,11,36,13,12,18,8,41,6,12,36,6,13,17,7,8,4
2004,150,27,52,185,57,37,65,6,24,22,15,39,11,13,18,7,46,6,11,44,9,5,18,7,3,4
2005,153,30,62,215,57,44,116,17,43,21,14,45,16,20,21,7,63,9,11,50,6,11,26,10,4,1
2006,187,34,73,237,85,54,148,16,46,25,12,47,12,30,36,10,48,5,9,64,5,23,46,15,7,1
2007,221,49,84,239,102,58,144,10,64,17,16,43,19,16,28,10,76,20,18,83,7,13,24,13,12,4
2008,272,70,82,265,105,79,203,17,45,34,17,53,6,43,27,11,79,20,18,59,8,15,37,15,15,5
2009,296,89,81,296,113,86,240,35,58,46,12,72,19,41,25,10,86,19,21,88,14,29,42,8,9,5
2010,363,112,123,331,111,102,321,28,73,48,45,57,24,83,29,13,73,19,17,68,15,44,44,19,14,3
2011,385,165,100,342,99,90,366,54,80,42,63,70,24,103,32,14,80,17,19,111,11,51,40,12,6,1
2012,499,206,121,403,117,105,382,66,96,69,66,74,35,159,40,16,86,21,26,134,18,68,30,25,9,3
2013,495,359,118,420,126,117,468,105,100,99,107,55,35,189,43,37,75,31,24,137,24,59,57,23,11,5
2014,621,374,146,394,155,131,488,112,91,114,106,70,70,230,48,43,96,26,34,118,21,82,36,26,8,4
2015,585,358,133,412,128,143,567,100,136,83,138,61,70,257,45,32,77,29,42,97,22,82,64,32,15,8
2016,618,317,130,499,134,139,683,139,122,88,87,68,64,245,48,22,60,22,27,155,18,94,42,36,9,5
2017,805,380,151,615,161,162,757,157,127,124,128,78,50,257,40,48,86,26,45,132,19,87,51,31,9,2
2018,929,426,171,746,175,232,897,187,143,150,124,78,60,378,57,45,91,42,71,168,34,109,66,54,19,4
2019,1183,596,209,920,217,235,1061,235,186,210,183,92,82,426,45,77,94,32,72,213,30,139,80,57,8,6
2020,1806,803,219,1061,217,260,1095,374,237,232,176,83,136,460,77,84,124,56,75,261,41,148,103,85,14,7
2021,1994,711,274,1117,310,323,1094,441,335,248,239,95,150,430,30,88,135,65,106,353,48,186,96,72,24,7
2022,2308,1068,302,1417,348,398,1490,475,457,312,279,147,250,582,55,105,147,108,128,402,53,233,80,74,20,8
2023,2716,1150,377,1556,375,428,1871,510,506,363,273,156,277,766,71,126,162,117,169,506,67,287,110,78,20,3
2024,2913,924,332,1524,377,462,1593,514,464,324,242,147,218,694,57,174,185,105,109,366,79,233,117,84,10,11
