,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,60,15,64,4,30,22,3,3,,1,3,6,2,1,8,6,2,8,,8,1,1,,,1,2
1981,66,9,75,14,25,38,2,6,5,1,3,5,4,,8,4,4,30,1,1,1,,,1,1,1
1982,57,24,55,11,30,35,1,8,2,2,4,7,2,,13,8,4,16,2,2,4,,,1,,2
1983,83,28,89,14,30,20,1,8,3,4,2,9,1,2,6,6,4,22,1,,2,,,,,3
1984,68,22,60,12,31,27,1,11,3,3,5,5,6,2,6,6,4,24,,2,6,2,,,,
1985,80,27,85,4,19,20,3,13,5,3,2,10,5,,6,4,2,26,,5,6,5,,1,,3
1986,82,18,67,11,31,27,4,12,2,6,3,2,3,,6,7,3,24,1,3,6,3,2,2,,2
1987,101,35,80,12,35,22,3,15,5,6,2,3,3,1,6,3,5,44,,1,2,2,,3,,3
1988,107,25,75,15,35,30,3,12,3,1,4,4,5,1,11,3,5,26,2,5,6,1,4,,,2
1989,110,33,83,19,37,24,3,12,5,4,3,5,12,,10,4,5,29,,3,7,2,7,1,1,
1990,153,30,113,23,46,30,7,6,7,16,4,1,5,2,9,6,5,25,2,8,7,1,5,3,,2
1991,143,21,84,18,42,31,6,14,5,9,5,4,10,3,10,8,3,40,,2,2,1,11,2,1,2
1992,152,43,93,19,67,40,5,10,1,6,3,1,13,2,15,5,3,38,2,4,8,,6,,1,1
1993,179,35,128,16,48,41,4,24,7,13,4,3,8,4,8,2,1,34,2,5,7,,11,,,1
1994,187,21,107,12,63,50,9,28,7,11,7,5,15,2,12,1,8,32,,1,5,2,1,2,2,5
1995,151,28,117,15,57,35,6,20,2,10,7,6,12,5,10,5,4,38,,4,6,3,6,2,1,3
1996,190,35,140,21,71,44,7,12,1,18,1,2,14,5,6,7,3,40,,2,8,1,4,3,1,9
1997,155,39,122,20,52,54,7,11,3,20,3,5,12,2,12,8,8,37,2,,2,1,3,2,2,20
1998,151,28,125,20,66,44,8,11,1,13,2,3,12,4,4,2,5,51,1,4,11,3,2,3,2,18
1999,161,44,145,16,65,33,4,25,3,18,4,3,19,5,16,4,6,45,,4,8,4,,2,1,6
2000,117,48,108,40,82,65,12,16,6,12,11,3,18,4,8,8,2,53,2,5,11,2,2,3,2,3
2001,187,49,172,41,101,50,13,18,2,17,7,3,16,4,12,5,3,48,3,1,11,6,4,,3,8
2002,199,66,177,46,125,59,20,20,4,13,8,6,17,8,11,5,9,44,2,10,13,5,1,2,3,14
2003,234,60,175,47,121,79,17,17,8,21,8,7,27,9,9,4,6,38,5,7,16,6,,2,,8
2004,348,76,193,51,141,69,14,29,9,33,13,4,22,15,14,6,5,61,3,5,20,9,8,6,2,16
2005,298,104,227,50,131,83,15,20,15,24,14,8,34,19,13,6,5,43,1,8,24,5,1,6,3,9
2006,360,121,285,56,163,95,22,30,8,28,16,3,34,19,11,4,7,67,1,5,15,2,3,4,1,12
2007,322,131,294,32,189,80,20,27,1,35,11,1,25,22,19,6,10,54,2,5,17,7,3,4,,9
2008,474,139,271,44,170,84,33,30,8,43,14,3,38,36,11,6,3,81,6,3,23,4,6,5,,4
2009,489,150,291,58,221,96,40,26,9,40,27,2,55,27,21,9,5,86,9,1,34,7,11,4,3,11
2010,596,170,318,58,224,126,36,34,13,58,21,9,42,48,23,19,13,83,4,10,39,8,13,2,,6
2011,669,224,396,67,286,117,61,44,13,49,30,10,66,63,18,9,15,110,6,22,40,21,12,3,3,7
2012,770,307,454,91,319,119,57,51,12,69,38,22,93,90,30,11,10,112,12,11,62,29,11,9,4,8
2013,850,399,491,93,389,139,92,70,18,108,46,10,101,137,39,16,14,119,12,14,58,32,7,12,2,2
2014,983,466,728,150,486,160,112,101,20,109,55,16,171,227,28,24,15,137,8,37,79,78,9,10,3,10
2015,1070,548,856,136,486,175,144,104,31,128,50,19,194,298,32,18,18,134,18,32,103,98,9,6,3,7
2016,1164,653,947,195,562,189,152,118,25,144,84,23,194,425,38,21,20,126,18,24,97,82,7,11,2,13
2017,1369,805,988,228,579,193,149,157,33,193,86,17,291,519,37,9,23,133,12,40,121,137,5,11,8,8
2018,1453,879,1123,253,659,229,180,182,35,166,122,20,309,640,44,27,20,139,18,38,127,140,12,15,2,14
2019,1739,1073,1294,315,912,276,253,222,59,271,103,24,434,872,40,23,18,163,25,45,194,205,6,11,4,21
2020,2282,1365,1726,394,983,350,249,289,71,335,149,33,501,740,59,17,39,216,39,138,225,194,16,23,3,24
2021,2106,1401,1734,407,996,374,300,349,55,346,190,39,531,843,57,30,39,207,37,124,219,206,21,27,5,23
2022,2183,1549,1463,476,966,353,331,338,83,354,158,35,543,831,53,25,31,179,42,141,199,171,18,12,6,13
2023,2194,1625,1447,498,1011,411,380,386,85,386,118,39,598,926,62,33,40,197,33,130,199,212,15,26,11,25
2024,2070,1237,1029,402,791,316,298,266,84,307,99,29,407,583,38,32,32,192,39,102,184,119,21,24,5,7
