,Documents,Share
1980,35,2.7009007118030905e-05
1981,37,2.877525514707655e-05
1982,41,3.105620643136162e-05
1983,46,3.358338352589023e-05
1984,44,3.089850753186233e-05
1985,45,3.0393740780565296e-05
1986,49,3.1418030358793905e-05
1987,47,2.8588807785888077e-05
1988,55,3.2014007001172295e-05
1989,61,3.335019067014748e-05
1990,79,3.970226317976933e-05
1991,97,4.8684758659111326e-05
1992,77,3.705832017041052e-05
1993,76,3.4972259175731464e-05
1994,57,2.4893840870707943e-05
1995,70,2.8817601461628748e-05
1996,82,3.114352569777639e-05
1997,80,2.931717370718593e-05
1998,101,3.473707815085935e-05
1999,114,3.788187169675894e-05
2000,116,3.176735778014086e-05
2001,130,3.5552074490894296e-05
2002,128,3.002614855296249e-05
2003,170,3.759656234726397e-05
2004,220,4.477055497579948e-05
2005,219,4.1702720159894705e-05
2006,322,5.6226234811931977e-05
2007,245,3.914313911040266e-05
2008,263,3.952976711706553e-05
2009,345,4.785026777425936e-05
2010,336,4.358905535900841e-05
2011,430,5.133144210792209e-05
2012,549,6.356772649157791e-05
2013,595,6.544170788119438e-05
2014,732,7.614667847564336e-05
2015,778,7.926797149083594e-05
2016,706,6.970072817515695e-05
2017,798,8.00065850031366e-05
2018,1021,0.00010215394749967458
2019,1133,0.00011014543474879452
2020,1448,0.00013163036847139962
2021,1786,0.00017720375842623218
2022,2204,0.00022851260894006853
2023,2879,0.00028547370191270353
2024,2732,0.0002897030194116929
