,Documents,Share
1980,,
1981,1,7.777095985696365e-07
1982,1,7.574684495454053e-07
1983,2,1.4601471098213146e-06
1984,2,1.4044776150846513e-06
1985,,
1986,,
1987,1,6.08272506082725e-07
1988,,
1989,,
1990,,
1991,1,5.019047284444467e-07
1992,,
1993,,
1994,,
1995,,
1996,,
1997,,
1998,,
1999,1,3.3229712014700825e-07
2000,,
2001,,
2002,,
2003,2,4.423124982031055e-07
2004,,
2005,,
2006,3,5.238469081857017e-07
2007,4,6.390716589453496e-07
2008,1,1.5030329702306284e-07
2009,,
2010,1,1.2972933142562028e-07
2011,2,2.3875089352521903e-07
2012,5,5.789410427283963e-07
2013,7,7.699024456611103e-07
2014,13,1.3523317215619722e-06
2015,5,5.094342640799225e-07
2016,7,6.910837071191199e-07
2017,10,1.0025887845004587e-06
2018,14,1.4007397306517572e-06
2019,8,7.777259293824856e-07
2020,24,2.1817188144430877e-06
2021,16,1.5874916768307474e-06
2022,15,1.5552128557627168e-06
2023,20,1.983144855246291e-06
2024,16,1.6966501868913202e-06
