,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,1,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,1,,,,,,1,,,,,,,,1,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,1,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,2,,,1,,,,,,,,,,,,,,,,,
1987,,,1,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,1,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,1,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,1,1,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,1,,,,,,,,,,,,,,,,,,,,
1994,,,1,,1,,,,,,,,,,1,,,,,,,,,,,
1995,,,,,,,2,,1,,,,,,1,,1,,,,,,,,,
1996,2,,,,,1,,,1,,,,,,4,,1,,,,,,,,,
1997,3,,1,,,1,,,1,,,3,,,2,,1,,,1,,,,,,
1998,,,,1,,1,,,,,,1,,,1,,,,,,,,,,,
1999,2,1,,,,,,,,,,,,,,,1,,1,,,,,,1,
2000,2,,1,,,,,1,,,,1,,,2,,1,,,,,,,,,
2001,4,,1,,1,,,,,,,1,,,3,1,1,,1,1,,,,,,
2002,4,1,,2,,1,,,,,,,,,2,,3,,1,,,,,,,
2003,4,,,3,2,3,,,3,,,6,,,,,,,,1,,,,,,
2004,1,,1,,,3,1,,2,,,,2,,3,,2,,,,,,,1,,
2005,2,,,1,1,1,4,,1,,,1,3,,1,,1,,,2,,1,,,,
2006,2,,,1,3,2,1,,3,,,,,,4,,4,2,,,1,,,,,
2007,3,,,1,2,4,,,3,,,,,,5,,2,,,,,,,,,
2008,1,,,3,1,2,,,7,,,4,,1,2,,1,,,,,1,1,1,,
2009,4,,3,,3,1,1,,7,,,,,,3,,,,,1,,,,1,,
2010,2,,3,,1,4,1,,,1,,2,1,,3,,1,,,1,,,,,,
2011,5,,,5,,3,2,,1,,,,,,4,1,2,,,4,,,,,,
2012,10,1,2,8,5,7,7,,1,,,,,,2,1,2,,1,2,,,1,,,
2013,9,1,3,10,2,4,6,,,,,2,6,1,2,,,,,,,,1,,,
2014,2,,,6,3,10,5,,6,,,3,1,,2,1,6,,,,,,1,,2,
2015,6,1,5,11,3,11,4,,15,,,4,,,2,1,7,1,,5,,,,,,
2016,9,,3,10,3,4,5,,16,1,,4,,,,,2,,2,2,,,1,,,
2017,11,2,4,10,2,6,2,,6,,1,3,,,4,2,5,,3,3,,,,,,
2018,11,2,3,9,6,6,2,,13,1,,5,,,2,,5,,3,3,,,,,,
2019,8,3,2,14,6,5,4,1,7,,,13,1,1,5,,,,3,3,,,,,,
2020,10,2,6,10,5,4,3,,9,,,20,2,2,5,2,5,2,1,4,,1,,1,,
2021,15,1,10,22,8,5,4,,13,2,1,29,,2,5,3,7,,,5,,1,,1,,
2022,15,3,8,32,9,4,11,2,5,,,16,2,1,2,2,1,,2,5,,2,1,1,1,
2023,21,5,11,34,14,10,10,1,9,3,1,9,,,4,3,1,,1,2,,3,,1,1,
2024,15,2,6,22,8,9,12,1,8,3,,11,1,,8,2,6,1,,4,,,,2,1,
