,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,178,19,24,42,19,34,9,3,12,7,8,21,5,4,5,7,15,9,1,4,6,2,2,6,2,8
1981,179,19,25,77,13,38,15,5,24,10,13,31,4,2,8,10,20,13,2,2,7,2,,4,3,4
1982,214,34,30,90,17,32,10,11,28,8,16,49,7,6,9,8,29,9,2,12,8,,1,6,3,6
1983,210,25,42,120,24,53,21,13,39,11,11,45,4,7,12,13,34,17,3,6,8,,4,11,5,5
1984,217,49,30,157,43,64,20,10,55,9,15,47,13,9,17,7,40,9,5,12,3,5,1,11,3,1
1985,237,37,40,208,39,80,30,6,75,10,19,70,7,3,12,14,63,12,1,11,5,9,4,4,8,7
1986,315,37,50,245,40,78,36,5,68,16,18,90,19,12,16,13,67,16,2,22,9,4,7,6,9,5
1987,453,42,51,307,27,103,56,6,102,15,18,81,24,14,14,17,116,19,4,25,15,16,4,14,13,2
1988,452,45,67,412,48,111,69,13,124,13,24,134,20,17,29,39,127,16,7,35,10,13,,15,15,4
1989,521,49,55,468,43,175,84,10,160,24,21,174,23,17,18,32,207,26,4,46,17,20,5,14,24,7
1990,634,53,64,607,48,178,128,21,198,23,22,196,22,19,31,24,220,35,7,47,15,16,11,20,25,4
1991,694,49,82,788,73,224,188,19,236,18,25,245,43,26,39,28,219,45,9,70,19,20,8,22,34,6
1992,854,70,86,881,80,274,214,17,307,24,37,309,43,28,30,44,283,33,6,81,19,35,11,33,31,13
1993,917,81,96,1095,76,311,293,18,387,29,26,395,54,38,49,39,315,53,6,91,21,28,6,31,47,10
1994,1234,83,134,1264,97,394,397,37,619,38,27,515,55,67,55,62,354,56,8,136,29,54,7,42,46,10
1995,1507,134,167,1642,120,523,443,44,709,40,31,636,93,71,85,91,438,59,15,140,35,49,15,53,62,7
1996,1997,195,192,2176,184,729,570,56,874,46,34,803,102,72,79,90,540,74,17,190,42,71,11,70,79,12
1997,2289,249,274,2735,259,885,736,61,1206,81,37,951,118,100,128,114,670,121,24,202,58,90,31,79,88,10
1998,2980,279,304,3154,280,1174,811,67,1364,98,63,1069,158,154,148,153,766,171,28,260,75,74,33,114,90,13
1999,3453,331,465,3792,392,1276,925,86,1634,113,63,1297,177,172,160,223,784,198,44,267,103,93,48,108,106,6
2000,3877,421,446,4186,460,1586,1171,107,1886,128,66,1280,210,187,203,269,909,225,49,313,93,103,52,125,148,22
2001,4081,482,528,4954,555,1762,1220,129,2258,141,94,1555,213,210,256,292,928,222,93,344,117,122,75,137,163,11
2002,4680,662,611,9606,782,2083,5093,149,2835,173,99,1948,259,341,326,374,1171,263,101,391,131,161,131,148,198,16
2003,5502,703,804,8849,819,2488,3607,201,2898,211,107,2074,332,387,382,455,1118,335,172,497,179,220,132,196,209,24
2004,6772,792,927,8897,967,3074,3534,235,3278,246,117,2127,366,370,379,522,1148,399,150,453,190,242,168,220,242,11
2005,7737,780,1028,10386,1019,3364,4839,240,3387,318,128,2213,365,453,416,566,1148,396,219,540,215,245,205,238,234,27
2006,9452,891,1057,12983,1167,3739,5497,303,4172,358,154,2356,400,477,528,688,1225,478,257,532,215,309,207,214,257,28
2007,10865,917,1268,12951,1341,4205,5203,347,4667,354,155,2660,471,543,533,744,1372,537,338,577,269,316,258,296,326,34
2008,12171,1064,1829,13545,1477,4847,5642,404,4592,459,203,2522,489,656,567,839,1531,641,387,637,312,386,314,340,427,32
2009,14476,1350,2039,14839,1728,5501,5931,511,4961,586,205,2694,557,718,660,929,1587,694,474,698,435,495,395,364,381,38
2010,16684,1557,2572,16578,2154,6344,6244,585,5555,739,283,2833,645,909,805,1135,1713,792,635,802,541,507,428,423,419,55
