,Documents,Share
1980,463,0.00035729057987566595
1981,543,0.00042229631202331263
1982,654,0.000495384366002695
1983,768,0.0005606964901713848
1984,881,0.0006186723894447889
1985,1039,0.0007017577038001632
1986,1239,0.0007944273390723603
1987,1587,0.0009653284671532847
1988,1905,0.001108848787949695
1989,2279,0.0012459849924141985
1990,2697,0.0013554051113397203
1991,3275,0.001643737985655563
1992,3888,0.0018712045301630662
1993,4543,0.0020905128083598423
1994,5866,0.0025618819394311013
1995,7271,0.002993325431821466
1996,9380,0.0035625155005505186
1997,11721,0.004295332412774079
1998,14006,0.004817104124563723
1999,16462,0.00547027519186005
2000,18661,0.0051104367546138665
2001,21141,0.005781587744707663
2002,32935,0.007725868770248591
2003,33144,0.007330002720221864
2004,36041,0.007334434417649041
2005,40930,0.007794028932166622
2006,48482,0.008465715267553062
2007,51811,0.008277735430404377
2008,56626,0.008511074497227957
2009,63619,0.008823728074001757
2010,72382,0.009390068467249246
2011,81743,0.00975810714471599
2012,90062,0.010428117638040966
2013,96138,0.010573840188709688
2014,98674,0.010264613868723542
2015,99198,0.01010697202564003
2016,97043,0.009580690884280107
2017,97985,0.009823866204927744
2018,98736,0.009878817003259422
2019,105405,0.010247025198320112
2020,119974,0.010906230543499791
2021,116969,0.011605457121700982
2022,118304,0.012265860112543497
2023,123061,0.01220238945157319
2024,104892,0.011122814462712773
