,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,17,3,4,5,4,6,4,,4,2,,5,,,4,1,12,2,1,6,,,,1,1,
1981,23,5,6,22,11,10,4,1,5,2,,4,,1,6,2,9,,3,7,1,3,,,2,
1982,24,2,9,33,9,10,3,,3,1,1,9,1,,7,1,16,1,1,11,1,1,1,1,1,
1983,44,5,7,37,12,15,2,,7,2,2,10,,,7,,11,1,1,7,,1,1,2,1,
1984,65,4,8,60,9,15,10,1,8,4,2,10,,,11,1,8,,5,14,,5,,,1,1
1985,57,5,8,41,14,11,7,2,9,3,1,7,,2,6,,12,3,7,18,2,4,,1,,1
1986,75,10,11,74,12,21,9,1,10,3,3,6,3,4,5,5,11,3,2,14,1,3,,4,2,8
1987,81,5,11,90,32,31,15,3,13,3,4,10,2,1,13,1,22,4,7,12,2,5,1,,4,5
1988,134,9,22,55,20,42,11,4,9,6,3,12,4,1,12,5,28,13,10,26,2,2,,1,2,13
1989,159,5,14,114,44,57,15,9,11,4,4,12,4,2,11,8,18,14,14,19,5,3,,2,4,10
1990,180,12,24,92,28,48,10,8,16,8,2,18,2,3,12,7,19,6,6,27,4,4,1,,3,7
1991,108,9,19,44,32,18,18,9,13,8,,8,3,,7,4,15,3,7,17,3,1,,,2,
1992,88,4,6,41,12,7,11,3,3,7,1,,1,1,5,2,5,2,2,14,2,3,,1,2,1
1993,53,9,4,50,19,14,9,7,16,2,1,,3,2,9,1,5,4,4,13,,3,2,,1,
1994,86,10,9,83,24,16,19,6,19,8,1,3,4,1,8,3,5,4,5,13,2,1,3,1,1,
1995,92,10,9,89,33,21,33,3,23,8,1,6,7,3,8,1,22,10,6,11,3,3,2,2,2,
1996,122,8,9,135,30,27,30,4,22,5,1,7,3,4,16,3,27,14,11,28,6,2,1,3,3,1
1997,114,12,15,158,29,29,24,12,24,4,3,14,,4,11,10,27,8,5,34,9,7,,,6,1
1998,159,11,17,138,38,39,41,18,26,6,1,10,4,6,14,4,25,7,3,22,7,7,,3,3,5
1999,183,19,20,161,43,42,32,11,22,7,2,17,2,5,12,8,36,18,7,26,8,12,5,2,3,1
2000,172,5,16,138,34,25,35,9,16,6,,23,2,3,12,8,21,10,7,29,10,11,7,1,4,2
2001,162,10,16,127,50,37,32,11,20,16,2,10,2,5,18,6,29,13,5,32,7,11,7,1,2,1
2002,162,27,19,175,35,39,79,25,23,13,5,12,3,13,5,7,30,5,11,18,5,14,11,1,4,2
2003,208,15,14,170,27,49,53,21,12,13,3,6,9,14,17,14,47,11,3,29,6,5,11,1,1,1
2004,217,12,7,147,34,54,54,21,12,5,3,17,10,10,14,14,37,8,3,13,6,7,10,7,3,1
2005,238,22,12,181,33,63,54,24,19,12,1,10,14,17,22,7,49,12,9,24,,8,20,6,8,2
2006,250,25,20,187,36,34,55,18,31,13,3,13,5,20,12,16,31,6,2,22,2,10,22,6,7,2
2007,269,41,22,238,42,49,65,20,28,19,4,13,7,23,27,7,41,11,11,22,4,18,14,6,4,1
2008,271,39,16,203,55,62,90,29,32,12,4,24,14,22,17,16,57,15,7,11,3,8,9,8,3,
2009,268,52,15,240,59,48,117,21,30,26,6,20,13,30,34,6,40,11,9,23,5,19,11,1,3,2
2010,290,53,20,260,58,59,124,12,45,20,13,21,4,28,22,11,42,16,15,21,8,28,13,5,4,2
2011,302,66,19,272,55,63,128,21,25,25,19,27,23,40,22,9,30,16,12,30,7,19,21,5,9,2
2012,323,72,38,265,67,53,99,23,45,27,12,20,27,55,26,13,40,19,9,28,2,21,19,3,13,
2013,351,78,25,311,72,66,126,29,36,22,14,29,20,57,23,17,47,24,18,34,7,25,17,1,6,2
2014,422,86,19,314,39,85,136,38,37,32,21,34,26,69,36,17,29,27,15,31,6,23,23,3,5,3
2015,456,106,22,385,80,86,156,34,45,35,26,43,29,89,40,20,33,27,21,36,11,30,26,5,4,1
2016,547,99,31,363,56,80,142,29,56,47,31,49,45,81,29,23,34,34,22,54,16,37,26,3,10,2
2017,515,145,51,434,90,82,166,46,68,31,42,47,34,121,34,28,42,19,30,52,9,33,30,5,8,1
2018,548,205,34,557,114,104,181,54,83,46,36,30,67,118,57,24,33,20,23,50,11,43,18,7,7,2
2019,600,230,50,677,119,102,190,49,95,73,38,48,60,125,68,27,55,32,33,48,14,38,26,2,6,1
2020,857,277,73,631,178,112,220,95,94,79,32,44,92,176,74,30,42,37,36,111,16,26,31,6,11,3
2021,962,289,66,744,195,136,214,110,100,83,45,45,58,126,86,38,54,31,82,99,20,47,43,11,10,
2022,899,266,60,818,202,144,290,108,120,69,34,36,96,140,76,38,45,46,77,87,16,42,45,11,23,4
2023,967,315,71,931,229,162,309,95,176,64,45,60,101,138,62,46,48,41,95,98,19,52,47,9,25,3
2024,991,247,97,834,232,166,294,121,174,86,34,66,106,156,48,58,55,19,112,97,12,45,44,13,24,3
