,Documents,Share
1980,1,7.716859176580258e-07
1981,2,1.555419197139273e-06
1982,2,1.5149368990908106e-06
1983,1,7.300735549106573e-07
1984,,
1985,,
1986,3,1.923552879109831e-06
1987,1,6.08272506082725e-07
1988,2,1.164145709133538e-06
1989,3,1.6401733116465973e-06
1990,,
1991,3,1.50571418533334e-06
1992,2,9.625537706600135e-07
1993,5,2.300806524719175e-06
1994,2,8.734681007265945e-07
1995,6,2.470080125282464e-06
1996,7,2.6585936571272527e-06
1997,11,4.031111384738066e-06
1998,2,6.878629336803832e-07
1999,7,2.3260798410290576e-06
2000,13,3.560134923636475e-06
2001,11,3.0082524569218247e-06
2002,6,1.4074757134201167e-06
2003,10,2.2115624910155275e-06
2004,12,2.4420302714072444e-06
2005,8,1.5233870378043728e-06
2006,4,6.984625442476022e-07
2007,14,2.2367508063087236e-06
2008,35,5.2606153958072e-06
2009,35,4.854374991591529e-06
2010,49,6.356737239855394e-06
2011,48,5.730021444605256e-06
2012,44,5.0946811760098874e-06
2013,40,4.399442546634916e-06
2014,37,3.84894413059946e-06
2015,41,4.177360965455365e-06
2016,59,5.824848388575439e-06
2017,50,5.012943922502293e-06
2018,77,7.704068518584665e-06
2019,96,9.332711152589827e-06
2020,129,1.1726738627631596e-05
2021,149,1.4783516240486335e-05
2022,117,1.2130660274949191e-05
2023,162,1.6063473327494954e-05
2024,84,8.90741348117943e-06
