,Documents,Share
1980,30,2.3150577529740777e-05
1981,27,2.0998159161380186e-05
1982,42,3.181367488090702e-05
1983,45,3.2853309970979574e-05
1984,37,2.598283587906605e-05
1985,33,2.228874323908122e-05
1986,44,2.8212108893610854e-05
1987,64,3.89294403892944e-05
1988,48,2.793949701920491e-05
1989,53,2.8976395172423218e-05
1990,48,2.412289408391048e-05
1991,41,2.0578093866222312e-05
1992,71,3.417065885843048e-05
1993,88,4.049419483505748e-05
1994,91,3.9742798583060045e-05
1995,114,4.6931522380366816e-05
1996,136,5.165267676704377e-05
1997,103,3.774586114800189e-05
1998,161,5.537296616127084e-05
1999,142,4.718619106087517e-05
2000,218,5.9700724104057816e-05
2001,265,7.24715364622076e-05
2002,313,7.34233163834161e-05
2003,368,8.138549966937141e-05
2004,336,6.837684759940284e-05
2005,370,7.045665049845224e-05
2006,434,7.578318605086483e-05
2007,477,7.620929532923294e-05
2008,587,8.822803535253788e-05
2009,685,9.500705340686279e-05
2010,677,8.782675737514492e-05
2011,814,9.717161366476414e-05
2012,1113,0.00012887227611134102
2013,1714,0.00018851611312330614
2014,2438,0.0002536142105513914
2015,2953,0.00030087187636560224
2016,3316,0.0003273762246867145
2017,3878,0.00038880393062927786
2018,5127,0.0005129708999322542
2019,6597,0.0006413322445170322
2020,8338,0.0007579654781177693
2021,10040,0.000996151027211294
2022,11208,0.001162055045825902
2023,12903,0.0012794259033621445
2024,11158,0.0011832014240833345
