,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,25,5,7,2,3,5,4,3,1,1,,3,,2,3,1,4,3,,4,1,,1,,,1
1981,27,14,6,6,6,7,2,4,2,1,5,7,,,1,3,5,1,,3,1,,,,,
1982,29,4,5,2,1,8,1,5,1,1,1,8,,1,1,7,7,1,,3,1,,,1,,
1983,30,7,11,3,4,5,1,3,1,5,1,4,,,2,2,5,1,,8,1,2,,,1,
1984,33,6,3,4,7,15,,3,1,,2,4,1,,,3,5,,,3,,1,,,,
1985,42,10,13,5,2,6,3,2,,2,2,18,,1,,3,6,,1,2,1,,,2,,
1986,55,10,7,5,3,5,1,2,2,,2,15,1,,,1,4,2,,3,2,,,1,,
1987,48,4,5,5,2,4,,,1,4,1,8,1,,3,2,2,1,,4,,1,,1,,
1988,47,3,5,10,5,7,,,1,2,,3,,,1,1,1,1,1,5,3,,1,,,
1989,25,13,4,11,1,8,,1,,3,3,5,1,,2,3,1,,,6,,,1,,,
1990,28,3,1,4,1,5,6,,1,,1,2,,2,,,1,,,2,,,1,,,
1991,39,4,8,9,1,5,1,1,,1,1,7,,,2,,,,,5,1,1,2,,1,
1992,66,10,3,12,4,6,4,,2,1,2,5,2,1,2,1,3,,,2,,1,2,,,
1993,69,10,12,12,2,5,1,,,4,,6,1,1,1,1,2,1,2,1,6,1,2,,1,1
1994,67,13,3,17,3,6,6,1,1,1,1,8,1,3,1,,1,,1,2,1,1,3,1,,1
1995,65,12,10,19,1,4,6,3,2,4,4,6,3,,3,5,1,,,9,3,,2,,,
1996,68,14,12,23,3,7,8,2,1,2,5,5,2,4,6,4,3,5,,5,2,2,,,,1
1997,86,17,13,30,7,22,11,1,3,6,8,4,3,7,5,6,5,10,1,8,5,3,4,,1,2
1998,114,19,13,30,1,24,10,5,3,3,7,9,4,7,3,9,3,8,,5,3,3,,,,1
1999,156,15,13,48,9,31,11,8,5,7,7,16,6,5,6,9,4,12,1,10,4,1,5,1,1,2
2000,159,36,28,42,16,41,17,3,11,8,9,17,12,6,3,7,17,6,2,8,4,1,3,,2,1
2001,191,26,27,56,25,34,16,12,11,10,10,24,17,6,5,4,7,12,4,14,2,1,5,,,1
2002,204,38,20,96,23,35,54,8,20,11,8,26,16,5,7,11,14,10,1,6,,2,5,1,,1
2003,253,41,23,74,38,36,35,17,9,13,15,18,18,12,7,11,6,10,1,12,1,5,8,1,3,4
2004,280,52,37,101,24,51,76,15,23,13,11,27,24,18,8,11,16,21,,10,3,6,3,4,2,1
2005,331,74,33,117,35,53,95,12,16,17,22,28,37,26,13,9,16,9,4,14,1,2,4,1,2,2
2006,409,77,46,157,31,61,154,23,12,21,20,30,33,32,14,9,22,12,2,15,3,2,8,3,,1
2007,382,78,39,147,37,71,107,20,20,25,18,32,28,37,11,10,14,18,8,20,7,7,4,2,3,4
2008,405,94,65,194,39,78,105,40,18,18,21,28,28,49,17,24,18,15,6,15,4,4,14,1,6,1
2009,439,127,53,215,38,77,137,29,19,26,25,37,43,46,13,21,15,26,7,23,7,7,13,4,5,
2010,461,92,77,249,38,90,156,35,22,32,34,40,43,54,17,17,21,20,7,23,9,10,13,5,,4
2011,569,145,53,314,50,103,199,43,29,46,18,47,50,86,13,17,24,30,27,33,9,13,23,7,6,2
2012,654,152,66,362,77,137,221,61,30,48,20,52,51,59,12,26,27,29,30,35,11,15,18,3,3,3
2013,883,189,74,369,81,164,256,54,55,58,38,52,57,84,24,35,35,29,20,33,11,19,21,14,6,2
2014,778,215,88,440,95,170,238,68,64,62,39,66,75,97,33,24,41,49,41,51,22,26,29,16,7,1
2015,860,236,95,508,90,176,281,72,76,72,49,71,77,84,30,48,42,38,25,43,21,30,31,14,8,10
2016,1055,261,117,525,150,185,275,89,93,86,60,69,76,119,26,58,51,49,43,45,22,42,45,20,15,
2017,1220,360,94,552,137,223,274,121,81,105,68,84,87,145,33,47,51,61,45,55,24,39,58,26,12,3
2018,1331,351,132,689,177,273,339,125,90,112,76,68,104,189,51,71,56,53,36,64,34,47,73,17,10,5
2019,1530,414,158,750,211,305,339,146,112,99,89,86,118,181,43,74,61,72,32,53,20,70,63,19,12,3
2020,2043,502,158,785,197,339,316,265,122,156,95,99,184,209,54,73,76,68,31,103,33,65,96,20,24,6
2021,2109,528,172,680,190,331,314,260,115,189,80,77,202,200,33,63,62,89,41,92,32,55,112,16,9,7
2022,1929,459,219,644,267,275,434,249,115,181,89,71,254,196,66,73,48,85,46,93,40,60,121,16,23,5
2023,2104,600,197,1057,310,360,693,304,160,167,77,165,515,278,64,104,74,115,130,263,37,119,98,18,17,9
2024,1973,422,176,911,234,290,471,315,164,165,56,170,415,214,41,104,65,94,98,253,28,88,73,19,18,9
