,Documents,Share
1980,80,6.173487341264207e-05
1981,102,7.932637905410292e-05
1982,89,6.741469200954108e-05
1983,107,7.811787037544032e-05
1984,93,6.530820910143629e-05
1985,121,8.172539187663113e-05
1986,122,7.822448375046646e-05
1987,101,6.143552311435523e-05
1988,99,5.762521260211013e-05
1989,89,4.865847491218239e-05
1990,58,2.9148497018058497e-05
1991,90,4.51714255600002e-05
1992,130,6.256599509290088e-05
1993,143,6.58030666069684e-05
1994,147,6.419990540340469e-05
1995,162,6.669216338262652e-05
1996,186,7.064263146080986e-05
1997,271,9.931192593309235e-05
1998,286,9.836439951629478e-05
1999,395,0.00013125736245806825
2000,463,0.000126795574587976
2001,523,0.00014302873045182857
2002,628,0.00014731579133797222
2003,678,0.00014994393689085275
2004,849,0.00017277364170206253
2005,984,0.00018737660564993784
2006,1201,0.00020971337891034254
2007,1155,0.0001845319415204697
2008,1314,0.00019749853228830458
2009,1464,0.0002030515710768571
2010,1584,0.0002054912609781825
2011,1964,0.00023445337744176507
2012,2211,0.00025600772909449684
2013,2682,0.0002949826227518711
2014,2854,0.00029688882564137453
2015,3116,0.0003174794333746077
2016,3603,0.0003557106566785984
2017,4047,0.0004057476810873356
2018,4625,0.00046274437530459834
2019,5119,0.000497647379063618
2020,6181,0.0005618834996696969
2021,6126,0.0006078108757665724
2022,6127,0.0006352526111505444
2023,8109,0.0008040660815596085
2024,6913,0.000733058921373731
