,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,4,1,,1,,,,,,,,,,,,,,,,,,,,,,
1981,6,1,,,,1,,,,,,,1,1,,,,,,,,,,,1,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,10,,,1,,1,1,,,,,,,1,1,,,,,,,,,,,
1984,7,1,2,1,,,,1,,,,,,,,,,,,,,,,,,
1985,8,,1,2,,,,,,,,,1,,,,,1,,,,,,,,
1986,7,,1,,2,,1,,,,,,,,,,,1,,,,,,,,
1987,4,,,,,2,,,,,,,,,,,,,,,,,,,,
1988,4,,1,2,,1,,,,,,,,,,,,1,,,,,,,,
1989,6,1,,2,,1,,,,,,,,,,,,,,,,,,,,
1990,7,2,,,2,,,,,,,,,1,,,,,,,,,,,,
1991,3,2,2,3,2,1,1,1,2,,,,,,,,,1,,,,,,,,
1992,4,,1,1,,1,,,,,,,,,,,,,,1,,,,,,
1993,4,,,1,,,,,,,,,,,,1,,,,,,,,,,
1994,2,,,2,,,,,,,,,,,,,,,,,,,,,,
1995,1,,,,,,,,,,,,,,,,,,,,,,,,,
1996,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,
1997,,2,,1,,,,,,,,,,1,,,,,,,,,,,,
1998,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1999,,1,1,,,,,,,,,,,,,,,1,,,,,,,,
2000,,,,3,,1,,,,,,,,,,,,,,,,,,,,
2001,1,,,1,,,,,2,,,,,,,1,,,,,,,,,,
2002,3,2,,5,1,,2,,,,,,,,,1,,1,,,1,,,,,
2003,1,1,,4,,1,,,1,1,,1,1,,,,,,,,,,,,,
2004,1,2,1,1,,,,,1,1,1,,1,,,,,,,,,,,,,
2005,3,1,,2,,,1,,2,,,,,,,,,,,,,,,,,
2006,2,3,,4,,,1,1,4,,,,2,,,,,,,,,,,,,
2007,1,,,3,1,,2,,4,1,,,,,,,,,,,,,,,,
2008,3,4,3,3,,1,2,1,8,2,,2,1,1,,,,,,,,,,,,
2009,1,5,3,4,1,3,,,7,,,2,2,,,,,,1,,,,,,,
2010,3,8,,4,1,4,,2,4,1,,1,,,,,,,,,1,,,,,
2011,9,4,,2,,,,1,3,4,,,2,,,,,1,,,,,,,1,
2012,6,3,,2,1,1,1,,1,3,1,,,,,,,,1,,2,,,,,
2013,11,4,2,3,2,,1,4,,3,1,,3,,,,,,,,,,,1,,
2014,18,4,,2,2,3,2,,,2,1,,3,,,,,1,,,,1,,,,1
2015,36,6,4,3,2,1,4,3,,2,2,,,1,,,,,,,1,,,,,
2016,60,7,4,2,4,2,,5,1,4,1,,2,1,,,,,,,,1,,,,
2017,55,6,9,2,3,1,,4,,3,1,,2,3,1,,,1,,,1,1,,,,1
2018,41,3,8,2,7,5,1,10,,5,,1,1,1,1,,,2,2,,2,,,,,
2019,69,11,5,2,,1,,2,2,5,,,5,,,,,4,,,1,,,1,,
2020,45,11,8,11,3,1,8,7,1,3,1,,4,5,,,1,2,,2,2,,,3,,
2021,60,17,3,7,12,7,5,5,1,4,,,7,6,,2,,1,4,2,2,1,,,,
2022,69,12,10,15,7,3,12,7,,4,1,,7,3,1,1,1,3,2,3,4,1,,,2,
2023,51,16,9,23,29,3,8,4,3,13,3,2,3,6,2,1,3,5,1,3,2,,,,1,
2024,61,21,16,15,13,4,9,7,9,7,,1,3,1,,,3,2,1,5,4,,,,2,
