,Documents,Share
1980,6,4.630115505948155e-06
1981,12,9.332515182835638e-06
1982,,
1983,16,1.1681176878570517e-05
1984,12,8.426865690507908e-06
1985,13,8.780414003274419e-06
1986,12,7.694211516439324e-06
1987,6,3.6496350364963505e-06
1988,10,5.82072854566769e-06
1989,10,5.467244372155324e-06
1990,12,6.03072352097762e-06
1991,18,9.034285112000041e-06
1992,8,3.850215082640054e-06
1993,6,2.76096782966301e-06
1994,4,1.746936201453189e-06
1995,1,4.1168002088041066e-07
1996,6,2.278794563251931e-06
1997,4,1.4658586853592965e-06
1998,2,6.878629336803832e-07
1999,3,9.968913604410248e-07
2000,4,1.0954261303496847e-06
2001,5,1.3673874804190112e-06
2002,16,3.7532685691203112e-06
2003,11,2.43271874011708e-06
2004,9,1.8315227035554332e-06
2005,9,1.7138104175299193e-06
2006,17,2.9684658130523094e-06
2007,12,1.9172149768360488e-06
2008,34,5.110312098784136e-06
2009,29,4.0221964216044095e-06
2010,29,3.762150611342988e-06
2011,27,3.2231370625904566e-06
2012,23,2.663128796550623e-06
2013,35,3.849512228305551e-06
2014,40,4.161020681729145e-06
2015,65,6.622645433038992e-06
2016,94,9.280266924171037e-06
2017,94,9.424334574304312e-06
2018,94,9.404966762947513e-06
2019,109,1.0596515787836366e-05
2020,119,1.0817689121613643e-05
2021,148,1.4684298010684415e-05
2022,168,1.741838398454243e-05
2023,195,1.9335662338651336e-05
2024,186,1.9723558422611596e-05
