,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,3,,,,1,,1,,,,,1,,,,,,,,,,,,,
1981,,7,,,,,,,,,,,1,,,,1,,,,,,,,,1
1982,,4,1,,1,,,,1,,,,2,1,,,1,,,1,,,,,,
1983,,5,2,,1,,,,,,,,,,,,,,,,,,,,,
1984,1,4,2,,1,,,,,,,,2,,,,,,,3,,,,,,
1985,3,2,3,3,,,,,,,,1,,1,2,,,,,,,,,,,
1986,,1,1,,1,,2,,,,1,1,1,,,,,,,,,,,,,
1987,,2,1,4,1,,,,,,1,,,,,,,,,1,,,,,,
1988,,3,4,,,,7,,,,,,,,,,,,,,1,,,,,
1989,,2,,,,,2,,1,,,,,,1,,,,,,,,,,,
1990,1,2,2,1,,1,1,1,,1,,1,1,,,,,,,,1,,,,,
1991,1,2,,,,1,6,,,,,,,,,,,,,1,,,,,,
1992,,4,,,,,3,,,,,,,,,,,,,2,,,,,,
1993,1,5,,1,2,1,,,,1,2,,,,,,2,,,1,,,,,,
1994,1,7,,1,,,,1,,,1,,,,,,,,,,1,,,,,
1995,,3,,,,,,,1,,,1,1,,,,,,,,,,,,,
1996,,7,1,,,,2,,,,2,,1,1,,,,,,,,,,,,
1997,,3,3,,,,1,1,1,,1,,,,,,1,,,,,,,,,
1998,1,13,1,,,,1,,,,1,,,1,,,,,,,,,,,,
1999,,6,2,,,,1,,,,3,,,,,,,,,,,,,,,
2000,2,1,2,,1,1,1,1,,,,,,,,,,1,,,,,,,,
2001,1,4,4,,3,,,,,,1,,1,,,,1,,,,,,,,,
2002,1,3,,1,1,2,2,,,,2,1,2,,,,,,,1,,,,,,
2003,3,3,1,1,,,2,1,,,,,1,,,,1,,,,,,,,,
2004,1,1,1,4,1,,1,,1,,,2,5,,,,1,,,,,1,,,,
2005,4,9,,1,1,,,2,,,1,3,,,,,,,,,,,,,,
2006,1,2,2,2,3,,1,,2,1,1,3,2,1,,,1,,1,1,,,,,,
2007,4,9,4,,3,,,,4,,1,,1,,,1,1,,,1,,,,,1,
2008,2,20,4,1,3,2,1,,6,,,2,4,1,,,1,,,1,,,,1,,
2009,8,16,3,2,2,4,,,4,2,1,3,,2,,,1,,2,,2,2,,,,
2010,3,24,6,4,3,1,2,4,1,1,2,,3,4,,,,,,1,,,,,,
2011,2,21,8,4,2,1,,1,,4,,1,5,2,,,2,1,3,1,1,1,,,,
2012,5,17,2,3,2,1,,,,2,1,3,5,,,,,1,1,,,1,,,,
2013,5,19,10,2,3,,1,2,1,,2,1,5,5,1,,1,1,,,,,,,,1
2014,9,26,2,3,3,,,,,2,2,,5,3,1,,4,1,,,,1,,,,2
2015,13,31,7,6,2,2,4,2,1,2,3,,7,6,,,3,,2,,1,1,,,,
2016,8,36,7,3,5,,2,2,1,4,5,1,4,2,1,,2,,1,,,,,,,
2017,13,21,3,,4,2,1,1,2,3,1,,3,1,2,,2,1,2,1,,,,,,
2018,15,22,6,2,5,2,2,2,2,1,3,,11,4,2,,2,,1,,2,,,,1,
2019,20,21,10,3,6,,5,4,2,4,6,,4,4,1,,1,,,2,1,2,,,,
2020,25,32,23,3,10,3,7,3,1,2,4,,5,6,,,2,1,,,1,,,1,,1
2021,36,53,25,7,13,1,6,7,2,4,5,4,6,3,3,,1,3,,1,,2,2,,,4
2022,35,49,27,2,18,2,7,10,1,10,10,2,12,9,2,,3,1,,2,2,1,1,1,,
2023,43,65,15,4,14,4,8,11,2,9,7,1,19,14,,1,,2,,1,,5,,1,,3
2024,38,44,16,1,14,2,12,10,1,8,2,,5,4,1,1,,2,,,5,2,,1,,
