,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,4,2,,15,1,5,2,1,4,,,8,,,2,,7,,1,1,,,,1,,
1981,2,1,,20,2,6,,,11,,,9,,,3,1,3,,,1,,,,,,
1982,4,,3,12,,3,1,,4,,,10,,,1,,6,,,,,1,,,,
1983,4,,1,34,,3,,1,9,,,13,2,,,,6,,,1,,,,,,
1984,,,2,19,3,6,1,,7,,,14,2,1,,,12,2,1,,,,,1,3,
1985,3,6,2,14,,3,2,,9,1,1,8,1,,1,,9,,,1,,,,,1,
1986,1,1,1,29,2,7,8,,4,2,,12,1,1,1,1,9,,,2,,2,,,,
1987,2,3,4,25,1,2,2,1,8,,,8,,,1,,13,,,,1,1,,,,
1988,3,4,1,15,5,3,6,,7,,1,18,,,,1,13,,,3,,,,,,
1989,7,4,2,31,1,8,3,1,7,1,,14,,,4,5,6,,,6,1,1,,,,
1990,7,2,2,18,10,8,4,1,15,,1,16,1,,5,,9,,,4,,,,1,,
1991,10,9,5,32,10,11,8,1,20,1,1,34,1,,2,3,14,1,,10,,3,,1,2,2
1992,11,6,5,51,6,12,12,,21,,2,42,1,,3,,18,,1,5,,,,1,,
1993,15,9,7,51,,7,3,1,19,1,2,46,,,6,1,17,,,11,,1,1,1,,
1994,19,16,1,67,10,10,5,1,29,1,3,46,5,,7,,14,2,1,13,,1,,3,3,
1995,20,10,5,67,4,7,7,1,32,3,2,47,5,3,2,,22,2,2,7,,1,,1,,
1996,28,15,11,112,16,20,6,,29,8,1,60,7,9,5,2,22,1,2,23,,4,1,1,1,
1997,32,16,16,145,15,23,19,,31,5,5,80,4,4,7,2,26,2,,23,,5,,,,
1998,31,33,24,129,26,12,15,3,48,3,2,85,18,10,8,3,22,3,3,17,,9,,,1,
1999,41,22,15,153,26,29,20,4,39,7,7,73,19,10,11,6,25,1,3,20,2,8,1,1,1,1
2000,48,41,28,165,27,21,37,1,31,7,14,66,37,12,9,5,50,8,5,31,1,20,2,,3,4
2001,46,48,26,168,26,28,39,12,58,6,21,109,43,22,13,7,44,3,1,41,1,15,1,,2,1
2002,165,55,41,243,39,30,74,19,42,9,27,124,25,35,14,10,40,4,3,68,2,15,2,4,1,
2003,205,85,54,267,44,50,73,7,59,21,22,131,53,47,14,15,43,12,5,61,4,15,3,8,7,1
2004,235,103,65,365,83,53,110,18,78,44,24,157,54,55,17,15,48,13,6,59,3,25,4,3,8,1
2005,205,93,59,358,109,64,124,17,90,34,21,168,68,71,18,17,57,13,13,57,7,43,15,5,3,1
2006,229,118,76,489,113,75,152,11,126,25,50,155,75,83,18,17,73,23,16,49,1,40,11,2,10,3
2007,264,129,77,363,102,81,149,26,129,31,29,123,81,90,22,20,62,13,7,54,3,35,3,2,7,3
2008,230,184,73,401,98,84,138,35,130,38,56,114,94,81,39,21,58,29,10,55,3,61,14,7,4,
2009,266,204,82,414,99,83,153,34,127,28,60,151,82,98,30,15,59,16,7,52,4,40,15,6,8,
2010,326,248,98,508,96,97,183,30,132,30,59,131,115,150,45,21,44,20,11,67,5,49,14,5,5,1
2011,336,304,113,587,165,125,204,47,180,44,104,198,120,139,50,17,57,29,29,84,14,63,13,8,15,1
2012,442,423,129,706,194,162,255,64,180,62,137,177,190,267,94,35,72,26,35,97,5,82,16,12,8,1
2013,474,556,169,727,199,168,205,96,201,91,125,208,149,218,67,32,58,40,45,71,6,88,18,9,18,1
2014,625,878,186,778,270,203,202,172,214,115,251,215,303,374,88,41,72,29,53,72,14,85,34,4,24,5
2015,756,738,238,705,287,220,271,180,224,113,241,190,248,303,67,38,90,38,41,50,12,97,23,5,13,5
2016,659,630,212,737,303,222,213,169,181,115,196,183,186,275,74,50,50,51,32,88,11,85,36,9,10,6
2017,848,745,230,803,273,232,243,160,207,131,247,197,218,268,69,38,51,37,32,62,15,87,43,17,14,3
2018,940,906,276,732,334,244,259,255,212,161,292,194,219,248,72,69,47,60,35,65,17,106,36,12,23,7
2019,1019,865,270,910,342,300,250,193,233,121,316,219,216,329,80,61,71,48,53,74,23,110,58,8,18,6
2020,1150,1011,331,958,483,323,293,257,289,133,337,204,247,346,116,75,71,58,66,88,19,115,52,15,28,10
2021,1249,1015,359,1004,495,375,317,303,246,131,338,190,235,341,99,95,67,61,44,93,23,103,41,10,19,11
2022,1242,946,420,1014,509,364,283,337,255,142,299,176,228,325,119,93,66,55,56,80,27,96,46,11,28,6
2023,1217,960,367,1065,529,381,380,341,248,133,262,169,216,363,95,109,70,65,57,99,27,100,45,7,22,15
2024,1100,731,355,802,394,372,301,240,192,154,197,113,148,257,81,98,55,58,58,56,26,73,64,5,10,10
