,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,7,8,28,9,5,18,2,,7,1,4,6,1,,5,3,4,2,3,,5,1,,,,6
1981,9,9,36,14,11,15,,1,4,1,2,1,3,1,5,5,4,,,2,5,,,1,1,1
1982,9,9,27,6,2,19,1,,6,,2,1,1,,5,,6,3,1,2,1,,,2,,
1983,10,5,50,16,5,22,4,2,2,1,5,2,2,1,4,3,4,3,,1,4,,,,,2
1984,18,8,40,11,6,26,1,2,7,,5,10,4,,9,2,7,8,2,4,4,,,,1,3
1985,20,8,56,12,11,43,1,,5,2,8,9,2,1,10,2,8,8,,,2,,,4,,2
1986,29,15,54,12,13,44,4,,7,,10,9,12,,3,7,6,4,2,1,3,2,,1,,7
1987,43,12,93,20,15,77,3,,14,2,6,16,2,1,10,4,11,5,,4,3,,,1,3,2
1988,43,16,123,19,19,77,8,1,17,2,5,11,,3,10,2,12,6,,6,6,1,,2,1,5
1989,62,12,136,27,24,76,6,4,12,2,7,16,1,,10,8,17,9,,4,5,1,,2,1,3
1990,56,20,153,37,28,90,12,,11,1,8,15,4,2,10,8,18,11,,7,14,1,,1,,6
1991,73,22,169,31,20,101,7,3,25,,17,11,2,1,15,11,28,10,4,5,11,,1,6,2,9
1992,87,17,173,49,49,124,18,2,37,1,22,21,3,4,24,10,40,15,3,14,17,1,1,4,1,12
1993,102,17,166,35,42,127,8,5,39,3,21,25,6,1,7,13,38,13,1,10,18,3,1,5,3,6
1994,116,17,262,38,39,131,13,3,37,5,7,38,7,3,10,15,40,12,4,6,21,1,2,8,2,11
1995,150,20,246,52,46,159,23,7,44,2,11,37,4,5,18,13,64,15,4,29,17,3,,4,6,8
1996,156,28,248,67,55,147,20,3,52,7,9,38,7,5,32,23,50,20,2,25,16,6,3,8,5,20
1997,151,13,255,85,71,144,22,3,41,11,18,59,10,8,31,20,55,20,,37,19,,2,2,9,14
1998,196,21,273,110,68,182,21,4,73,5,14,67,11,6,49,24,81,30,3,39,30,1,1,5,10,17
1999,198,43,322,135,77,229,45,7,66,9,23,108,24,2,35,23,65,22,5,50,24,3,1,2,12,17
2000,232,35,323,149,111,215,47,3,96,18,13,119,20,10,52,26,97,24,8,57,26,8,,6,12,18
2001,262,47,346,142,96,233,55,7,99,11,29,104,14,12,61,16,75,34,4,52,25,4,1,6,17,16
2002,280,57,363,179,115,247,98,9,113,14,28,79,24,9,49,19,104,31,7,57,28,2,2,3,17,14
2003,320,54,388,136,103,249,72,7,104,11,26,84,25,13,60,27,102,23,4,67,26,10,2,4,11,14
2004,385,48,366,176,134,208,82,12,90,22,23,79,27,17,71,27,82,38,10,55,22,5,2,5,15,16
2005,400,72,400,205,152,255,83,11,118,17,32,76,29,18,67,27,99,46,6,80,21,12,7,1,11,17
2006,624,77,402,200,163,253,123,10,96,31,42,75,25,37,83,25,98,38,8,102,18,9,7,3,16,19
2007,771,99,453,251,180,303,143,12,114,30,54,76,25,33,82,28,95,36,5,76,30,11,7,5,18,28
2008,681,119,424,256,201,303,165,18,112,28,40,88,39,25,102,31,79,48,11,84,31,12,8,5,15,19
2009,924,141,466,294,202,303,194,16,113,42,61,71,54,36,85,28,88,51,13,106,30,14,14,9,9,16
2010,964,128,497,307,210,310,197,18,138,37,36,100,36,48,118,47,171,66,15,92,27,25,8,6,9,19
2011,1376,185,517,394,261,365,295,33,174,74,67,127,43,69,103,47,168,64,19,99,37,39,34,10,15,21
2012,1587,238,523,531,291,399,484,56,244,104,130,107,51,85,127,53,166,52,17,98,29,25,25,20,8,10
2013,2142,245,593,563,306,482,461,41,254,102,102,137,80,118,146,68,130,78,36,111,34,51,23,12,20,25
2014,2551,279,676,854,341,471,750,53,267,86,97,161,73,152,177,77,156,82,84,156,33,57,30,13,14,31
2015,2044,377,642,850,371,433,788,51,273,89,96,152,98,232,177,62,206,86,88,208,35,61,21,12,17,18
2016,1814,431,440,1163,311,309,1148,70,374,117,170,245,137,340,209,48,198,60,129,210,29,98,25,19,21,3
2017,2136,482,517,1370,371,319,1173,91,371,111,224,355,158,365,245,54,233,71,169,206,35,85,37,16,26,10
2018,2134,522,581,1759,478,348,1375,116,440,147,237,370,167,411,238,55,216,77,241,282,32,127,50,25,30,13
2019,2043,675,657,1970,595,340,1488,138,544,150,263,375,165,487,221,89,267,87,249,341,28,130,36,34,28,10
2020,3517,842,866,2292,738,415,1544,167,757,215,311,348,271,652,313,92,343,109,284,533,61,144,56,31,38,12
2021,3784,1020,1091,2318,1002,485,1455,220,732,212,331,366,327,646,394,117,319,108,267,576,63,127,70,30,30,13
2022,3639,1005,1215,2631,1069,505,1644,231,763,242,267,379,300,729,393,113,303,114,365,676,58,149,70,34,49,10
2023,4537,1101,1347,2908,1209,656,1959,287,925,305,261,598,381,653,429,181,344,138,380,571,65,187,82,60,50,12
2024,3724,787,1291,2573,1158,615,1662,240,736,281,238,455,287,544,380,137,318,106,295,589,75,167,60,54,39,10
