,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,1,,,2,,,,,,,,,,,
1981,,,,,,,,,1,,,,,,,,,,,,,,,,,
1982,1,,,,,,,,2,,,1,,,,,1,,,,,,,,,
1983,,,,,,,1,,,,,2,,,,,5,,,,,,,,,
1984,,,,,,1,,,2,,1,1,,,,,4,,,,,,,,,
1985,,,,1,,,,,,,,,,,,,3,,,,,,,,,
1986,,,,,,,,,1,,,1,,,,,2,,,3,,,,,,
1987,1,,1,,,,,,1,,,,1,,,,1,,,,,,,,,
1988,,1,,,1,,,,2,,,2,,,,,2,,,,,,,,,
1989,,,,1,,,3,,,,,,,,,,1,,,1,,,,,,
1990,,,,,,1,,,,,,2,,,,,1,,,,,,,,,
1991,2,,,6,,2,,,4,,2,8,,,,,5,,1,2,,,,,,
1992,2,,1,8,,3,3,,14,,,17,,1,2,,6,,,3,,,,,1,
1993,4,3,2,23,3,4,10,,15,,2,17,,2,,,16,,,5,,1,,1,,
1994,7,6,6,29,4,5,11,1,16,1,,25,1,2,,,14,,1,3,,1,,2,,
1995,6,6,8,25,,4,13,,25,3,,25,1,1,4,1,25,,,6,,2,,2,,
1996,3,2,6,19,1,4,21,1,21,,4,35,1,2,1,,18,,1,7,,2,,2,1,
1997,7,6,7,38,2,13,20,,38,1,2,49,,2,4,1,16,,,13,2,5,,1,,
1998,7,4,11,22,4,6,14,1,21,1,,33,1,,,,17,,,14,,,,1,,
1999,3,4,6,47,5,6,12,,29,,,33,,3,2,4,25,,2,5,,2,,3,1,
2000,9,3,5,42,2,5,6,,27,,,49,,,4,,27,,1,4,,3,,,,
2001,14,4,7,31,9,8,14,2,36,,,36,,3,1,,21,,1,,,,,,1,
2002,5,5,8,97,5,11,11,4,89,3,2,74,,2,3,,22,,,5,,1,,1,1,
2003,9,8,8,74,6,8,14,1,60,2,2,48,4,2,4,,29,,2,11,,,,1,2,
2004,15,7,10,46,7,15,16,2,59,1,2,37,1,1,,,16,,1,7,1,1,,,3,
2005,29,9,5,52,7,22,22,3,73,3,1,35,3,1,3,2,42,,3,15,2,3,,,,1
2006,29,17,16,65,10,22,20,1,49,1,1,48,2,,2,,37,,6,8,1,4,1,2,1,
2007,21,15,23,84,5,21,20,2,65,3,3,36,4,3,8,2,36,1,2,11,1,5,,1,3,
2008,41,15,31,89,28,23,25,1,65,4,3,41,4,8,11,,24,2,6,14,2,3,1,5,6,
2009,39,13,27,66,18,26,23,4,70,3,2,50,6,4,11,2,38,1,6,16,1,2,,3,,
2010,38,8,22,79,18,33,27,7,61,4,4,37,5,4,8,,30,1,8,12,1,,4,3,4,
2011,46,25,28,82,32,33,15,6,83,6,4,39,4,6,17,1,48,2,4,9,,3,5,2,2,1
2012,54,32,29,89,25,27,20,7,75,11,5,49,7,4,9,1,30,3,13,13,1,3,,2,3,
2013,82,51,47,90,38,39,27,8,56,10,14,41,22,18,20,2,26,5,8,19,1,6,3,3,2,1
2014,96,62,44,111,25,41,46,13,73,9,8,37,22,20,20,7,27,4,6,17,2,5,5,2,4,
2015,97,224,59,121,41,29,57,25,89,20,86,62,56,44,13,3,26,1,17,14,3,8,,1,2,
2016,113,173,33,129,36,20,55,18,78,20,61,42,52,40,20,1,34,4,14,17,3,9,3,1,3,
2017,155,164,60,131,35,35,52,30,52,36,62,59,51,36,17,12,20,6,17,10,4,12,1,,1,2
2018,153,247,85,120,48,29,64,60,56,38,75,61,50,52,14,7,34,4,10,8,7,19,11,,4,
2019,201,278,68,139,60,34,65,65,94,56,99,47,56,65,19,10,42,7,16,23,6,14,12,,,2
2020,286,372,80,122,75,43,84,88,75,56,137,40,84,60,21,13,30,7,17,19,10,12,11,2,4,2
2021,407,518,127,116,109,68,111,106,63,79,193,41,93,74,27,21,34,9,10,19,7,18,20,3,4,
2022,411,633,110,169,136,65,155,100,66,110,144,48,152,132,40,13,35,9,16,17,9,27,9,3,3,
2023,457,614,167,187,119,82,142,109,87,90,102,41,174,132,35,15,46,11,23,24,13,21,12,8,4,3
2024,252,172,80,81,50,28,71,66,43,51,48,26,35,39,11,7,18,7,10,15,8,9,21,3,1,
