,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,2,,,,,,,,,,,,,,2,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,1,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,1,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,1,,,2,,,,,,,,,,,,,,,,,,,,,
1989,,1,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,1,,,,,,1,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,1,2,,1,,,,,2,,1,,,,,,,,,,,,
1993,1,4,,4,,,,,1,,,,,,1,,,,,,,,,,,
1994,1,,,2,,1,3,,2,,,3,,,3,,,,,,,,,,,
1995,3,2,1,4,,,,,2,1,1,1,,,,1,,,,,,,,,,
1996,,,,10,,,1,,,,,1,,1,1,,1,,,,,1,,,,
1997,2,1,,9,1,2,4,,,3,2,4,,1,1,2,1,,,,,,,,,
1998,,2,1,10,1,,,1,,1,,2,,3,1,,,,,1,,,,1,,
1999,3,,,15,,,1,,3,2,1,2,,,2,2,1,,,,1,,,,,
2000,3,,1,12,2,,4,,1,,,7,,,,1,3,1,,,,,,,1,
2001,2,2,,17,,,4,,,1,,5,1,,,,2,,,2,,,,,2,
2002,4,3,6,38,,2,25,1,3,1,,5,1,,,,,1,,7,,,,,,
2003,12,1,8,39,1,4,18,,5,2,1,10,1,,1,,3,,,3,,1,,,,
2004,20,6,15,29,2,4,13,1,5,1,,6,3,,,1,4,1,,10,1,1,,,1,
2005,22,1,15,23,8,3,16,,7,1,,11,2,1,,1,2,,1,3,,,,,,
2006,27,4,9,47,1,4,13,,3,1,1,16,5,5,2,5,6,1,,6,1,1,1,,1,
2007,28,12,18,38,7,2,17,,3,6,,24,6,4,2,2,4,1,1,3,,2,,,1,
2008,45,12,17,37,7,8,16,2,2,7,1,16,15,3,1,3,2,,,,1,,2,1,,
2009,35,7,22,35,8,12,20,5,3,5,3,21,20,8,11,3,3,1,,10,,2,2,1,,
2010,40,9,32,62,20,6,26,3,2,6,3,23,10,6,8,1,4,1,,18,2,3,,,,
2011,48,21,32,53,20,7,23,6,3,9,6,15,18,8,6,1,2,5,1,23,,3,1,,,
2012,49,33,47,84,25,12,43,4,4,5,8,16,23,25,7,2,10,3,1,19,,8,3,,,
2013,72,37,34,75,25,18,61,2,1,5,12,9,31,19,8,,6,3,2,24,1,4,1,1,,1
2014,84,46,38,108,42,5,38,11,11,13,25,10,32,19,8,1,2,3,7,20,1,4,2,2,,
2015,89,53,56,113,27,17,59,7,8,6,11,6,59,22,9,2,4,2,5,19,3,4,1,4,,
2016,98,56,68,100,52,13,62,8,7,5,15,12,40,30,26,1,1,2,5,22,,1,,2,,
2017,101,52,54,100,35,13,54,11,2,13,27,10,49,26,16,2,3,4,7,25,5,9,3,1,,
2018,125,66,62,122,68,22,55,10,7,22,26,15,44,33,16,3,7,5,6,19,2,9,1,1,1,1
2019,145,74,66,116,63,26,31,13,9,21,36,12,29,20,11,10,2,2,3,19,3,1,7,1,,1
2020,147,177,121,137,134,32,50,28,15,47,155,13,73,35,128,4,8,7,10,26,4,17,4,2,1,1
2021,161,89,72,124,102,37,54,36,9,40,33,21,75,33,24,3,8,3,7,21,3,7,2,3,,
2022,153,85,83,119,67,28,52,35,10,24,34,13,47,41,19,3,7,3,8,25,5,14,3,2,,1
2023,155,76,81,125,76,27,75,30,12,24,22,20,42,26,21,12,9,9,7,15,1,8,3,2,,2
2024,174,58,70,116,64,33,49,29,15,28,19,14,38,24,32,8,4,10,12,14,7,2,2,,,
