,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1,,,1,,,,,,,,,,,,,1,,,,,,,,,
1981,,1,2,,2,,,1,,,1,2,,,,,1,,,,,,,,,
1982,1,,2,,,,,1,,1,,,,,,,,,,,2,,,,,
1983,1,5,1,,,3,,1,,1,,,,,,,1,,,,,,,,,
1984,1,3,1,2,,2,,,1,,,1,,,1,,,,,,,,,,,
1985,3,1,4,1,1,1,,,,1,1,,1,,2,,,,,,,,,,,
1986,,,3,,,4,,,,,,,,,,,,1,,,,,,,,
1987,5,,2,1,3,,1,1,1,,,,1,,,,1,,1,,,,,,,
1988,12,1,2,2,,3,,1,,,,,,,1,,,,,,,,,,,
1989,19,1,3,,,7,,3,,,,1,,,2,,,1,,,,,,,,
1990,17,,4,1,1,2,1,1,1,,,1,2,,2,,,1,,1,,,,,,
1991,11,1,6,,2,4,,2,,1,1,1,,,1,,2,,,,,,,,,
1992,12,1,6,2,1,4,,1,,,,,,,2,,1,,,,,,,,,
1993,9,2,3,1,4,,,3,1,,1,,,1,,,,1,,,2,,,,,1
1994,18,,3,,7,5,,5,,,1,,,,3,,,4,,1,3,,,1,,1
1995,24,1,4,1,3,2,,4,,2,1,,,,,,1,2,,5,1,,,1,,
1996,21,3,8,,3,4,,,,,1,2,1,,2,,3,5,,,,,,,,
1997,17,2,5,,3,6,,3,,2,,,1,,6,,1,3,,,,,,1,1,
1998,9,4,4,,2,10,,2,,,,,,1,8,1,,2,,3,,,,,,
1999,22,1,6,,7,8,,9,,3,,1,,1,16,2,1,3,,,,,,3,,1
2000,28,5,6,1,8,13,,8,1,,3,,,,4,,,4,,,,1,,,,
2001,25,2,8,1,8,10,2,1,2,,2,,,,4,,2,9,,1,1,,,1,,
2002,27,5,7,3,5,9,2,4,2,,4,,,,,,,5,,,,1,,2,,
2003,35,6,6,1,9,18,,6,1,2,1,,6,,9,,,5,,,,,,,,
2004,19,13,18,2,6,13,1,4,,2,3,1,,,1,1,1,2,,1,4,,,,,
2005,20,14,32,1,14,8,1,9,3,1,5,,1,,3,,2,2,1,1,,,,,,
2006,22,5,35,3,18,13,,16,,,3,2,,1,6,,6,2,,3,,,,3,,
2007,32,13,26,9,23,14,2,11,4,2,,,4,1,8,,2,5,,,,,,,,
2008,52,13,47,10,20,17,5,10,,6,1,1,,1,5,,3,13,1,2,,1,1,1,,
2009,32,10,55,6,38,17,3,16,2,2,2,2,4,1,10,,3,5,,2,,,,,,
2010,43,16,50,7,26,25,2,8,2,3,2,2,1,1,11,1,,1,1,4,,,2,,,
2011,72,20,44,10,33,23,5,15,2,2,2,1,,2,9,,3,9,1,,2,2,,1,1,
2012,62,8,61,12,38,24,2,15,7,2,4,2,4,3,5,,3,4,,3,,,1,2,1,
2013,62,21,64,12,33,35,5,17,4,3,7,3,6,4,14,2,3,4,,4,,2,,3,,2
2014,102,29,78,10,37,30,8,9,2,4,6,1,6,2,16,1,1,7,2,1,,2,,1,,
2015,74,23,67,9,57,46,4,17,,6,2,2,5,2,14,1,1,8,1,2,2,,,1,1,
2016,109,28,75,15,55,25,7,19,3,5,11,3,3,7,17,,1,12,2,8,5,2,,2,3,1
2017,126,18,88,14,62,28,11,20,4,5,11,3,8,3,14,2,1,6,1,3,3,1,1,3,,
2018,134,30,91,25,75,22,23,21,5,6,5,6,5,2,16,,3,16,1,5,12,,1,,3,3
2019,138,48,101,26,74,48,26,16,4,4,8,5,6,5,17,5,9,13,2,5,10,4,1,,1,
2020,195,44,113,26,72,57,15,20,,6,7,16,9,5,23,5,5,25,2,25,10,4,1,3,,
2021,190,56,138,30,116,56,31,38,5,16,11,14,23,15,25,2,7,28,2,25,9,9,,1,,1
2022,189,47,123,22,93,58,19,48,3,15,36,19,9,10,23,3,5,21,4,12,17,3,2,2,1,
2023,215,59,131,26,124,62,19,32,10,18,4,23,27,26,13,3,7,35,1,7,9,4,1,2,,
2024,154,41,120,36,91,57,22,30,2,13,8,9,10,14,21,3,6,22,2,8,7,8,1,3,,
