,Documents,Share
1980,8,6.1734873412642065e-06
1981,24,1.8665030365671276e-05
1982,17,1.287696364227189e-05
1983,5,3.650367774553286e-06
1984,21,1.474701495838884e-05
1985,21,1.4183745697597139e-05
1986,14,8.976580102512545e-06
1987,16,9.7323600973236e-06
1988,21,1.2223529945902148e-05
1989,20,1.0934488744310648e-05
1990,29,1.4574248509029249e-05
1991,34,1.7064760767111188e-05
1992,39,1.8769798527870264e-05
1993,50,2.300806524719175e-05
1994,54,2.358363871961805e-05
1995,83,3.416944173307409e-05
1996,93,3.532131573040493e-05
1997,122,4.4708689903458546e-05
1998,107,3.680066695190049e-05
1999,138,4.585700258028714e-05
2000,166,4.5460184409511914e-05
2001,234,6.399373408360973e-05
2002,277,6.497846210289539e-05
2003,276,6.103912475202855e-05
2004,276,5.616669624236662e-05
2005,296,5.636532039876179e-05
2006,401,7.002087006082212e-05
2007,419,6.694275627452537e-05
2008,508,7.635407488771592e-05
2009,612,8.488221413868616e-05
2010,725,9.40537652835747e-05
2011,1039,0.0001240310891863513
2012,1254,0.0001451984135162818
2013,1526,0.00016783873315412204
2014,1774,0.0001845412672346876
2015,2007,0.0002044869136016809
2016,2050,0.00020238879994202794
2017,2234,0.00022397833445740245
2018,2156,0.0002157139185203706
2019,2282,0.00022184632135635403
2020,2838,0.00025798824980789514
2021,2671,0.0002650118918009329
2022,2929,0.00030368123030193316
2023,3031,0.00030054560281257535
2024,2025,0.0002147322892784327
