,Documents,Share
1980,11,8.488545094238284e-06
1981,28,2.1775868759949824e-05
1982,26,1.969417968818054e-05
1983,35,2.5552574421873005e-05
1984,32,2.247164184135442e-05
1985,45,3.0393740780565296e-05
1986,37,2.372381884235458e-05
1987,45,2.7372262773722627e-05
1988,46,2.6775351310071373e-05
1989,67,3.6630537293440676e-05
1990,73,3.668690141928052e-05
1991,69,3.463142626266682e-05
1992,68,3.272682820244046e-05
1993,85,3.911371092022598e-05
1994,101,4.411013908669302e-05
1995,89,3.663952185835655e-05
1996,104,3.949910576303347e-05
1997,99,3.628000246264259e-05
1998,134,4.6086816556585666e-05
1999,87,2.890984945278972e-05
2000,115,3.149350124755343e-05
2001,142,3.883380444389992e-05
2002,179,4.1989692117033486e-05
2003,152,3.3615749863436016e-05
2004,187,3.805497172942956e-05
2005,233,4.436864747605235e-05
2006,279,4.871776246127025e-05
2007,328,5.240387603351867e-05
2008,300,4.509098910691885e-05
2009,351,4.8682446344246474e-05
2010,364,4.722147663892578e-05
2011,449,5.359957559641167e-05
2012,486,5.627306935320012e-05
2013,527,5.796265555191502e-05
2014,594,6.179115712367782e-05
2015,582,5.9298148338902977e-05
2016,628,6.200008115297246e-05
2017,707,7.088302706418243e-05
2018,795,7.954200613343907e-05
2019,932,9.060507077305958e-05
2020,1057,9.608653278609766e-05
2021,1106,0.00010973536216092541
2022,1231,0.00012763113502959364
2023,1193,0.00011829459061544124
2024,742,7.868215241708496e-05
