,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,10,,6,2,1,4,,,1,2,,1,,,,,,1,,,1,,1,1,,3
1981,10,,9,2,1,3,,,,,,1,,,,,,4,,,1,,1,,,
1982,11,2,4,,1,9,1,,,5,2,1,1,,1,,,,,,1,,10,,,
1983,6,1,5,1,4,2,,,,1,1,1,,,1,,,3,,,,,8,,,
1984,15,2,3,2,1,3,,1,,3,1,,,,1,,,7,,,1,,,,,4
1985,14,1,12,1,1,7,,1,2,1,,,,4,,,3,1,,,,,7,,,1
1986,10,,7,,,3,,,1,2,,,1,1,,,,4,,,1,,3,,,2
1987,22,2,7,3,1,11,2,1,,5,,,1,,,,,8,,,2,,5,,1,
1988,10,2,5,2,,8,2,,,1,,1,,1,,1,,2,,,,,4,,,2
1989,19,3,6,4,1,7,1,,,7,1,,,,,,1,1,,2,2,,16,1,,
1990,28,,10,10,,11,,,1,6,,4,1,,2,1,1,4,,,4,,14,,,3
1991,28,,10,5,2,12,1,,,12,3,1,1,2,,,,4,,,1,,9,,1,3
1992,48,,5,5,2,9,1,,2,7,,1,1,1,2,,,5,,,4,,15,,,
1993,37,2,3,4,4,13,1,,,6,,2,,,2,1,3,4,,,1,,20,1,,
1994,34,3,1,4,2,17,2,1,2,12,1,8,,,2,3,4,3,,1,5,,22,,1,
1995,38,2,2,1,7,16,1,3,3,4,,7,,,,1,5,4,,,1,,35,,,
1996,28,1,4,7,1,8,1,1,4,12,,2,,,,1,3,,1,,1,1,20,,1,
1997,33,1,2,7,2,9,4,,4,8,,2,,,2,5,5,4,,1,,,18,1,3,
1998,44,2,1,10,2,9,1,4,2,3,,1,,,2,2,2,5,,1,,,16,1,,
1999,43,5,5,18,5,16,7,2,1,12,,3,,,3,6,2,5,,3,,,14,,1,
2000,44,5,8,59,11,8,24,3,5,5,1,9,1,2,9,1,7,4,,6,1,,33,1,,
2001,43,15,5,66,7,17,42,1,7,5,8,4,5,10,6,1,2,1,1,2,2,1,25,,,
2002,48,16,14,59,9,19,25,3,6,6,9,3,10,6,13,3,4,6,1,2,1,2,14,1,,
2003,50,15,5,55,7,20,28,6,4,6,10,5,8,6,7,,5,1,2,6,1,3,16,3,,
2004,54,22,17,33,10,11,30,7,4,7,5,3,8,10,5,4,6,7,2,1,1,2,22,1,,
2005,40,29,14,41,13,20,63,9,9,13,8,5,7,5,12,2,3,4,2,,3,2,23,5,1,2
2006,59,16,19,60,13,30,34,12,11,9,4,2,11,5,9,4,7,7,,2,,2,31,3,1,1
2007,57,30,16,21,9,13,29,12,7,4,10,3,4,3,8,2,6,4,2,2,,4,38,1,,
2008,60,26,20,25,11,12,43,8,2,8,9,5,6,4,11,2,2,5,3,,1,2,20,1,,
2009,56,35,15,29,10,23,42,12,9,17,8,4,7,4,11,3,5,9,2,5,1,3,30,3,1,
2010,83,42,21,35,9,23,50,8,1,10,21,5,3,8,8,2,7,7,,5,1,3,26,1,1,2
2011,94,37,16,42,21,19,71,11,9,14,7,4,8,10,12,5,3,7,1,,2,4,29,,,2
2012,108,37,14,41,12,16,48,11,7,22,17,9,7,28,10,6,4,4,3,,1,4,40,3,,3
2013,97,47,17,31,13,17,57,8,9,20,8,4,9,19,12,4,3,4,1,2,2,6,32,1,,1
2014,88,47,18,43,17,22,67,21,5,19,6,,9,33,10,5,2,10,1,1,3,3,33,3,,
2015,126,76,23,53,20,17,94,29,4,26,11,3,16,61,26,5,5,6,3,4,6,9,33,6,1,3
2016,164,51,50,35,20,30,59,15,5,24,10,6,7,13,15,4,6,8,4,3,6,3,64,4,,
2017,178,46,49,49,34,47,78,22,13,18,9,7,5,8,38,1,2,16,2,,6,5,53,6,,2
2018,201,54,66,102,75,57,142,7,11,15,9,9,13,17,38,5,6,14,7,2,8,4,41,7,,2
2019,210,62,103,129,79,77,191,17,13,28,9,11,11,17,53,7,8,11,5,5,8,8,43,10,1,4
2020,272,58,125,132,126,84,205,30,19,33,13,7,17,17,63,15,4,26,9,8,13,10,74,11,,10
2021,294,67,95,48,86,67,81,32,19,37,18,12,17,7,40,10,3,25,6,5,10,7,61,8,,6
2022,285,65,77,46,59,45,54,18,9,50,13,5,13,10,33,6,3,26,3,8,10,3,38,3,,6
2023,230,68,60,68,63,41,94,15,9,30,12,5,5,28,22,5,6,15,7,4,8,7,44,6,,5
2024,192,51,68,64,41,31,77,18,6,24,10,4,10,13,20,8,5,6,3,6,4,9,34,5,,5
