,Documents,Share
1980,34,2.623732120037288e-05
1981,32,2.4886707154228368e-05
1982,54,4.090329627545189e-05
1983,37,2.7012721531694318e-05
1984,46,3.230298514694698e-05
1985,59,3.9849571245630054e-05
1986,36,2.308263454931797e-05
1987,73,4.440389294403893e-05
1988,46,2.6775351310071373e-05
1989,80,4.3737954977242594e-05
1990,105,5.276883080855418e-05
1991,101,5.0692377572889114e-05
1992,114,5.4865564927620767e-05
1993,111,5.1077904848765684e-05
1994,140,6.114276705086161e-05
1995,143,5.8870242985898726e-05
1996,110,4.1777900326285404e-05
1997,120,4.39757605607789e-05
1998,117,4.023998162030241e-05
1999,165,5.482902482425636e-05
2000,263,7.202426807049176e-05
2001,281,7.684717639954843e-05
2002,292,6.849715138644567e-05
2003,280,6.192374974843476e-05
2004,277,5.6370198764983894e-05
2005,348,6.626733614449021e-05
2006,365,6.37347071625937e-05
2007,309,4.9368285653528255e-05
2008,317,4.764614515631092e-05
2009,379,5.25659463375197e-05
2010,412,5.3448484547355555e-05
2011,449,5.359957559641167e-05
2012,489,5.662043397883716e-05
2013,460,5.0593589286301533e-05
2014,511,5.315703920908983e-05
2015,716,7.29509866162449e-05
2016,633,6.249371237234327e-05
2017,709,7.108354482108252e-05
2018,930,9.304913925043816e-05
2019,1140,0.0001108259449370042
2020,1396,0.00012690331104010626
2021,1074,0.00010656037880726393
2022,940,9.746000562779693e-05
2023,880,8.72583736308368e-05
2024,756,8.016672133061487e-05
