,Documents,Share
1980,9,6.945173258922233e-06
1981,13,1.0110224781405274e-05
1982,17,1.287696364227189e-05
1983,17,1.2411250433481173e-05
1984,23,1.615149257347349e-05
1985,21,1.4183745697597139e-05
1986,39,2.5006187428427803e-05
1987,18,1.094890510948905e-05
1988,23,1.3387675655035686e-05
1989,27,1.4761559804819375e-05
1990,46,2.311777349708088e-05
1991,55,2.7604760064444568e-05
1992,39,1.8769798527870264e-05
1993,42,1.9326774807641072e-05
1994,44,1.921629821598508e-05
1995,40,1.6467200835216425e-05
1996,87,3.3042521167153e-05
1997,70,2.565252699378769e-05
1998,101,3.473707815085935e-05
1999,91,3.0239037933377752e-05
2000,106,2.9028792454266643e-05
2001,113,3.0902957057469655e-05
2002,131,3.072988640967255e-05
2003,186,4.113506233288881e-05
2004,313,6.369628957920562e-05
2005,310,5.903124771491944e-05
2006,358,6.251239771016039e-05
2007,474,7.572999158502394e-05
2008,547,8.221590347161538e-05
2009,610,8.46048212820238e-05
2010,723,9.379430662072346e-05
2011,994,0.00011865919408203385
2012,1019,0.00011798818450804717
2013,1621,0.00017828740920237997
2014,2258,0.00023488961748361026
2015,1637,0.00016678877805976662
2016,891,8.796508329187654e-05
2017,901,9.033324948349132e-05
2018,1215,0.00012156419805299179
2019,1353,0.00013153289780681288
2020,1804,0.00016399253088563877
2021,2101,0.00020845750081383753
2022,2478,0.0002569211637720008
2023,2529,0.0002507686669458935
2024,1854,0.00019659934040603172
