,Documents,Share
1980,,
1981,,
1982,2,1.5149368990908106e-06
1983,1,7.300735549106573e-07
1984,1,7.022388075423256e-07
1985,,
1986,,
1987,,
1988,,
1989,1,5.467244372155324e-07
1990,2,1.0051205868296034e-06
1991,1,5.019047284444467e-07
1992,,
1993,1,4.6016130494383503e-07
1994,1,4.3673405036329724e-07
1995,1,4.1168002088041066e-07
1996,,
1997,1,3.6646467133982413e-07
1998,,
1999,,
2000,1,2.7385653258742117e-07
2001,2,5.469549921676045e-07
2002,4,9.383171422800778e-07
2003,1,2.2115624910155274e-07
2004,8,1.628020180938163e-06
2005,1,1.904233797255466e-07
2006,1,1.7461563606190054e-07
2007,3,4.793037442090122e-07
2008,2,3.006065940461257e-07
2009,2,2.773928566623731e-07
2010,2,2.5945866285124057e-07
2011,4,4.775017870504381e-07
2012,4,4.6315283418271705e-07
2013,7,7.699024456611103e-07
2014,16,1.6644082726916581e-06
2015,18,1.833963350687721e-06
2016,14,1.3821674142382397e-06
2017,9,9.023299060504127e-07
2018,11,1.1005812169406664e-06
2019,7,6.80510188209675e-07
2020,10,9.090495060179532e-07
2021,9,8.929640682172955e-07
2022,24,2.4883405692203468e-06
2023,17,1.6856731269593471e-06
2024,15,1.5906095502106126e-06
