,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,1,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,1,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,1,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,1,,,,,,,,,,,,,,,,,
1987,2,,,,1,,,,,,,,,,,,,1,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,1,,1,,,,,,,,,,,,,,,1,,,,,,,,
1990,,,,,,1,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,1,,,,,,,,,,,
1992,4,,,,1,1,,,,,,,,,,,,,,,,,,,,
1993,,,,,2,1,,,,,,,,,4,,,,,,,,,,,
1994,,1,1,,1,,,,,,,,,,,,,,,,,,,,,
1995,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,1,1,1,1,,,,,,,,,1,,,,,,,,,,,
1997,,1,2,1,1,,,,,,,,,,,,,1,,1,,,,,,
1998,,4,,,1,,,,,,,,,,,,,1,,1,,,,,,
1999,2,2,1,,3,,,,,,1,,,,2,,,,,,,,,,,
2000,1,1,4,,2,4,,,,,,,,,,,,,,2,,,,,,1
2001,6,,,,2,1,,,1,,,,,,1,,,,,1,,,,,,
2002,4,,2,,1,,2,,,,,,,,,,1,,,1,,,,,,
2003,4,2,3,2,1,1,,,,,,,,,1,,1,,,5,,,,,,1
2004,4,4,2,,1,,,,3,,,1,,,2,,1,,,10,,,,,,
2005,5,1,4,2,4,3,1,1,1,1,1,1,1,,1,,3,,,6,,,,,,
2006,5,1,4,,3,1,,,,,,,,,2,,,1,1,5,,,,,,
2007,7,1,4,3,3,,,1,,1,,,,,2,,1,,,1,,,,,,
2008,4,,4,4,1,1,1,,1,,,,,,1,,4,,1,,,,,,,
2009,7,3,3,2,6,,,,1,1,,,1,,3,,3,,,,,,,,,
2010,5,3,6,,3,1,,,,,,,,,3,,1,,1,1,,,,,,
2011,14,3,6,,5,,,,,,1,,1,,4,,2,1,1,1,2,,,,,1
2012,16,3,8,7,2,5,1,,1,,,,,,2,,,,1,,1,,,,,
2013,13,3,5,2,9,4,2,,,,1,,,,1,1,,,1,1,1,,,,,
2014,12,2,5,5,10,4,,,1,,,1,,,5,,1,,1,3,,,,,,
2015,12,3,8,2,12,,4,,,,1,,,,,,,,2,1,1,,,,,
2016,33,5,9,2,10,3,1,,1,1,,,,,2,2,5,,2,1,,1,,1,,
2017,24,4,4,1,10,3,3,,2,1,,1,2,,5,,5,2,1,,2,,,,,
2018,31,4,9,10,13,3,1,,5,2,2,1,2,,2,1,5,5,3,2,1,,,,,1
2019,36,6,10,10,8,2,3,,1,1,1,3,2,1,4,,1,4,3,5,2,,,,,
2020,37,5,6,14,12,2,4,,3,,,2,3,2,6,2,,,2,7,2,2,,,,
2021,35,6,3,11,23,1,12,1,5,,,2,,2,7,,5,1,3,4,5,3,,,,
2022,26,6,9,16,22,2,7,2,,2,,1,,3,12,1,3,2,1,6,,3,,,,
2023,25,9,14,17,24,5,12,,4,3,1,3,2,3,7,1,1,2,2,12,2,,,,,
2024,24,4,9,6,21,2,10,,3,,1,1,2,3,6,2,1,3,5,6,1,1,1,,,
