,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,2,,1,,1,,,,,1,,,,,,,,,,,
1981,,,,,1,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,1,,,,,,,,,,,1,,,,,,,,,,,
1984,,,,,1,,,,,,,,,,,,,,,,,,,,,
1985,,,,,3,,,,,,,,,,1,,,,,,,,,,,
1986,,,,,1,,,,,,,,,,,,,,,,,,,,,
1987,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
1988,2,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,1,,,,,,,,,,,
1990,,1,,,1,,,,,,,,,,2,,,,,,,,,,,
1991,,2,,,1,,,,,,,,,,1,,,,,,,,,,,
1992,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,1,,,,,,,,,,,,,,,,
1994,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
1995,,,2,,1,1,,,,,,,,,,,,,,,,,,,,
1996,,,1,,3,,,,,,,,,,1,,,,,,,,,1,,
1997,,,,,2,,,,,,,,,,,,,1,,,,,,,,
1998,1,,,,1,,,,,,,,,,,,,,,,,,,,,
1999,1,,1,,2,,,,,,,,,,1,,,,,,,,,,,
2000,,1,1,,,,,,,,,,,,2,,,,,,,,,,,
2001,3,1,2,,4,,,,,,1,1,,1,1,,,1,,,,,,,,
2002,,1,,,3,,,,,,,,,,1,,,,,,,,,,,
2003,22,1,6,1,3,8,,,,4,,,1,,8,,,3,,1,,,,,,
2004,27,1,3,1,10,6,,,,4,,,,,1,1,,12,,,,,,,1,
2005,26,3,4,1,6,2,,,,6,,,,,3,,,5,,1,,,,,,
2006,19,3,,1,14,,,,1,4,,,1,,5,,,4,1,,,,,,1,
2007,26,2,3,,5,6,,,,4,,,,,5,1,,9,1,1,,,,,1,
2008,31,2,6,2,6,4,1,,,3,,,1,,4,,,7,,,,,,,,
2009,19,6,3,1,7,6,,,2,2,,,,1,1,,,9,2,,,,1,,,1
2010,17,2,2,1,3,4,,,1,1,,,,2,4,,,7,,,,,,,,
2011,40,1,1,2,7,8,,1,,2,,,,2,5,,1,9,,,,,,,,
2012,26,2,1,5,14,2,1,,,4,,,1,,8,,,,,,,1,,,,
2013,16,4,1,,11,3,1,,,4,3,,2,1,7,,1,4,,,,3,,,,
2014,9,2,1,6,23,4,1,,,,,,1,1,8,,,,,,,,,,,
2015,5,2,2,3,28,4,2,1,,1,1,,,2,6,,,,1,,,,,,,
2016,6,7,3,7,15,1,1,,,,,,,2,11,,,,,,,,,,,
2017,8,7,2,6,29,1,1,,,,,,2,,11,,1,2,,,,,,,,
2018,10,9,3,4,30,1,1,2,,3,1,,,4,11,,,,,1,,1,,,,
2019,14,11,3,2,26,2,4,,,1,1,1,2,2,9,1,,,3,1,2,3,,,,
2020,41,26,7,10,49,6,8,3,3,2,2,1,5,7,15,,,1,1,2,2,,1,,,
2021,31,19,8,11,50,3,6,11,8,1,3,,4,7,8,1,2,,2,1,1,1,1,1,1,
2022,38,18,12,12,35,3,7,7,8,7,2,1,1,11,7,1,,3,4,1,3,2,,,,
2023,39,19,10,10,44,8,8,4,12,5,2,1,2,13,11,1,,1,,,,2,,,,
2024,40,30,4,12,40,7,4,12,8,7,3,1,4,13,12,,1,,1,,2,3,,1,,
