,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,7,10,,1,1,,1,,,,2,,,1,,,,,,,,,,,,
1981,9,10,7,,,4,1,,,1,,,1,,1,,,,1,,,1,,,,
1982,6,9,6,1,3,,,,,,2,1,2,,,,,3,,1,,,1,,,
1983,12,13,4,,,1,3,2,,,2,,1,,1,1,,1,,,,,,,,
1984,3,7,5,1,3,,,2,,1,,,2,,2,,,2,,,1,,,1,,
1985,3,7,5,,2,1,,1,1,1,,,1,,,,,1,,1,,,1,1,,
1986,9,6,6,,3,1,,,,,1,,2,,,,,2,,,,,,,,
1987,9,6,1,2,,1,1,1,1,,2,,2,1,,,1,1,,1,,,,1,,
1988,14,6,8,1,7,2,2,1,,,,,,,,1,,3,,,,,,,,
1989,6,15,5,3,2,4,,1,1,2,1,,2,1,,,,,,,,,,,,
1990,16,14,9,2,4,1,,1,,4,1,,2,,1,,,1,,,3,,1,,,
1991,16,10,7,,3,2,3,,,4,2,1,4,1,2,,,2,,,1,,,,,
1992,15,11,2,,2,2,,1,,4,,,1,1,1,,,2,,,,,,,,
1993,19,19,8,1,3,,,3,,2,,,2,2,,1,,1,,,2,,,,,
1994,33,4,5,2,4,4,,,1,10,2,,5,1,,,,6,,,2,,,1,,
1995,31,12,3,,5,1,2,7,,3,,,5,,1,,,4,2,,5,,,,,
1996,45,10,3,,1,,,1,,7,2,,2,2,,,,15,1,,2,,,,,
1997,40,14,9,1,3,3,,3,,4,,,1,2,1,2,,4,,2,3,,,,,
1998,33,9,7,,,2,2,4,,6,2,,5,1,,1,,3,,2,1,,,,,
1999,52,8,10,2,2,5,,1,,,1,,1,2,,,,8,,,2,,,,,
2000,50,3,15,2,4,6,1,,,3,1,,4,,,,,4,,,8,1,,,,
2001,72,2,8,1,4,7,2,3,,8,5,,8,2,1,3,,9,1,,6,1,,,,
2002,63,9,5,9,3,6,,1,,6,4,,6,1,,,,11,,1,4,1,,,,
2003,63,8,10,3,4,4,,,,2,5,,4,,2,1,,8,,,5,,,,,
2004,89,7,9,,3,9,4,1,,14,,,13,3,1,2,,15,,1,5,1,,,,
2005,99,16,8,7,7,6,6,1,,6,2,,4,3,1,1,,6,1,1,5,2,,,,
2006,96,8,17,4,8,4,2,4,,13,2,,4,2,,2,,10,1,1,9,1,1,,,
2007,139,21,22,4,15,2,5,5,,17,2,,9,3,2,1,,14,,1,8,,,,,
2008,149,20,15,5,6,4,1,14,5,17,4,,15,3,,3,,13,1,4,16,3,,,,
2009,164,24,19,13,19,3,1,8,3,20,4,,6,4,2,1,,16,,1,20,1,,,,
2010,168,34,31,4,17,5,7,8,1,20,2,,4,3,1,,1,17,,1,16,1,,,,
2011,190,30,33,10,25,8,6,12,2,32,4,,6,5,4,,,22,3,3,11,2,1,1,,2
2012,225,37,37,10,23,10,9,6,3,23,1,1,12,27,4,,,12,2,3,16,5,,,,
2013,281,39,46,14,23,8,6,9,2,21,2,1,16,15,2,1,,19,1,2,19,2,,,,
2014,291,52,50,20,23,15,18,9,6,29,5,,18,17,4,2,4,25,2,5,36,3,,,,
2015,325,64,60,18,30,13,10,11,8,38,1,,23,20,1,3,,13,1,3,35,5,2,,,
2016,364,66,56,10,33,19,10,13,6,38,5,,18,19,1,3,1,16,1,5,50,5,2,,1,
2017,432,62,74,20,34,18,20,20,8,32,3,,23,17,3,4,,18,3,1,63,7,1,,,1
2018,442,88,73,22,42,24,16,19,9,60,10,,20,22,12,2,3,26,1,7,57,8,2,1,1,
2019,459,71,71,24,50,35,21,20,8,53,14,5,28,29,14,4,4,38,5,5,60,2,1,3,2,
2020,669,141,100,33,75,44,25,39,13,83,16,1,42,26,20,3,10,47,3,24,79,6,,4,1,1
2021,652,133,102,53,123,48,40,40,8,98,18,1,49,25,10,5,4,52,2,35,71,8,3,6,1,2
2022,590,157,123,58,104,36,43,43,5,77,21,3,39,31,19,3,3,57,11,34,65,10,1,1,,2
2023,661,197,119,54,99,54,51,32,3,91,26,2,50,32,10,5,2,59,1,30,38,23,,5,2,8
2024,594,166,126,54,109,52,56,34,2,87,15,,49,30,10,10,2,56,1,12,50,5,,3,,2
