,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,476,343,192,109,85,169,36,49,45,46,122,95,65,32,45,47,40,36,21,31,19,13,8,8,10,8
1981,517,390,197,144,119,150,48,72,42,87,111,122,48,36,49,61,68,21,21,29,16,18,3,13,6,9
1982,622,392,229,159,115,160,41,66,39,78,157,135,69,33,75,52,50,33,20,28,28,14,2,8,6,5
1983,608,430,247,143,114,167,35,54,41,75,125,114,50,34,59,54,57,29,23,33,19,8,5,10,6,5
1984,574,434,212,125,113,162,48,59,53,61,152,157,51,41,71,35,60,37,17,25,20,10,3,8,6,3
1985,548,441,196,155,144,165,69,50,64,70,144,142,58,50,65,49,62,28,14,24,16,9,12,12,7,6
1986,649,602,326,146,164,195,72,69,55,116,183,148,80,51,86,55,73,51,28,41,22,10,10,10,12,9
1987,662,533,279,239,154,203,75,70,46,83,227,198,68,50,84,48,78,31,28,40,21,11,10,10,22,11
1988,551,564,348,185,205,185,62,67,75,68,167,171,91,57,99,58,83,40,25,52,22,8,8,11,10,13
1989,590,531,346,234,185,211,76,65,65,58,173,218,90,52,116,69,63,31,35,45,21,11,3,14,11,10
1990,844,626,398,248,198,231,84,77,87,114,208,175,87,62,99,77,84,44,27,55,25,13,30,17,12,16
1991,1117,557,341,274,209,275,96,82,86,143,222,211,77,64,96,83,91,48,42,55,33,15,17,14,6,13
1992,892,680,408,231,259,254,84,80,104,120,254,243,109,48,121,77,119,49,22,41,37,14,12,8,20,15
1993,1082,1046,571,355,336,343,148,126,113,141,350,299,110,99,154,100,125,71,36,72,57,17,17,15,33,28
1994,897,1187,544,346,342,331,168,150,132,112,438,324,159,87,138,113,134,70,31,78,44,19,5,21,17,27
1995,1045,1162,563,466,346,406,184,159,145,142,459,397,135,92,175,121,166,75,46,101,43,15,8,18,21,17
1996,1324,1133,643,638,406,468,243,170,221,163,409,535,152,88,220,99,192,91,41,115,45,23,12,22,27,20
1997,1607,1200,700,605,452,468,235,154,210,192,464,505,152,111,195,135,229,98,44,129,45,21,17,22,29,18
1998,1761,1339,791,639,512,530,327,169,251,231,496,632,191,132,211,148,222,117,50,126,64,28,18,27,34,34
1999,1796,1537,822,791,571,577,271,188,317,245,475,736,230,169,247,142,264,93,47,163,59,30,21,26,26,30
2000,1840,1601,971,894,609,555,343,209,326,240,523,778,238,190,333,173,278,128,53,164,64,33,16,16,35,20
2001,1863,1737,972,1046,668,598,387,225,378,240,571,991,226,160,257,160,280,115,55,186,66,45,22,32,37,23
2002,2238,1837,1046,1595,761,640,808,226,452,338,638,1030,263,200,353,232,284,125,61,256,80,52,35,29,41,39
2003,2368,2058,1146,1575,906,712,714,248,511,293,704,1056,325,205,404,220,345,136,72,231,85,44,35,40,50,27
2004,2432,2081,1396,1725,968,865,907,285,526,301,767,1161,316,223,414,219,385,159,88,222,110,76,34,42,42,41
2005,2644,2324,1449,1906,1018,857,1073,299,555,342,795,1135,378,270,455,248,387,170,108,285,108,71,55,50,70,28
2006,2938,2613,1591,2324,1230,943,1260,369,657,412,781,1266,419,330,510,249,410,166,94,330,119,89,62,42,78,34
2007,3037,2771,1680,2256,1344,1029,1311,411,684,423,794,1413,459,363,504,265,470,175,103,317,133,101,51,44,63,39
2008,3099,2955,1955,2290,1323,1112,1289,450,746,435,945,1400,489,420,547,328,431,224,158,323,142,120,61,58,61,52
2009,3545,3767,2294,2477,1640,1233,1473,520,791,535,1137,1313,709,589,626,282,434,256,135,361,135,121,66,63,73,38
2010,3571,3751,2295,2886,1680,1221,1488,601,845,555,1191,1259,596,511,585,344,461,259,156,356,134,116,55,58,79,36
2011,3925,4452,2716,3399,2084,1413,1682,730,985,624,1443,1433,779,591,641,367,513,273,209,392,188,143,91,64,75,65
2012,4328,4899,2603,3410,2208,1494,1687,722,1023,677,1368,1412,774,658,688,448,488,307,230,425,165,153,91,87,103,60
2013,4666,5669,2817,3390,2456,1633,1886,776,1072,744,1721,1469,910,745,723,452,529,337,263,438,192,209,113,94,83,44
2014,5358,6135,3212,3849,2609,1754,2067,957,1157,949,1617,1576,990,879,784,500,529,347,366,427,249,189,167,88,106,79
2015,5977,6566,3412,3765,2706,1924,2223,1008,1193,918,1711,1513,1050,875,911,491,540,331,337,547,253,226,161,88,95,68
2016,6118,7466,3419,3695,3074,2037,2381,1031,1264,1054,2111,1676,1174,1051,870,525,617,430,387,500,264,220,187,129,85,63
2017,6601,7734,3972,3707,3210,2114,2299,1241,1313,1203,1944,1579,1390,1180,886,596,616,454,440,519,266,245,211,125,127,76
2018,6873,8608,4687,4434,3634,2316,2678,1316,1495,1450,1932,1532,1570,1348,942,668,692,465,491,596,326,284,181,135,121,73
2019,7622,8642,4278,4690,3647,2543,3179,1418,1491,1338,2040,1632,1629,1330,965,662,655,503,547,606,352,274,222,155,103,91
2020,9149,8597,4581,4710,4238,2713,3115,1636,1609,1458,2090,1660,1924,1293,1066,706,699,598,560,833,349,260,225,143,121,109
2021,9536,8640,4906,4614,4301,2803,3399,1922,1629,1487,2044,1711,1938,1309,1147,706,602,535,517,789,356,290,272,117,112,125
2022,9454,7756,5080,4674,4373,2982,3084,1801,1644,1457,2047,1454,1873,1126,1340,742,668,547,523,657,360,255,325,157,90,110
2023,10407,8307,5041,4927,4307,2861,3496,1805,1694,1634,1820,1808,2143,1427,968,771,683,628,600,651,395,331,256,162,128,119
2024,9250,6066,4164,4049,3436,2544,2495,1482,1358,1268,1228,1187,1159,1128,774,648,580,544,477,458,367,233,193,142,119,93
