,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,67,29,45,13,24,20,6,3,6,,2,10,6,2,5,4,7,5,,7,3,1,,3,8,2
1981,58,14,31,19,24,22,7,8,4,4,3,6,4,4,,6,11,5,3,7,5,,2,1,7,2
1982,64,22,40,19,22,31,8,5,6,4,2,8,2,,9,3,17,7,1,6,1,,5,4,3,2
1983,62,43,44,23,24,21,9,2,4,2,11,6,4,1,19,4,8,5,1,9,1,1,,1,,2
1984,55,32,35,41,15,27,6,3,12,3,17,11,2,3,7,1,9,7,,6,2,2,,4,3,3
1985,55,27,29,29,19,28,10,4,14,2,6,11,2,5,8,,24,10,,9,4,,1,3,2,1
1986,70,26,31,25,24,31,10,1,12,3,7,13,2,6,2,2,21,7,3,11,,,,4,3,4
1987,97,22,38,50,30,30,8,3,10,4,5,7,3,4,6,4,24,13,1,4,10,3,6,1,4,1
1988,121,37,44,65,26,42,9,7,11,7,11,18,7,6,8,1,20,19,1,4,7,4,5,2,3,
1989,114,35,48,61,25,50,13,1,21,4,1,6,6,4,10,,31,20,1,7,8,4,9,4,,
1990,186,61,41,50,33,67,12,7,16,10,8,14,8,6,10,3,26,17,2,9,9,3,20,6,4,6
1991,219,37,61,83,37,54,9,1,17,14,5,10,10,5,9,5,21,25,2,8,10,2,8,6,4,7
1992,209,40,59,49,39,61,11,6,13,4,4,14,10,17,7,1,29,22,2,8,9,,9,11,8,2
1993,267,42,67,77,50,65,17,12,29,15,26,25,9,8,7,6,37,24,1,9,5,7,15,9,5,6
1994,268,50,66,76,57,66,26,14,35,14,18,17,18,20,12,7,47,32,4,7,15,5,12,9,6,9
1995,255,77,92,96,66,75,27,16,51,21,3,20,13,18,21,5,45,22,2,27,13,6,16,19,5,2
