,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1,2,4,,,1,,,,,,,,,2,,,,,,,,1,1,,
1981,1,1,1,,1,,,,,,,,,,,1,,,,,,,,,,
1982,1,,,,,1,,,,,,,,,4,1,,,,,1,,1,,,
1983,3,1,4,,1,,,,,,,,,1,,,,,,,,,,,,
1984,3,1,1,,,1,,,,,,,,2,1,,,1,,,1,,,2,,
1985,2,3,5,,,1,,,,,,,1,,2,,,,,,1,,,,,
1986,2,,1,,1,1,1,,,,,,,,1,,,,,,,,,,,
1987,4,,,1,2,2,,,,,,,,2,2,,,,,,,,,,,
1988,6,,2,,1,1,,,,,,,,,6,,,3,,,,,,,,
1989,7,2,2,,1,3,1,,,,,,,,3,,,,,,,,,,,
1990,6,,4,,3,1,,,,,,,,,1,,,,,,,,,,,
1991,4,,1,,1,1,,,,,,,,1,3,,,,,,,,,,,
1992,1,,,,3,4,,,1,,,,,,10,,,2,,,,,,,,
1993,2,1,2,,5,5,,,,,,,,,6,,,1,,,,,,,,
1994,4,1,2,,1,5,,,1,2,,,,,6,,,1,,,,,,,,
1995,9,1,3,,3,,,,,,,,,,2,,,2,,,,,,,,
1996,3,2,2,,12,4,,,,1,,,,,2,,,1,,,,,,,,
1997,,5,2,,14,3,,,,1,,,,1,9,,,2,,,,,,,,
1998,4,2,5,1,14,6,,,,,,1,,,4,,,6,,,,,,,,1
1999,5,2,4,,8,4,,,,,2,,,,6,,,5,,,,,,,,
2000,10,3,6,,13,,1,,,3,1,,,1,12,1,,7,,1,,,,,,
2001,4,5,5,,4,2,,,,,3,,,,9,,,1,,,,,,,,
2002,6,3,6,1,9,5,1,,,,,,,,9,,,2,,,,,,,,
2003,9,9,3,,11,3,,,1,,1,,,,18,,1,1,,,,,,,,
2004,10,13,7,1,15,6,,,1,1,,,,1,12,,1,2,,1,,1,,,,
2005,10,3,13,,17,8,5,2,,3,,1,1,4,13,,,2,,2,,,,,,
2006,3,11,14,1,36,11,2,,1,1,,,,,24,,,3,1,2,1,,,,,
2007,10,12,12,1,29,5,2,1,,2,1,,,,21,1,,3,,,,,,,,
2008,10,10,11,2,49,5,3,1,1,,,,1,,30,,,5,,1,,,,,,
2009,7,18,12,,52,8,2,,2,,1,,2,,21,,,4,,2,,,,,,
2010,17,25,21,2,63,7,3,4,1,2,1,,2,2,19,,1,4,,3,,,,,,
2011,12,9,3,2,46,6,4,3,,2,1,,1,3,15,,,5,,1,1,,,,,
2012,22,15,13,2,58,7,4,1,,3,1,,2,1,24,,,2,,2,,,,,,
2013,16,12,13,2,50,9,6,1,1,3,2,3,3,2,17,,,9,,3,,1,,,,
2014,38,27,17,3,87,6,6,4,1,3,2,4,2,6,28,,,10,,6,,2,,,,2
2015,29,17,17,2,62,9,5,1,2,1,2,2,,1,32,,,6,,2,,1,,,,
2016,32,21,21,5,66,11,8,,,4,3,1,7,5,23,,,4,1,5,1,2,1,,,
2017,26,33,19,5,93,12,5,3,,5,1,,1,5,29,,,16,,7,,1,,,,
2018,32,45,34,5,80,4,5,2,2,5,3,1,2,2,39,1,2,13,1,1,1,1,,1,,
2019,39,39,28,4,87,12,6,4,2,5,,,,3,26,,,6,,3,1,1,,,,
2020,30,51,24,7,90,10,6,,3,4,2,,2,6,47,2,2,9,2,1,1,,1,,,
2021,35,44,30,6,85,10,7,7,3,16,5,,1,8,52,,2,5,1,,,,,,,
2022,30,50,45,7,111,11,4,2,3,13,8,1,,5,34,2,,12,2,3,,2,2,,,
2023,23,72,24,1,103,26,7,6,2,7,6,,1,7,28,3,,8,2,1,,,2,3,,
2024,24,94,25,4,80,4,7,5,,10,12,2,3,3,29,3,1,5,1,1,,1,,,1,
