,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,2,2,39,5,3,9,,,,2,,1,,,,1,,,,,2,,,,,1
1981,7,2,17,3,4,6,,,,,,,,1,1,,1,,,,1,,,,,1
1982,2,5,35,3,5,19,1,,2,1,,,,,4,,1,1,,1,1,,,,,
1983,5,8,24,2,2,7,,,,1,2,1,1,,1,1,2,3,2,,2,,,1,1,
1984,11,2,35,1,3,17,,,,1,,,,1,1,1,,1,,,2,,,,,
1985,6,5,44,,3,4,,,,2,2,,1,,1,1,,2,,,3,,,,,
1986,5,7,57,1,4,13,,,1,,,2,1,1,2,1,,4,1,,3,1,,,1,
1987,16,13,79,5,4,17,1,1,2,1,1,,3,8,,2,1,1,,,7,,,,,1
1988,29,7,63,5,11,28,2,1,1,3,6,,1,,1,2,3,4,,,6,,1,1,,4
1989,23,13,80,3,7,30,2,,2,2,1,1,,1,2,7,3,8,,2,10,,,,,3
1990,13,7,81,9,5,15,1,1,2,3,1,1,3,,3,4,4,6,,1,4,,1,2,2,2
1991,26,10,64,5,6,15,1,,,2,3,,1,,4,7,6,,1,1,7,1,,2,,2
1992,13,10,68,8,8,14,2,1,4,,,1,,,5,1,3,4,,1,4,,,,1,1
1993,12,6,63,4,8,19,,1,4,2,4,,2,1,1,1,4,6,2,1,6,,2,,,
1994,19,8,98,18,19,28,1,1,2,5,2,2,1,2,7,2,4,3,,2,15,,,1,1,
1995,25,11,63,11,16,18,,,2,1,6,,,2,6,,1,2,,,2,2,,,,
1996,11,9,67,7,29,9,1,1,1,4,7,,3,6,1,,1,2,,3,3,1,,,,
1997,6,14,61,6,25,11,4,,1,2,2,1,4,8,8,3,5,3,1,1,1,2,,,,1
1998,20,17,55,6,10,16,4,,2,1,4,1,3,6,3,1,17,9,,2,3,,,,1,
1999,11,17,49,4,11,17,2,,1,4,4,,5,2,2,2,,11,,,3,,,,,1
2000,15,17,49,8,16,13,1,3,1,3,3,,8,3,3,1,1,10,,1,1,2,,,,
2001,19,23,54,9,26,15,3,1,1,4,4,,5,4,5,,2,6,,1,3,,,,,
2002,6,15,50,9,17,11,2,1,1,2,3,1,11,3,3,2,1,2,,1,3,1,,,,
2003,10,22,56,7,27,7,3,4,3,6,4,1,8,5,5,3,,6,,2,1,,,,,
2004,25,18,66,7,28,15,4,1,,10,2,,8,2,4,4,3,7,,,1,1,,1,1,
2005,32,26,82,7,32,13,2,,3,12,2,2,6,7,6,1,,6,,2,3,1,,,,1
2006,26,25,76,11,25,19,4,2,,6,3,,14,3,4,2,4,13,,,3,1,,,,1
2007,20,24,74,6,31,12,8,3,2,16,11,,8,8,9,1,3,13,,1,4,3,,,,1
2008,31,20,82,18,36,17,7,,1,16,8,2,14,5,6,2,,6,,3,7,3,,,,
2009,30,22,71,13,49,18,7,3,,12,8,3,16,5,11,1,1,11,,1,,,,1,,1
2010,51,26,90,14,41,18,8,1,3,2,8,3,9,5,7,6,3,4,,1,3,3,,6,1,1
2011,43,37,95,6,50,17,1,3,2,3,7,1,18,3,10,4,4,10,1,3,11,2,,,,
2012,60,38,130,7,36,25,6,4,,3,6,2,18,7,3,1,4,17,1,3,11,3,1,,,4
2013,46,29,98,16,68,31,5,5,3,6,3,1,10,9,6,2,6,11,5,2,12,3,,1,,4
2014,59,33,126,9,59,34,8,5,1,5,10,2,13,4,5,3,3,10,4,4,10,3,,2,,4
2015,79,43,144,20,57,32,12,4,4,18,14,2,21,11,10,3,9,19,,1,9,3,,,1,
2016,88,22,135,16,44,34,9,3,4,17,6,4,6,8,8,5,1,22,1,4,9,7,,1,,1
2017,111,45,160,17,59,40,9,6,12,19,5,2,9,14,11,2,3,9,7,3,16,6,,,1,2
2018,104,44,159,24,56,24,14,3,1,15,10,,9,18,19,2,3,17,2,4,22,3,,1,1,2
2019,120,40,155,25,57,34,18,11,4,14,11,4,19,6,18,,1,27,4,2,26,3,,2,,1
2020,142,50,156,23,56,19,19,12,2,26,8,2,17,13,13,1,3,15,2,11,22,4,,1,,1
2021,156,64,129,27,46,26,17,11,5,17,10,,22,10,16,,4,17,2,8,22,4,,1,,1
2022,192,46,146,31,69,19,14,4,8,15,16,4,12,4,25,,3,16,4,4,21,2,,2,1,2
2023,181,53,149,24,79,15,11,6,4,14,5,3,17,7,26,1,4,15,9,3,15,1,,1,,2
2024,158,38,141,40,59,18,13,4,5,23,3,1,9,6,27,1,4,14,5,7,14,1,1,2,1,1
