,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,191,85,207,63,34,62,12,17,19,13,13,22,14,5,16,4,19,29,,14,15,,3,6,4,10
1981,189,89,188,65,45,60,22,19,26,15,7,18,15,5,25,9,27,24,2,13,12,7,3,7,3,7
1982,207,94,174,86,35,58,22,29,14,12,22,30,13,8,16,8,34,16,5,18,21,3,3,8,2,6
1983,188,96,204,81,41,64,22,25,15,16,18,22,14,12,28,9,20,18,10,12,18,4,2,7,2,7
1984,191,103,210,82,59,60,26,25,26,10,15,17,8,8,25,7,34,28,4,25,12,5,5,12,,7
1985,221,120,216,81,58,57,37,24,21,15,18,15,8,7,35,4,33,22,7,17,18,8,3,18,2,2
1986,222,121,233,115,75,81,35,26,24,28,17,14,18,8,26,14,35,31,8,16,35,4,2,8,5,5
1987,281,118,250,103,74,83,25,15,37,18,26,17,12,13,35,8,57,19,8,13,29,10,4,8,6,7
1988,262,110,244,85,78,93,32,20,35,23,22,13,12,8,33,4,55,37,8,26,27,8,5,17,10,9
1989,333,107,236,97,59,96,28,30,30,20,11,25,19,13,34,4,66,28,7,19,31,9,3,9,4,13
1990,448,102,286,82,69,98,19,14,41,35,29,11,15,11,28,6,72,43,5,10,34,5,6,16,2,11
1991,401,102,255,82,44,78,22,19,22,33,30,12,17,17,33,7,64,27,10,8,50,11,4,8,3,5
1992,394,105,227,71,57,79,20,26,18,32,12,21,22,7,18,7,40,22,1,3,41,8,6,6,1,5
1993,362,84,256,56,56,65,17,11,19,22,18,14,12,9,14,10,45,17,4,10,35,5,4,3,,6
