,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,4,4,3,,,,,,,2,1,,1,,,,,,,,,,,,,
1981,2,1,,,2,,,,,3,1,,2,,2,,,,,,,,,,,
1982,4,11,2,,2,1,,,,1,2,,1,,,,,,,,,,,,,
1983,2,4,2,,,,1,,1,,,,,,,,,,,,,,,,,
1984,2,1,,,1,,,1,,1,,,1,,,,,,,,,,,,,
1985,,7,1,2,,,,,,,,,,,,,,,,,,,,,,
1986,3,5,6,,,,1,,,,2,,1,,,,,,,,,,,1,,
1987,1,3,5,1,,1,,,,,1,,1,,,,,,,,,,,,,
1988,,3,2,1,,,,,,2,,,2,,,,,,,,,,,,,
1989,1,6,,1,2,,,1,,,3,,,,1,,1,,,,2,,,,,1
1990,1,9,2,,1,,1,1,,,1,,1,,,,,,,,,,,,,
1991,1,1,3,,2,1,,1,,,2,1,1,,1,,1,1,,,,,,,,
1992,4,2,6,1,1,,,,,,1,,,,,,,,,1,1,,,,,
1993,2,6,8,,1,1,,,,1,,,,,1,,,1,,,,,,,,
1994,3,4,7,3,2,1,,2,,,,,1,1,1,,,,,,,,,,,
1995,6,3,4,,,1,,,,,1,,,1,2,,,,,,,,,,,
1996,7,4,8,,2,2,2,1,,1,1,,,,2,,,,,1,,,,,,
1997,11,6,8,2,2,4,,,,3,,1,1,1,,,,1,,,1,,,,,
1998,7,9,2,2,2,1,3,,,1,1,1,,1,2,,,,,1,1,1,,1,,
1999,6,12,8,2,4,3,1,,,,2,,3,,2,,,1,1,,,,,1,,
2000,14,28,11,3,8,3,1,1,,3,5,,1,,2,2,,1,,,1,2,,,,1
2001,6,29,10,2,11,2,6,,,,5,,3,6,4,,,1,1,,,1,,,,
2002,8,23,14,5,9,4,1,3,2,2,7,,2,6,4,,,,1,,,1,,,,
2003,8,20,14,2,6,1,2,1,1,1,3,,4,5,1,,,1,,1,1,,1,,,
2004,6,20,21,1,10,7,5,3,,6,12,,2,13,1,,,,1,1,1,,1,,,
2005,15,19,29,4,11,3,4,2,1,4,5,,4,7,4,,,1,,,,1,1,,,1
2006,26,12,43,5,16,5,2,4,,3,9,1,5,5,3,,2,6,1,,,2,1,,,
2007,17,30,43,8,26,2,5,4,,3,4,,1,6,7,1,1,1,,,1,,2,2,,2
2008,31,45,34,6,17,3,8,3,,6,14,,,4,9,,2,3,3,1,2,4,,,,
2009,29,27,22,5,16,4,8,2,,7,12,1,4,4,7,1,1,,,,,1,1,1,2,
2010,30,26,20,18,18,8,4,5,1,7,6,4,5,5,3,1,,2,1,,1,3,1,2,,
2011,30,73,51,12,29,6,8,11,,9,20,2,10,14,12,,,3,,,1,3,,,,2
2012,37,64,51,9,22,4,12,16,1,14,15,1,7,13,2,3,1,,3,,,2,,,,
2013,43,106,54,11,19,5,9,9,,15,15,1,19,13,6,,3,5,2,1,2,5,1,2,,
2014,32,131,55,13,32,5,13,9,2,22,31,,24,19,14,1,,4,6,1,8,2,5,1,,
2015,54,164,60,15,37,7,15,17,3,15,32,2,17,12,12,1,1,5,4,,2,4,2,1,,
2016,45,227,76,14,47,8,19,20,4,10,31,3,22,13,8,,1,4,3,2,2,4,1,2,1,
2017,64,219,66,26,42,15,31,15,7,28,56,,38,34,13,2,5,13,9,2,3,2,4,1,,
2018,92,224,92,19,49,9,13,11,,40,39,,43,21,6,5,2,8,7,1,5,,5,3,,2
2019,83,280,73,24,54,12,34,13,2,28,34,7,43,24,12,3,7,3,9,,7,6,5,1,1,1
2020,81,215,104,21,70,17,33,23,3,29,35,3,43,23,11,3,3,6,14,1,3,4,4,2,,3
2021,92,205,109,23,66,18,49,23,3,36,26,3,39,31,19,3,3,12,5,1,3,7,6,3,,
2022,121,147,111,32,43,17,28,24,3,31,33,1,26,24,8,5,1,7,7,6,4,12,3,1,,2
2023,98,147,94,56,52,21,40,34,8,44,20,8,39,18,12,,1,5,8,4,6,7,4,1,,3
2024,97,124,62,27,37,18,32,21,4,36,19,2,23,34,9,4,3,11,2,,,6,5,3,1,1
