,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,1063,226,362,726,230,743,159,93,285,42,97,510,74,38,140,237,454,132,35,125,42,47,20,40,58,10
1981,1263,258,395,720,239,886,204,90,304,46,102,638,110,54,139,238,498,117,37,152,55,47,27,45,42,21
1982,1495,281,425,764,288,816,234,128,285,37,124,613,99,43,178,320,456,135,37,147,47,50,42,38,38,27
1983,1462,293,453,799,309,890,250,164,317,77,154,654,132,62,170,323,515,155,26,149,49,60,40,55,70,26
1984,1862,310,488,910,335,1081,255,188,356,62,163,653,127,67,235,349,443,185,39,185,58,82,55,61,54,37
1985,1988,288,519,965,360,1110,242,208,353,81,163,729,119,77,228,337,446,212,43,182,71,87,58,64,68,34
1986,2214,325,559,1011,391,1191,317,213,402,62,176,737,152,78,226,378,468,208,45,175,81,96,82,63,57,33
1987,2622,402,553,1075,363,1264,378,231,390,114,197,836,206,93,271,417,624,239,45,193,92,86,79,60,75,49
1988,3309,433,593,1283,458,1482,469,268,504,115,195,987,179,93,272,411,740,316,41,226,90,125,72,64,81,43
1989,3485,487,718,1360,483,1554,546,293,535,115,222,1055,245,123,355,462,653,389,36,236,101,118,75,98,84,56
1990,4082,522,788,1625,567,1746,647,323,564,172,209,1140,271,153,332,542,709,391,33,212,111,128,90,106,103,71
1991,4121,573,734,1749,535,1737,772,319,637,183,222,1114,289,151,310,541,701,371,38,242,132,126,105,97,87,44
1992,4382,682,793,1763,636,1906,792,359,660,206,257,1121,357,184,344,614,651,440,58,280,125,142,111,87,103,49
1993,4650,703,803,1950,738,1940,869,377,727,220,280,1224,339,199,427,604,754,502,37,281,136,154,124,86,92,74
1994,4784,727,804,2015,779,2002,998,405,753,263,294,1426,401,235,453,582,720,470,60,307,145,185,108,93,110,78
1995,5391,844,885,1984,901,2175,1000,473,758,304,317,1429,430,262,470,594,654,525,62,299,134,172,99,80,117,79
1996,5629,937,891,2181,826,2185,1109,438,768,292,336,1613,532,303,482,611,746,506,63,337,167,221,117,99,129,74
1997,6022,1069,941,2217,837,2242,1108,546,796,296,422,1595,525,334,560,626,767,644,70,347,130,227,140,98,123,75
1998,6246,1127,998,2410,1039,2499,1139,564,798,325,390,1619,621,391,528,698,792,548,66,354,172,245,128,90,144,68
1999,6298,1198,946,2294,964,2447,1210,609,868,333,361,1725,570,443,533,647,688,558,63,347,164,247,90,90,120,71
2000,6910,1247,934,2510,1028,2481,1387,687,919,361,401,1761,748,536,595,716,783,604,75,393,165,281,108,83,117,69
2001,7084,1368,994,2851,1041,2449,1469,714,1031,422,397,1915,747,617,685,714,802,549,69,372,148,338,96,102,144,84
2002,7477,1455,1067,4708,1344,2653,3071,860,1036,438,463,2104,819,778,801,876,783,577,75,419,164,386,91,102,114,88
2003,8198,1616,1260,4043,1382,2848,2453,912,1097,469,498,2283,1002,890,807,917,793,641,92,495,215,440,128,91,149,88
2004,9045,1902,1336,3944,1459,2972,2372,974,1103,564,510,2364,1167,863,855,1024,765,698,109,397,189,406,130,102,110,122
2005,10353,2170,1455,4523,1689,3189,2837,1133,1113,621,604,2444,1117,1063,895,1152,844,767,96,483,178,501,164,121,143,114
2006,11166,2484,1479,4972,1944,3617,2983,1355,1063,716,718,2646,1280,1266,911,1202,770,834,121,467,219,518,175,137,152,113
2007,11788,2825,1687,4785,2135,3626,3073,1591,1097,787,766,2532,1303,1286,1064,1236,782,752,128,500,214,576,168,135,132,118
2008,13561,3467,1612,4923,2143,3775,3180,1728,1136,855,892,2490,1474,1501,1026,1371,714,861,109,537,271,681,192,137,171,109
2009,14449,3870,1698,5388,2409,4004,3502,2082,1283,1014,1129,2681,1711,1670,1118,1592,786,935,174,527,228,759,220,146,155,105
2010,15626,4354,1645,5764,2443,4402,3588,2405,1276,1090,1145,2939,1674,1797,1239,1947,857,949,165,605,266,791,198,131,151,133
2011,17295,4870,1828,6012,2840,4595,3590,2630,1255,1251,1158,2896,1934,2110,1304,1864,823,1161,196,565,285,774,247,164,162,124
2012,18557,5314,2021,6104,3046,4864,3521,2669,1215,1351,1461,2980,2064,1966,1423,1985,813,1180,212,612,298,852,230,163,179,154
2013,20140,5753,1925,6318,3255,5015,3605,2925,1332,1543,1316,3129,1972,1983,1334,2141,779,1270,256,643,320,856,219,153,211,161
2014,20135,6060,2237,6438,3539,5184,3598,3085,1384,1559,1394,3173,2077,2024,1567,2275,836,1288,261,656,331,911,185,159,203,168
2015,21051,6385,2062,6535,3546,5064,3452,3218,1368,1640,1617,3278,2025,2127,1515,2075,853,1342,272,589,354,897,232,174,184,142
2016,21253,6678,2216,6922,3828,5462,3555,3345,1522,1702,1578,3917,1807,2211,1507,2290,946,1171,321,641,379,922,259,182,237,116
2017,22224,7228,2150,6912,3748,5505,3542,3645,1392,1790,1682,3757,1958,2319,1583,2532,746,1211,284,630,384,1010,239,178,198,123
2018,23318,7829,2312,7378,4305,5753,4085,3766,1364,1943,1848,3653,2156,2399,1672,2599,810,1333,334,714,417,1102,212,182,185,135
2019,24822,8415,2494,7914,4655,6311,4537,3865,1503,2046,1902,4156,2143,2409,3051,2808,911,1421,413,725,416,1098,232,193,208,131
2020,27238,9055,2804,8315,5916,6733,4956,4308,1580,2359,1934,3841,2292,2470,2271,2935,1018,1426,432,931,475,1173,273,208,241,157
2021,27974,8623,2981,8418,5958,6858,5294,4486,1531,2135,1905,4013,2271,2312,2362,3007,853,1502,468,1040,515,1133,280,174,238,153
