,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,452,80,90,181,120,194,41,32,35,11,35,107,25,6,114,63,78,51,5,30,24,12,43,13,6,2
1981,502,55,102,160,106,229,45,36,38,19,28,99,22,9,118,63,80,48,10,31,18,8,26,9,5,18
1982,499,65,110,196,142,214,29,31,34,15,41,95,27,5,114,60,80,55,12,44,21,9,37,12,9,3
1983,543,79,103,180,141,184,48,47,40,23,54,113,37,9,138,62,53,46,12,25,20,16,34,13,9,10
1984,602,81,107,204,150,200,49,49,63,38,21,106,24,12,119,57,70,60,13,29,20,13,35,9,10,4
1985,629,73,113,212,152,221,51,59,62,33,35,104,52,11,169,84,82,64,5,31,21,13,50,16,5,2
1986,643,70,127,251,189,244,61,58,54,28,48,100,30,8,136,83,80,60,5,35,29,11,51,8,11,9
1987,765,79,133,264,208,244,66,43,54,43,40,143,45,12,198,80,122,79,15,40,35,14,58,15,15,5
1988,809,77,137,346,219,296,66,60,67,35,36,163,41,15,182,81,123,96,9,58,38,19,58,16,12,8
1989,804,113,133,278,237,283,64,90,56,23,29,143,39,20,228,97,104,98,17,53,24,25,44,19,16,6
1990,1092,106,139,357,295,349,74,75,54,120,39,177,38,20,270,80,97,90,8,41,24,25,52,12,9,19
1991,1108,121,151,384,261,371,103,86,85,111,40,176,46,34,244,105,123,94,7,46,30,45,71,23,15,12
1992,1215,115,161,448,294,350,124,84,81,111,50,228,77,30,235,102,143,111,9,52,30,40,68,15,17,14
1993,1206,124,166,508,297,364,104,90,92,121,66,196,75,44,262,99,152,121,6,73,54,31,49,12,20,24
1994,1240,174,192,548,351,396,143,131,73,97,58,236,84,38,251,125,152,123,14,61,34,46,65,20,34,12
1995,1236,221,208,588,440,363,191,116,107,105,72,249,102,63,323,108,146,139,9,56,46,41,61,18,28,25
1996,1262,230,210,705,430,401,175,123,108,131,83,305,112,60,346,140,168,147,14,69,32,62,71,20,29,10
1997,1344,245,259,623,416,454,184,138,129,158,86,346,132,80,335,127,148,150,20,72,33,51,62,13,41,9
1998,1357,287,272,786,535,527,198,141,144,145,79,324,155,82,349,138,168,155,10,96,34,62,38,22,23,14
1999,1424,288,265,701,541,495,203,157,141,116,76,340,152,93,366,129,192,157,13,93,34,51,39,20,22,28
2000,1565,363,288,835,639,551,210,150,162,139,80,312,207,112,381,157,175,146,23,75,29,67,47,17,25,25
2001,1606,362,314,868,657,526,287,170,155,176,120,363,216,128,451,143,198,185,25,114,51,67,53,28,34,19
2002,1670,467,338,1165,727,572,572,202,187,177,128,364,260,167,560,180,160,168,19,107,38,88,52,19,20,13
2003,1794,511,343,1008,704,629,481,250,177,217,167,430,289,198,544,195,189,182,13,138,42,99,74,23,24,12
2004,2019,578,389,1083,766,716,538,294,225,226,142,538,283,198,569,178,175,183,20,129,49,105,47,20,38,18
2005,2361,699,421,1337,858,747,650,301,250,255,191,533,302,227,706,193,223,225,26,124,44,109,61,29,30,29
2006,2434,758,501,1450,1002,861,828,335,288,266,210,524,375,235,637,231,237,229,36,153,64,131,51,35,35,43
2007,2589,914,565,1700,1039,918,926,381,258,292,247,591,383,273,827,242,249,229,32,182,48,134,67,30,42,34
2008,2997,1084,519,1765,1072,977,1076,455,303,330,281,615,402,344,824,257,230,268,47,204,53,159,64,33,44,26
2009,3540,1258,546,1948,1228,1070,1208,583,337,412,373,669,482,351,924,310,186,286,56,212,65,204,59,40,33,27
2010,3793,1467,613,2304,1339,1098,1246,621,363,420,367,586,510,456,1012,288,238,249,83,224,73,239,67,43,56,52
2011,4116,1594,651,2453,1567,1257,1261,707,422,483,394,717,524,512,1086,323,271,300,80,205,97,278,85,53,67,54
2012,4483,1875,718,2799,1627,1245,1268,838,422,497,425,670,563,562,1156,300,273,316,72,221,107,254,90,40,89,54
2013,4434,1966,690,2989,1756,1243,1145,854,409,626,480,728,558,549,1205,348,287,382,103,192,99,277,74,56,78,43
2014,4774,2239,736,3282,1969,1300,1316,868,426,625,548,707,590,608,1316,385,274,375,120,221,105,350,81,77,76,49
2015,5150,2400,701,3144,1968,1333,1277,1021,465,777,588,767,621,662,1320,379,282,376,133,232,109,350,83,67,60,46
2016,5388,2972,749,3356,2202,1433,1295,1172,522,818,639,787,634,716,1434,416,270,397,143,298,114,353,85,54,107,38
2017,5788,3346,795,3811,2291,1473,1377,1363,553,906,784,841,651,840,1533,478,390,368,158,245,121,411,107,54,70,57
2018,6149,3538,885,3791,2435,1548,1660,1410,564,918,779,778,665,894,1539,545,234,375,197,273,142,370,97,51,80,54
2019,6629,3732,898,4143,2679,1677,1823,1528,642,1035,869,999,639,889,1673,620,246,473,216,307,147,469,103,41,118,58
2020,7137,4384,1130,4269,3394,1868,2016,1836,689,1150,924,1055,790,1063,2019,701,275,496,229,393,161,499,108,49,114,63
2021,7442,4306,1112,4559,3752,2041,2194,1987,625,1152,986,1167,830,1051,3379,690,248,458,306,388,155,483,105,53,86,58
2022,7269,4164,1095,4656,3780,1992,2316,1914,648,1176,844,1076,831,988,2202,692,215,416,315,357,113,502,131,52,92,57
2023,7394,4459,1105,4998,3967,2078,2333,1979,626,1277,918,1325,837,1055,2213,753,922,458,321,340,145,506,135,81,92,59
2024,6741,3572,960,3671,3058,1602,1754,1765,481,1057,673,975,556,717,1618,659,194,375,240,258,182,368,121,52,90,46
