,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,1,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,1,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,1,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,1,,,,,,,,,,,,,,,,,,
1986,,1,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,1,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,1,,,,,,
1998,,,,,,,1,,,,,,,,,,,,,,,,,,,
1999,1,,,,,,,1,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,1,,,,,,,,,,,,,,,,
2001,,,,1,,,,,,,,,,,,1,,,,,,,,,,
2002,1,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,1
2006,1,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,1,,1,,,,2,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,1,,,,,,,,,,,,,,,
2009,1,,,1,,,,,,,,,,,,,,,,,,,,,,
2010,1,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1,,,,,,,,,,,,,,,,,,,,,,,,,
2012,1,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,,,2,,,,1,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,1,,,1,,,,,,,,,,,,,,,,
2017,2,,,,1,,,,,,,,,,,,,,,,,,,,,
2018,1,5,,,,,,,,1,,,,,,,,,,,,,,,,
2019,2,2,,,,,,,,,2,,,,,,,,,,,,,,,
2020,1,,,,,,,,,,1,,1,,,,,,,,,,,,,
2021,2,,,,,,,,,,,,,,,,,,,,,,,1,,1
2022,1,1,,,,,,1,,,2,,1,,,,,1,,,,,,,,
2023,4,10,,,1,,,2,,4,,,,,,,,,,,1,1,,,,
2024,,1,,,,,1,,1,,,,,,,,1,,,,,,,,,
