,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,5,,,,,,,,,1,,,1,,,,,,,,,,,,,
1981,2,2,,,1,,,1,,1,,,,,,,,,,,,,1,,,
1982,,1,,,,1,,1,,1,,,,,1,,,1,,,,,,,,
1983,1,1,,1,1,,1,3,,,,,,,,,,,,,1,,,,,
1984,2,4,2,,2,1,,,,,,,,,,,,,,,,,,,,
1985,4,2,1,,1,,,,,1,,,,,,,,1,,,,,,,,
1986,3,2,1,1,1,1,,,,1,2,,1,,,,,,,,,,,,,
1987,6,2,2,7,,1,1,2,1,,2,,,,2,,1,,,2,,,,1,,
1988,6,1,4,8,3,1,1,,4,2,1,1,,,1,1,2,1,,2,,2,,,,
1989,9,2,2,7,1,1,,,2,,,1,,,4,,1,,,2,,1,,,,
1990,13,1,4,14,9,,,,2,2,2,4,,1,7,2,1,2,,1,1,,,,,
1991,15,,5,11,2,4,2,2,4,1,4,1,,1,6,1,,3,3,3,,,,,,
1992,23,6,6,8,2,4,2,2,6,2,1,3,,1,2,,1,4,,,,,,,,1
1993,29,,11,15,2,3,3,1,3,2,3,3,,,7,1,1,3,1,3,,2,,,,1
1994,25,4,14,13,5,9,2,2,4,3,1,1,,1,5,,6,4,,6,2,6,,,1,
1995,33,2,16,20,4,8,3,1,4,3,4,6,,,1,,,3,,1,,,,,,
1996,41,2,18,36,15,15,6,2,2,4,1,1,1,,2,3,3,2,1,5,,2,1,1,,
1997,39,3,13,25,4,7,11,2,4,6,,3,3,2,5,,3,3,,5,1,5,1,1,,
1998,51,5,32,31,11,8,17,3,6,6,,2,7,3,5,4,11,2,1,4,2,1,,1,,
1999,87,4,31,48,6,19,13,3,7,4,,3,3,5,6,2,15,10,,7,4,3,,,1,2
2000,96,5,29,47,14,15,20,4,6,2,2,3,5,7,11,7,10,9,2,6,2,3,1,6,1,
2001,112,10,34,53,20,14,16,6,4,9,2,5,6,5,10,5,5,6,3,18,4,6,5,1,,4
2002,90,13,35,94,17,10,36,11,17,2,,13,3,14,7,2,13,3,5,18,3,1,1,,1,
2003,111,15,46,73,25,22,36,4,12,7,1,7,7,18,9,1,9,8,4,18,4,3,,1,3,
2004,90,14,31,97,21,17,46,5,25,13,2,14,7,9,16,3,6,10,3,21,6,11,1,1,2,
2005,100,11,44,79,22,16,40,6,17,9,2,16,4,12,8,3,6,1,4,12,2,8,2,1,3,1
2006,126,28,40,106,41,19,41,8,20,8,11,13,10,18,18,4,8,5,4,20,1,5,,1,5,
2007,158,30,43,136,39,32,39,11,20,9,6,14,12,19,20,4,10,11,4,16,2,9,,4,2,
2008,205,25,37,118,49,31,41,13,28,24,7,19,13,21,22,3,10,8,5,13,5,5,2,,2,
2009,242,37,44,126,57,34,77,12,19,14,8,17,16,25,31,9,7,8,3,25,5,10,2,1,1,1
2010,270,58,61,148,46,41,67,11,21,26,14,14,21,25,31,4,7,9,10,26,7,16,2,8,2,
2011,322,72,41,201,73,34,97,19,26,34,13,23,19,39,26,9,11,12,8,24,14,19,4,9,11,1
2012,310,103,68,202,70,58,125,34,32,23,18,27,18,42,30,8,24,10,12,22,13,12,1,18,20,
2013,437,110,94,204,71,68,132,39,38,23,29,22,28,53,24,19,29,12,25,25,26,20,3,5,21,
2014,438,124,112,254,103,62,124,46,72,24,33,26,25,50,49,15,43,17,25,33,21,28,4,9,23,3
2015,433,176,109,304,100,108,136,48,71,31,57,36,29,84,39,19,37,14,23,25,25,26,6,19,20,1
2016,418,193,112,287,100,99,186,62,65,30,46,44,35,109,52,16,38,15,31,36,14,41,6,5,22,2
2017,443,298,128,308,121,105,189,64,64,49,61,56,45,103,36,13,47,19,33,32,11,41,7,12,34,1
2018,498,231,171,371,123,120,209,70,75,50,79,62,49,131,42,19,37,21,38,44,18,46,6,11,12,4
2019,517,264,180,417,159,139,214,68,77,61,70,60,49,129,51,19,39,31,68,52,17,48,6,8,20,5
2020,739,331,190,499,189,135,255,117,110,84,69,81,94,227,62,36,46,20,64,70,9,86,8,14,23,2
2021,908,356,240,626,249,162,327,159,158,92,74,98,125,274,77,39,52,42,70,91,27,102,17,14,12,5
2022,855,312,200,631,278,193,317,153,155,91,70,80,156,272,66,43,60,42,116,62,18,85,12,16,18,10
2023,995,415,196,701,269,155,407,154,154,95,61,108,174,305,67,32,72,35,113,66,23,64,17,13,28,5
2024,839,341,201,728,259,194,492,137,118,105,61,106,146,313,65,42,87,40,88,89,31,87,26,26,15,4
