,Documents,Share
1980,7,5.401801423606181e-06
1981,8,6.221676788557092e-06
1982,7,5.302279146817837e-06
1983,9,6.570661994195915e-06
1984,13,9.129104498050235e-06
1985,10,6.754164617903399e-06
1986,13,8.335395809475934e-06
1987,30,1.8248175182481753e-05
1988,41,2.3864987037237527e-05
1989,34,1.8588630865328102e-05
1990,67,3.367153965879172e-05
1991,70,3.5133330991111266e-05
1992,74,3.5614489514420496e-05
1993,94,4.325516266472049e-05
1994,114,4.9787681741415886e-05
1995,112,4.610816233860599e-05
1996,167,6.342644867717874e-05
1997,147,5.387030668695415e-05
1998,222,7.635278563852253e-05
1999,286,9.503697636204436e-05
2000,317,8.68125208302125e-05
2001,367,0.00010036624106275543
2002,410,9.617750708370797e-05
2003,446,9.863568709929252e-05
2004,483,9.829171842414159e-05
2005,432,8.226290004143612e-05
2006,564,9.848321873891191e-05
2007,653,0.00010432844832282833
2008,712,0.00010701594748042075
2009,837,0.00011608891051320314
2010,950,0.00012324286485433926
2011,1174,0.00014014677449930357
2012,1314,0.00015214570602902253
2013,1569,0.00017256813389175457
2014,1785,0.00018568554792216312
2015,1989,0.00020265295025099318
2016,2088,0.00020614039720924602
2017,2346,0.0002352073288438076
2018,2580,0.0002581363217915381
2019,2800,0.00027220407528386997
2020,3617,0.00032880320632669365
2021,4442,0.00044072737678013625
2022,4369,0.00045298166445515396
2023,4796,0.00047555813628806054
2024,4687,0.000497012464122476
