,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,6,27,10,1,5,4,,,1,1,,,6,3,,,,2,2,,1,1,,,,
1981,8,20,5,,8,5,1,2,1,2,1,1,4,8,3,2,1,1,,,,,,,,
1982,8,38,13,2,8,9,,,1,1,1,1,3,4,2,1,,3,,,,,,,,
1983,9,36,14,,10,7,,1,,1,1,2,5,6,4,1,1,,,,,1,1,1,,
1984,6,32,11,4,13,6,,,1,3,3,1,4,7,5,1,1,1,,,,1,,2,,
1985,11,33,12,2,9,3,,2,2,3,6,2,5,10,3,1,1,2,,,3,,,1,,
1986,12,37,5,3,10,6,,2,,5,1,1,8,10,5,,,1,,1,,1,,,,
1987,12,30,17,4,14,10,1,1,,7,2,,3,9,5,,,4,,1,4,1,,,,
1988,26,26,12,2,14,4,,2,1,4,2,,6,5,3,,1,1,1,2,,,,,,1
1989,17,33,15,3,16,6,1,1,1,7,2,,2,4,4,,,1,,,,,,,,
1990,24,33,15,8,20,14,2,4,,6,3,,5,8,6,,1,4,,,,,1,1,,1
1991,32,36,16,3,14,9,1,5,1,11,6,,8,8,2,1,1,2,,,,,1,1,,
1992,30,34,13,3,27,14,5,3,1,4,2,,5,1,3,,13,1,2,,1,,,,,
1993,36,35,21,3,17,13,,1,,6,3,,6,3,4,1,1,2,,,2,,,3,,
1994,30,21,21,3,22,7,1,2,1,4,4,,10,2,4,1,1,,,,1,,1,2,,
1995,25,29,17,2,15,11,,5,,7,4,,1,9,5,,,3,,,,,,3,,1
1996,34,27,27,4,23,19,1,2,1,4,13,1,6,6,6,1,,,,,1,,,2,,
1997,40,42,20,3,41,12,1,2,4,3,13,1,3,6,5,,8,3,2,,,,,4,1,
1998,52,35,32,4,27,14,1,2,1,2,12,,5,4,2,1,,1,1,3,,3,,3,,
1999,28,39,39,3,22,16,1,3,4,4,6,1,6,8,5,1,1,5,,,2,,,1,,
2000,47,40,41,5,24,14,3,2,2,2,7,3,4,7,6,3,1,6,,1,,1,,1,,1
2001,50,33,47,1,63,30,1,1,1,5,10,,3,7,6,,1,8,2,,1,1,1,3,,
2002,56,49,41,7,48,35,3,4,,8,11,1,6,3,10,1,1,6,2,,4,,1,1,,1
2003,64,60,44,13,51,34,6,6,2,4,17,,6,8,12,3,3,5,2,,,,1,2,,
2004,79,35,60,13,54,41,1,2,2,5,4,1,4,3,15,2,,5,2,,2,,,3,,1
2005,65,35,62,19,65,36,3,4,1,8,5,2,5,9,14,3,1,4,,1,1,1,,,,
2006,100,42,66,10,78,51,11,5,,10,8,2,11,5,12,7,3,4,,1,,3,,,,
2007,115,54,77,12,81,53,6,7,3,8,7,,5,6,15,5,2,5,2,,1,1,2,2,1,2
2008,139,49,67,15,113,61,15,5,,12,15,2,9,9,24,6,1,7,5,,3,1,3,4,,
2009,136,58,66,20,107,65,24,12,,13,13,2,6,6,23,8,1,9,3,1,1,6,,2,,
2010,136,65,105,19,116,58,17,12,1,16,15,1,7,5,35,11,2,9,1,,3,2,1,1,,1
2011,131,59,101,20,102,75,18,13,2,15,16,1,7,12,33,7,2,3,3,1,2,,1,2,,1
2012,123,66,106,24,137,78,31,18,4,20,22,5,11,13,41,9,1,9,3,1,1,,,1,,
2013,159,77,115,28,142,60,19,14,5,21,21,2,13,28,28,5,2,16,3,3,4,1,7,2,1,1
2014,217,167,144,60,146,78,34,11,2,26,136,3,18,20,50,15,14,19,4,2,5,2,4,1,3,2
2015,279,321,175,116,180,103,45,34,12,28,389,15,41,53,74,11,32,21,4,8,5,3,7,10,,2
2016,421,615,230,300,350,175,118,52,119,87,1180,48,60,71,179,21,42,22,17,31,7,14,8,6,2,2
2017,728,1480,372,687,423,247,187,84,117,143,2075,62,128,71,333,43,80,22,31,17,15,13,1,31,10,10
2018,741,1285,418,556,448,195,192,94,297,139,2258,81,156,100,245,18,66,23,17,30,17,16,16,12,2,9
2019,985,1962,627,999,693,490,254,113,340,208,4576,102,198,142,560,32,126,40,35,29,15,11,17,30,1,5
2020,1560,2809,871,2260,1209,528,458,179,236,270,6139,208,221,189,1049,54,210,46,31,59,25,26,67,39,5,17
2021,1562,2718,1174,1560,889,405,483,210,134,308,4589,207,311,220,700,50,242,52,52,77,29,46,36,19,,6
2022,1281,2634,709,1215,713,370,377,165,140,255,3907,151,196,201,488,35,195,47,21,88,27,16,24,8,2,23
2023,404,351,235,80,286,114,159,65,14,78,39,8,98,44,61,31,7,31,19,11,4,3,3,3,2,3
2024,374,420,230,70,228,122,131,81,15,76,66,6,103,85,50,18,5,33,15,14,9,9,3,1,1,3
