,Documents,Share
1980,72,5.556138607137786e-05
1981,77,5.9883639089862014e-05
1982,97,7.347443960590431e-05
1983,101,7.373742904597639e-05
1984,108,7.584179121457118e-05
1985,115,7.767289310588909e-05
1986,110,7.053027223402714e-05
1987,129,7.846715328467153e-05
1988,116,6.75204511297452e-05
1989,116,6.342003471700176e-05
1990,157,7.890196606612386e-05
1991,166,8.331618492177815e-05
1992,163,7.84481323087911e-05
1993,160,7.36258087910136e-05
1994,144,6.28897032523148e-05
1995,140,5.7635202923257495e-05
1996,181,6.874363599143325e-05
1997,217,7.952283368074185e-05
1998,214,7.360133390380099e-05
1999,199,6.612712690925464e-05
2000,222,6.07961502344075e-05
2001,276,7.547978891912942e-05
2002,304,7.131210281328592e-05
2003,344,7.607774969093414e-05
2004,342,6.959786273510646e-05
2005,351,6.683860628366685e-05
2006,432,7.543395477874104e-05
2007,472,7.541045575555126e-05
2008,573,8.612378919421501e-05
2009,590,8.183089271540006e-05
2010,644,8.354568943809945e-05
2011,628,7.496778056691877e-05
2012,730,8.452539223834586e-05
2013,793,8.72189484870372e-05
2014,1347,0.00014012237145722897
2015,2627,0.00026765676234759126
2016,5610,0.0005538542281340375
2017,10882,0.001091017115293399
2018,11053,0.0011058840173495622
2019,17811,0.0017315095660289314
2020,27067,0.002460524297938794
2021,25575,0.002537506227184148
2022,21771,0.0022572359388540074
2023,2196,0.00021774930510604272
2024,2204,0.00023371356324427935
