,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,20,36,50,4,6,13,,1,,2,28,2,5,1,4,,1,1,4,2,3,,,1,,
1981,12,41,38,2,9,9,1,1,,2,43,2,5,,8,,,1,,,1,,,,,
1982,8,64,34,2,10,11,1,3,1,3,37,,5,,2,,2,1,2,1,1,1,,1,1,2
1983,13,56,43,7,11,4,,9,1,5,22,3,7,,9,,2,1,,,2,,,,,
1984,20,57,31,5,20,7,2,6,,3,39,4,5,,10,1,2,1,2,,3,2,,2,,1
1985,13,70,28,2,12,11,5,14,1,4,26,4,7,4,5,1,,1,2,2,,,,,,3
1986,21,90,41,3,20,13,1,10,2,9,32,7,9,1,7,,2,3,1,,4,,,,,1
1987,27,93,41,3,11,12,3,15,1,7,29,1,11,3,4,2,4,1,2,,1,,1,2,,2
1988,22,89,55,8,22,16,6,11,2,6,45,2,13,9,8,,5,4,1,3,1,1,,1,,1
1989,49,94,29,3,26,16,6,8,,4,39,1,11,1,6,,4,3,2,2,3,,,2,,1
1990,52,115,45,5,24,19,8,10,2,3,34,1,15,4,9,1,1,6,1,3,6,1,3,,,1
1991,53,123,44,3,22,22,6,14,2,10,39,4,9,4,17,1,3,8,3,,12,1,,2,,1
1992,56,188,50,9,38,17,18,17,5,10,54,4,10,14,12,,5,7,1,4,6,4,,,1,1
1993,63,169,41,19,18,24,12,14,3,13,66,3,15,13,10,1,5,6,1,2,8,3,1,,,
1994,64,226,36,6,18,23,11,18,,10,57,5,12,10,4,2,4,5,,,3,2,,2,1,
1995,83,203,51,9,19,21,10,11,4,7,49,4,14,13,8,1,4,6,,1,3,3,,2,,2
1996,68,192,64,17,21,22,5,13,11,9,42,10,10,9,8,4,8,5,3,3,4,5,1,2,,5
1997,86,205,46,18,38,23,16,11,2,10,71,10,15,18,10,2,8,11,1,5,3,6,1,4,,6
1998,106,214,84,13,59,15,13,17,11,27,83,5,25,19,14,6,9,13,2,,3,3,5,3,2,4
1999,94,245,83,22,64,25,15,24,10,22,75,10,33,33,16,2,10,10,4,1,8,4,6,1,,4
2000,105,303,90,25,81,28,17,20,12,32,102,16,26,24,8,4,5,13,4,2,7,2,1,1,,4
2001,133,256,92,24,64,40,14,24,10,25,79,17,21,21,18,4,4,13,6,2,6,6,3,2,,7
2002,176,303,89,37,101,37,19,28,10,37,125,20,26,26,17,6,2,26,3,9,7,4,2,5,2,10
2003,215,306,105,31,80,46,19,35,13,42,132,14,42,24,19,4,9,45,5,3,15,8,3,2,,9
2004,210,354,95,30,93,55,17,37,11,44,116,40,27,28,27,3,8,27,8,2,16,17,5,6,1,6
2005,284,376,118,57,89,44,37,36,12,54,87,33,32,35,33,10,13,29,13,4,12,10,10,7,4,9
2006,361,434,279,57,165,79,43,51,18,71,129,33,31,51,54,8,10,66,17,5,28,12,13,8,2,10
2007,400,431,171,54,171,83,75,42,22,82,108,36,47,47,36,13,7,45,11,6,18,10,14,4,1,23
2008,437,551,222,65,205,86,43,50,24,102,133,19,58,52,43,11,10,55,15,8,32,11,12,14,,19
2009,455,546,238,57,202,81,58,66,21,106,172,46,94,77,40,7,7,55,15,8,19,17,14,15,5,14
2010,566,676,245,111,195,107,79,89,23,143,158,36,93,70,34,13,8,48,18,11,32,20,18,12,3,17
2011,625,698,298,78,222,128,76,103,27,169,170,33,122,104,87,9,16,85,24,14,28,16,21,13,3,17
2012,827,854,330,126,284,150,101,118,27,221,211,30,130,109,65,12,19,127,46,13,50,21,21,16,2,40
2013,1241,927,448,161,379,196,134,201,60,309,246,33,135,143,74,28,47,153,40,18,53,27,35,20,6,36
2014,1737,2130,633,259,491,302,261,364,33,708,550,40,579,476,89,49,36,197,70,92,82,43,277,26,7,46
2015,1450,1413,582,182,428,212,232,261,38,509,343,40,220,188,104,41,32,99,47,30,59,36,88,26,3,21
2016,1225,1477,728,276,495,202,249,290,54,514,429,52,333,261,111,29,29,101,67,53,70,45,80,26,9,28
2017,1437,1673,786,325,591,263,265,358,51,555,458,63,404,273,126,38,31,107,84,40,63,55,91,20,3,17
2018,1505,1907,856,403,708,293,376,384,72,609,601,99,477,321,163,48,33,125,65,40,71,59,102,19,5,33
2019,1759,2349,1128,603,885,385,517,491,89,860,584,115,598,499,162,53,56,138,96,40,91,81,152,31,7,24
2020,2227,2853,1298,639,1106,480,735,700,113,840,536,106,831,586,201,70,53,154,108,95,96,96,220,53,7,31
2021,2582,3704,1316,784,1361,433,1250,930,113,849,598,117,1230,583,264,89,64,143,119,131,83,98,259,36,8,33
2022,2453,3297,1311,798,1366,416,1276,984,111,823,584,98,1319,683,236,82,46,184,129,101,80,94,227,58,7,30
2023,2681,3654,1263,1004,1377,481,1365,1001,119,824,479,139,1448,843,247,112,91,204,144,107,91,91,183,38,10,27
2024,2233,2136,865,748,972,355,769,664,102,557,269,143,506,566,173,92,54,151,78,71,78,87,160,17,17,27
