,Documents,Share
1980,3,2.3150577529740774e-06
1981,3,2.3331287957089095e-06
1982,1,7.574684495454053e-07
1983,1,7.300735549106573e-07
1984,11,7.724626882965582e-06
1985,2,1.3508329235806798e-06
1986,7,4.488290051256273e-06
1987,14,8.515815085158151e-06
1988,13,7.566947109367997e-06
1989,18,9.841039869879584e-06
1990,18,9.046085281466431e-06
1991,24,1.204571348266672e-05
1992,46,2.213873672518031e-05
1993,37,1.7025968282921895e-05
1994,33,1.4412223661988808e-05
1995,39,1.6055520814336016e-05
1996,36,1.3672767379511586e-05
1997,34,1.2459798825554021e-05
1998,34,1.1693669872566513e-05
1999,27,8.972022243969223e-06
2000,35,9.58497864055974e-06
2001,35,9.571712362933079e-06
2002,36,8.4448542805207e-06
2003,43,9.509718711366767e-06
2004,45,9.157613517777167e-06
2005,52,9.902015745728422e-06
2006,65,1.1350016344023535e-05
2007,57,9.106771139971232e-06
2008,74,1.112244397970665e-05
2009,94,1.3037464263131536e-05
2010,96,1.2454015816859546e-05
2011,121,1.4444429058275751e-05
2012,144,1.6673502030577812e-05
2013,119,1.3088341576238874e-05
2014,166,1.7268235829175952e-05
2015,238,2.424907097020431e-05
2016,241,2.3793024773672555e-05
2017,187,1.8748410270158576e-05
2018,259,2.5913685017057507e-05
2019,337,3.276170477523721e-05
2020,255,2.3180762403457805e-05
2021,279,2.768188611473616e-05
2022,259,2.6853341976169576e-05
2023,284,2.8160656944497328e-05
2024,195,2.0677924152737963e-05
