,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,7,11,8,6,4,4,,2,,1,2,2,,,3,1,,1,,,2,,,,,
1981,13,12,8,5,3,6,,2,,,3,,1,,3,5,1,1,,,,,1,,,
1982,15,10,10,1,4,5,1,3,,1,1,,2,,3,2,,,,3,,1,,,,
1983,14,15,11,3,6,5,1,1,1,2,2,1,2,,3,2,,1,1,1,5,,,,,
1984,28,17,8,8,3,6,,2,1,1,5,5,,1,4,1,1,1,,,1,,,,,
1985,29,16,15,1,9,5,,,,3,2,1,1,,5,,1,3,,1,1,,,1,,
1986,26,15,10,2,4,4,2,,,,1,1,1,,6,2,,2,,1,2,1,,,,1
1987,26,30,15,6,8,1,2,2,,1,1,4,,2,5,1,,5,,3,2,1,,,,1
1988,40,10,2,10,3,9,1,1,1,3,,1,2,2,6,,,4,4,1,1,,,,,
1989,48,12,9,4,6,2,,,1,2,1,2,,1,6,1,1,5,4,2,2,,1,,,
1990,53,21,7,2,4,9,1,4,,4,3,,,1,3,2,1,4,4,4,1,,,,,
1991,40,9,8,4,4,12,2,8,,5,3,,1,,,,,4,4,,11,,2,,,
1992,36,21,4,5,10,5,1,2,1,6,2,,,,6,1,1,6,,1,1,,,1,,1
1993,33,16,9,2,5,10,4,,2,7,1,1,2,,2,,4,3,,1,4,,,,,
1994,37,12,7,4,2,6,,,,4,1,,1,1,2,,3,2,1,1,3,,,1,,
1995,42,10,10,3,11,15,1,3,,4,2,,1,,5,,1,4,,,2,,,,,
1996,53,7,5,4,4,8,1,,,8,,,1,1,3,2,,8,,1,3,,1,,,
1997,35,10,4,6,5,2,1,2,,1,2,2,1,1,2,,,1,1,,,1,,,,1
1998,30,7,9,4,,7,5,1,,1,,,,1,5,,,2,,2,1,,,2,,1
1999,26,10,8,9,3,7,,2,1,,1,,,,2,1,,1,1,,,,,3,,
2000,40,7,11,8,3,3,,,1,,,,,,3,,1,2,,,,,,,,
2001,41,14,18,4,5,6,1,3,1,3,,,1,,5,,1,,,,2,,,1,,
2002,38,7,11,,3,3,,,,1,,,,2,5,,1,4,1,,,,,,,
2003,37,3,10,4,4,5,1,,,2,,,3,1,13,,,4,,,,1,,,,
2004,25,10,4,4,2,3,1,1,1,1,,,2,1,5,,,2,,1,1,,,,,
2005,20,9,5,2,5,6,,,,,,,2,,5,1,,,,,1,,,1,,1
2006,42,17,9,,8,10,,2,,3,1,,2,1,2,1,,1,,1,1,,,1,,
2007,43,22,7,,11,4,1,2,,2,,,5,,2,,2,1,,,1,,1,1,,
2008,43,19,16,1,6,16,1,3,,5,2,,3,,5,2,1,6,,,,,2,,,
2009,56,15,11,1,8,4,,3,1,1,,,4,1,4,,2,4,,,2,1,1,1,,
2010,57,23,12,2,6,8,,1,2,,,,2,5,2,,2,2,,,1,,,1,,
2011,53,21,22,2,11,8,1,2,,8,,,5,2,3,,3,4,2,,,,,,,
2012,82,20,11,6,7,9,1,,,4,,,5,1,3,,,8,,,2,,,,,
2013,72,18,13,4,18,15,4,,,12,3,1,4,3,4,,,,,2,2,,,,,
2014,80,24,22,4,15,8,2,2,2,5,2,5,2,3,6,2,2,5,,4,3,2,,,1,1
2015,93,29,24,5,13,18,1,5,3,6,3,2,3,5,9,,2,6,1,1,3,,1,2,1,1
2016,58,27,21,10,33,13,3,1,,5,2,1,7,7,6,1,1,3,,,3,1,,,,
2017,84,20,44,6,25,9,2,1,,3,2,10,5,8,6,1,,6,2,3,4,2,,1,,
2018,70,45,21,11,32,6,3,4,1,2,4,8,2,4,5,,1,8,,1,2,4,,,,
2019,96,29,23,7,28,16,20,3,,10,1,1,5,7,9,1,2,4,1,1,6,2,1,,,
2020,118,38,38,20,21,18,18,2,1,13,,3,2,10,8,,,10,2,1,1,1,,,,
2021,112,32,46,19,38,10,22,5,4,10,1,9,3,15,15,2,1,4,1,3,4,2,2,,,
2022,120,43,48,23,31,22,18,2,1,10,2,5,5,16,6,,1,16,1,3,4,1,1,1,1,
2023,83,26,44,31,36,19,20,2,5,17,,3,6,14,10,2,1,7,,3,4,,1,1,,
2024,90,35,26,39,38,21,16,5,14,8,3,5,5,14,3,1,2,5,3,,5,,2,1,,
