,Documents,Share
1980,58,4.47577832241655e-05
1981,66,5.132883350559601e-05
1982,63,4.772051232136054e-05
1983,77,5.621566372812061e-05
1984,95,6.671268671652094e-05
1985,95,6.416456387008229e-05
1986,84,5.3859480615075265e-05
1987,116,7.05596107055961e-05
1988,104,6.0535576874943975e-05
1989,112,6.123313696813963e-05
1990,130,6.533283814392422e-05
1991,119,5.972666268488915e-05
1992,115,5.5346841812950776e-05
1993,109,5.0157582238878016e-05
1994,90,3.930606453269675e-05
1995,116,4.7754882422127634e-05
1996,111,4.215769942016072e-05
1997,81,2.9683638378525755e-05
1998,84,2.889024321457609e-05
1999,77,2.5586878251319636e-05
2000,79,2.1634666074406273e-05
2001,107,2.9262092080966843e-05
2002,77,1.8062604988891497e-05
2003,89,1.9682906170038192e-05
2004,66,1.3431166492739845e-05
2005,61,1.1615826163258342e-05
2006,103,1.7985410514375756e-05
2007,105,1.6775631047315427e-05
2008,132,1.9840035207044294e-05
2009,123,1.7059660684735945e-05
2010,126,1.6345895759628155e-05
2011,149,1.7786941567628816e-05
2012,160,1.8526113367308683e-05
2013,176,1.935754720519363e-05
2014,205,2.132523099386187e-05
2015,241,2.4554731528652265e-05
2016,203,2.0041427506454475e-05
2017,247,2.4763942977161328e-05
2018,235,2.351241690736878e-05
2019,276,2.6831544563695753e-05
2020,326,2.9635013896185275e-05
2021,364,3.6115435647899505e-05
2022,382,3.960608739342386e-05
2023,337,3.34159908109e-05
2024,345,3.658401965484409e-05
