,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,22,18,51,14,18,8,3,5,2,2,9,,7,2,4,1,,,1,,6,,,,,
1981,23,17,73,14,10,11,2,4,5,2,3,,1,2,3,,,5,1,1,9,2,,,,1
1982,26,22,62,17,17,9,5,4,7,1,,1,6,3,2,,1,7,2,,8,2,,1,,
1983,30,21,66,7,12,5,5,4,3,1,2,,4,5,,,1,6,1,,3,2,,,1,
1984,27,19,87,11,16,9,2,3,3,4,4,2,6,3,4,,3,4,,1,5,,1,,,
1985,27,24,59,16,9,15,1,10,3,6,4,4,7,3,4,3,3,8,2,1,6,1,,,,1
1986,30,25,83,15,19,17,2,5,1,4,5,3,11,2,2,2,2,7,3,3,9,3,1,,,
1987,41,24,81,14,13,18,5,4,3,4,4,1,8,3,1,,1,7,,2,4,2,,1,,2
1988,40,31,73,20,22,17,5,7,,6,4,5,11,6,2,1,,3,,2,3,3,,,1,
1989,42,31,104,13,17,13,6,10,,3,6,3,19,6,4,1,4,8,,2,9,1,,,1,1
1990,61,32,110,18,26,30,6,5,2,14,8,11,9,2,8,,6,12,3,7,10,3,,2,,1
1991,62,30,96,15,27,21,3,6,4,10,5,9,18,6,7,2,3,12,,4,6,2,2,1,1,
1992,80,39,104,17,24,26,7,6,3,4,10,6,15,4,7,4,3,12,,5,6,2,4,1,,1
1993,65,30,112,22,32,25,7,,1,4,13,9,15,5,9,3,5,6,1,2,8,2,1,3,2,
1994,69,41,92,18,28,34,8,4,8,9,5,9,15,11,10,1,1,9,,7,2,5,1,3,1,1
1995,72,37,138,20,29,47,10,5,5,10,10,7,9,4,5,4,6,11,4,3,4,3,1,4,3,3
1996,87,27,94,20,30,30,9,4,5,9,7,7,14,5,9,5,9,20,2,5,6,4,3,3,2,3
1997,110,37,139,28,51,46,4,7,9,9,11,9,21,15,9,4,7,13,,5,3,4,3,2,1,1
1998,111,69,118,36,31,48,12,9,3,13,13,17,26,14,16,3,9,32,,3,1,1,6,1,1,3
1999,107,61,138,17,45,42,8,6,6,11,10,8,34,15,20,3,13,21,1,5,5,7,3,,,2
2000,98,68,162,31,81,64,16,8,5,29,3,13,31,11,17,4,5,14,,9,9,4,2,,,3
2001,90,69,127,30,41,45,9,3,9,18,12,20,29,22,18,1,10,17,1,6,9,6,1,,3,2
2002,101,87,162,60,55,53,38,14,9,22,14,27,40,21,23,4,4,21,1,18,2,6,5,2,1,2
2003,173,95,146,52,73,76,41,5,9,16,15,16,47,30,24,6,8,17,3,13,9,10,3,1,,3
2004,185,137,131,69,60,64,32,17,17,24,19,37,33,25,21,12,8,16,7,6,7,6,2,2,8,2
2005,192,118,132,67,69,70,32,15,22,25,22,25,58,39,28,8,5,23,3,11,8,13,3,6,2,5
2006,227,155,130,94,101,55,49,13,22,15,18,19,81,43,28,6,11,20,,7,17,8,5,2,4,2
2007,263,157,147,83,115,91,60,26,15,28,30,32,69,37,34,11,9,25,8,9,7,15,1,1,1,
2008,311,211,256,82,118,125,46,33,15,44,37,36,100,70,33,8,18,23,1,17,12,8,2,6,6,2
2009,364,290,196,108,142,110,53,53,10,47,39,32,134,78,39,8,18,24,5,10,17,14,1,7,5,2
2010,352,320,215,132,177,116,84,55,28,53,55,45,164,72,25,18,17,34,8,19,10,16,10,4,12,
2011,443,302,224,148,184,103,73,73,31,61,42,34,138,86,49,21,20,23,16,22,19,26,14,4,6,1
2012,520,499,279,197,214,138,147,90,41,90,69,46,174,135,43,23,26,42,19,35,17,22,23,13,7,
2013,635,552,368,215,259,160,130,112,46,86,91,44,158,106,50,27,26,57,15,30,23,29,13,10,9,1
2014,670,616,408,290,290,219,208,139,65,118,114,50,184,153,70,29,23,70,24,44,27,42,11,14,11,3
2015,774,820,473,368,356,234,218,181,87,97,118,70,233,183,69,22,41,65,24,43,44,36,10,14,10,6
2016,729,821,463,347,435,199,219,171,105,98,165,48,176,168,67,22,50,61,30,40,38,39,8,6,8,6
2017,835,960,509,525,463,261,353,201,146,118,158,73,185,231,97,42,56,65,53,61,39,82,10,18,13,6
2018,1036,1151,627,605,476,249,476,274,163,175,238,94,206,242,92,40,51,84,44,51,45,65,23,13,12,4
2019,1204,1290,692,704,623,327,691,306,173,203,191,86,231,316,105,62,71,101,61,79,54,118,22,28,10,3
2020,1603,1598,875,771,767,383,582,449,168,267,206,80,294,364,119,62,79,111,77,145,85,110,29,37,15,4
2021,1807,2348,950,781,819,448,813,698,141,332,287,74,383,422,167,69,57,96,79,156,89,129,38,27,9,6
2022,2066,2763,999,886,872,463,1146,779,126,476,353,87,431,583,161,94,78,138,74,190,82,185,25,37,9,13
2023,2142,3503,1141,1162,1073,490,1602,1023,171,542,438,111,503,932,147,98,99,142,73,201,93,246,36,28,12,12
2024,2025,2478,827,1061,859,446,1202,785,136,494,302,76,336,683,121,96,78,122,72,117,80,223,35,25,10,11
