,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,30,13,32,6,10,15,1,2,3,1,3,13,2,,9,5,17,3,,5,2,1,,2,2,1
1981,26,18,30,12,20,14,2,6,5,6,20,12,1,3,7,3,26,3,3,2,1,,,1,,2
1982,42,17,35,13,16,14,2,6,4,3,13,17,1,2,4,7,20,3,,5,3,1,1,5,3,1
1983,26,28,48,14,15,23,4,10,7,,21,18,2,1,4,8,14,,1,4,1,3,,2,,1
1984,35,21,25,13,12,10,2,10,5,3,19,24,3,1,8,8,21,4,,5,1,,,1,,3
1985,36,30,24,15,15,16,1,11,2,2,10,33,2,2,13,4,12,,,8,2,3,,1,1,1
1986,39,28,27,14,9,15,3,8,9,4,14,23,2,2,8,7,18,1,,1,1,1,,,,2
1987,45,15,23,6,14,21,11,10,9,5,17,28,4,1,4,4,25,6,1,4,2,1,,,1,1
1988,50,26,36,18,21,43,9,8,12,1,7,35,6,1,9,12,27,3,1,7,,1,,2,3,6
1989,46,32,26,22,22,34,5,13,6,3,10,29,4,1,10,12,18,5,,5,,2,,1,2,4
1990,91,34,30,22,17,37,10,17,3,12,9,35,5,4,10,11,24,7,1,13,1,4,1,2,3,
1991,84,20,21,23,17,37,10,9,5,11,17,33,2,4,23,16,23,5,,10,,1,,1,1,2
1992,62,21,29,40,22,25,10,14,3,6,10,39,3,,5,13,15,2,2,9,,5,1,1,4,4
1993,71,23,25,33,18,42,14,18,15,7,32,51,4,1,11,5,33,3,1,7,1,4,2,4,3,2
1994,76,34,33,38,42,37,18,10,19,9,23,34,2,2,11,10,22,4,,11,1,1,1,6,,1
1995,78,43,23,56,34,46,11,17,23,8,25,39,4,1,11,14,22,12,1,11,3,2,1,2,2,3
1996,105,48,44,74,26,45,17,24,34,4,28,52,7,6,14,18,24,7,,17,2,4,1,4,2,1
1997,93,57,33,77,26,43,24,17,33,12,31,63,8,7,11,11,29,14,2,17,2,3,4,2,2,1
1998,124,62,33,63,42,64,19,23,52,12,39,57,9,8,13,9,42,7,3,11,4,3,4,3,2,1
1999,140,63,46,52,37,59,13,17,71,15,43,42,6,10,16,20,37,15,3,16,1,4,2,4,5,1
2000,104,77,37,49,57,57,25,22,61,23,59,84,11,9,18,21,34,12,2,16,2,3,3,3,,1
2001,141,83,36,63,32,62,19,25,63,12,40,81,9,10,16,13,30,19,5,9,1,8,6,8,,5
2002,120,74,43,116,34,67,69,20,85,14,49,106,10,13,22,18,27,9,5,16,3,3,3,8,,1
2003,197,108,39,129,57,77,49,26,68,23,58,75,4,18,29,26,46,11,4,23,2,9,4,5,3,3
2004,226,107,55,111,67,97,36,13,60,14,56,82,15,10,14,30,40,20,4,7,,9,9,4,2,7
2005,228,98,66,161,76,107,38,36,75,19,49,81,11,19,21,15,37,23,6,14,8,5,5,5,1,6
2006,279,127,66,199,100,132,85,57,101,30,48,116,14,18,35,36,51,35,10,17,4,13,9,4,1,9
2007,300,114,82,158,110,143,80,24,101,36,53,101,27,23,32,28,48,27,9,17,4,8,11,2,4,5
2008,356,147,74,149,128,129,72,46,127,37,75,103,23,24,33,27,37,20,11,13,4,20,4,7,2,5
2009,397,158,69,165,139,151,72,52,117,36,70,117,16,31,36,40,42,16,13,16,6,17,9,2,2,7
2010,422,163,94,188,128,197,56,41,125,45,36,82,25,30,36,38,45,27,16,14,11,13,10,10,1,3
2011,406,145,91,138,105,162,78,49,123,40,34,88,25,38,36,26,30,23,12,19,2,15,12,2,2,8
2012,455,192,85,214,136,165,84,47,144,31,33,72,22,47,32,45,39,20,16,14,5,23,10,11,4,6
2013,510,186,107,173,114,173,59,75,119,44,56,80,40,51,33,45,41,33,15,23,9,22,11,4,3,4
2014,491,186,97,192,164,173,57,77,157,61,63,76,38,56,36,49,40,34,19,9,14,20,1,13,3,5
2015,488,270,101,186,166,196,88,129,139,54,78,65,56,68,70,51,32,29,15,23,11,21,11,9,4,7
2016,531,315,115,217,166,162,92,118,139,62,69,62,49,59,38,55,51,23,23,26,5,24,11,7,7,4
2017,594,296,105,166,195,194,90,100,117,80,67,65,60,84,44,40,29,27,24,20,10,26,9,4,9,3
2018,648,322,129,187,206,204,103,73,103,90,62,54,49,70,48,45,25,42,16,14,6,25,12,10,11,7
2019,782,341,136,174,268,221,93,95,89,101,87,60,55,62,49,62,30,34,24,15,12,23,12,6,8,2
2020,951,429,179,382,251,272,122,126,106,128,92,51,49,83,50,100,43,50,20,44,14,43,19,12,10,5
2021,893,431,153,167,261,253,98,122,97,84,97,86,61,90,50,74,29,29,21,24,15,26,15,5,4,2
2022,897,278,154,154,203,267,95,181,74,78,68,66,46,69,35,56,24,41,18,18,15,18,18,13,8,1
2023,991,307,166,235,235,232,88,115,57,90,76,73,51,74,45,52,29,60,25,18,4,13,12,9,5,1
2024,888,267,133,246,181,240,73,109,56,85,36,47,47,44,31,61,20,35,16,11,15,26,9,6,5,3
