,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,"Biochemistry, Genetics and Molecular Biology",Computer Science,Psychology,Materials Science,Health Professions,Arts and Humanities,Physics and Astronomy,"Economics, Econometrics and Finance","Business, Management and Accounting",Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,3,,,,,,,,,,1,,,,,,,,,,,,,,
1981,,3,,,,,,,,,,,,,,,,,,,,,,,,
1982,1,1,,,,,,,,,,,,,,,,,,,,,,,,
1983,,4,2,1,,,,,,,,,,,,,,,,,,,,,1,
1984,,2,,,,,,,,,,1,,,,,,,,,,,,,,
1985,3,2,2,2,,1,1,,,,1,,1,,,1,2,,,,,,,,,
1986,1,6,1,1,,2,,,,,,1,,,1,,3,,,1,,,,,,
1987,,9,2,,,3,,,1,,1,,,,,,1,,,,,,,,,
1988,2,8,2,1,1,1,,,,,,,,,,,6,,,,,,,,,
1989,1,11,2,2,,2,,,,,1,2,,,1,3,3,,,1,,1,,,,
1990,2,4,,,,,,,,1,,,,1,,,2,,,,,,,,,
1991,1,3,2,,,,,1,,,,1,1,,,,,,,,,,,,,
1992,2,3,3,,,,1,,1,,1,1,,,,,3,,,1,,,,,,
1993,3,4,1,2,,,,2,1,1,,,,,,,2,,,,,,,,,
1994,2,4,1,6,,,1,1,3,,1,,1,,1,1,3,,,1,,,,,1,
1995,8,9,4,1,1,1,,1,4,1,1,2,,,,,,,,,,,,,,
1996,1,4,4,8,1,2,2,2,1,1,,4,,1,,1,4,,1,2,,,,,,
1997,2,7,2,7,2,1,2,3,1,1,,1,1,1,,3,2,,,2,,1,,,,
1998,6,2,4,3,,2,2,2,2,1,2,6,,1,,1,7,1,,3,,1,,,,
1999,9,6,4,8,,2,2,6,1,,1,4,,1,,,9,,,4,,,,,,
2000,11,8,6,8,6,,4,5,2,1,3,9,,,3,2,7,,1,4,1,1,,,4,
2001,20,10,4,10,5,1,2,6,3,,2,4,1,1,1,,7,,1,5,,,,,1,
2002,21,14,8,18,6,5,5,5,4,2,2,6,1,1,2,1,17,1,2,5,1,2,,,2,
2003,21,14,7,21,12,8,5,4,7,3,2,10,3,7,2,2,12,1,2,11,1,1,,,2,1
2004,44,21,13,12,8,6,4,9,3,3,6,14,7,4,5,1,14,,1,5,1,,,,1,1
2005,33,20,5,14,18,8,5,9,6,7,5,13,4,5,8,4,10,,1,12,,3,1,,2,
2006,55,16,11,23,14,7,13,7,7,9,2,8,3,5,9,3,16,2,2,7,1,1,1,,4,
2007,60,38,12,31,16,16,13,4,10,11,1,17,3,5,5,,18,1,,11,4,5,1,2,7,
2008,79,21,17,45,19,24,20,10,5,8,2,12,7,3,6,,26,5,,5,2,1,1,1,2,
2009,82,31,13,39,22,26,12,10,11,8,2,8,3,9,7,4,32,5,2,4,2,3,2,,4,
2010,117,64,18,45,20,25,39,13,18,12,6,6,7,22,14,6,37,9,1,4,3,11,4,10,4,
2011,95,51,23,63,28,18,66,9,22,7,7,22,5,15,13,4,32,4,6,9,5,6,4,1,9,
2012,159,65,36,51,38,32,74,14,35,18,7,17,8,19,9,6,47,2,10,16,5,7,4,3,11,1
2013,164,59,26,93,54,42,57,22,38,22,13,31,7,32,16,8,37,11,13,12,9,7,6,2,3,
2014,227,60,32,75,54,55,76,18,51,28,19,24,10,33,13,5,46,11,10,22,8,13,23,5,7,
2015,227,77,38,83,46,41,86,28,47,28,23,20,8,23,9,8,34,12,18,21,8,13,6,6,4,3
2016,183,103,40,93,44,35,79,29,52,25,27,18,18,28,15,5,42,15,19,17,12,12,2,7,4,3
2017,252,126,49,126,62,55,125,57,39,59,26,25,13,42,13,9,54,7,17,20,7,13,4,5,2,4
2018,294,121,61,133,48,53,116,42,56,43,35,30,24,48,10,5,29,5,17,20,10,16,8,9,2,2
2019,310,145,57,201,75,74,166,37,68,72,37,32,25,76,9,15,24,20,27,45,12,13,10,11,3,1
2020,394,255,55,211,83,65,153,104,63,83,33,42,32,95,8,13,33,15,25,32,11,20,20,8,5,1
2021,504,209,99,224,91,87,187,136,63,73,42,38,31,87,18,14,25,17,27,56,14,37,13,12,4,7
2022,612,277,103,297,95,70,189,125,95,91,39,47,44,121,26,24,33,24,24,48,13,26,19,8,5,2
2023,782,271,83,332,123,136,236,131,98,102,42,44,38,158,36,26,39,29,52,45,21,29,25,15,4,3
2024,842,202,73,198,63,108,186,125,82,111,28,21,38,105,6,24,31,19,20,23,17,27,24,4,,2
