,Documents,Share
1980,1,7.716859176580258e-07
1981,2,1.555419197139273e-06
1982,1,7.574684495454053e-07
1983,,
1984,4,2.8089552301693025e-06
1985,4,2.7016658471613596e-06
1986,,
1987,,
1988,,
1989,1,5.467244372155324e-07
1990,,
1991,1,5.019047284444467e-07
1992,3,1.4438306559900203e-06
1993,1,4.6016130494383503e-07
1994,3,1.3102021510898916e-06
1995,2,8.233600417608213e-07
1996,3,1.1393972816259654e-06
1997,3,1.0993940140194725e-06
1998,4,1.3757258673607663e-06
1999,4,1.329188480588033e-06
2000,4,1.0954261303496847e-06
2001,9,2.4612974647542203e-06
2002,6,1.4074757134201167e-06
2003,6,1.3269374946093163e-06
2004,8,1.628020180938163e-06
2005,18,3.4276208350598385e-06
2006,15,2.619234540928508e-06
2007,11,1.7574470620997114e-06
2008,12,1.803639564276754e-06
2009,12,1.6643571399742386e-06
2010,9,1.1675639828305823e-06
2011,17,2.0293825949643616e-06
2012,14,1.6210349196395096e-06
2013,12,1.3198327639904748e-06
2014,10,1.0402551704322863e-06
2015,25,2.5471713203996124e-06
2016,21,2.0732511213573596e-06
2017,38,3.809837381101743e-06
2018,37,3.701955002436787e-06
2019,32,3.1109037175299423e-06
2020,39,3.5452930734700172e-06
2021,62,6.151530247719147e-06
2022,93,9.642319705728844e-06
2023,59,5.850277322976557e-06
2024,47,4.983909923993253e-06
