,Documents,Share
1980,16,1.2346974682528413e-05
1981,10,7.777095985696366e-06
1982,23,1.7421774339544323e-05
1983,20,1.4601471098213145e-05
1984,24,1.6853731381015815e-05
1985,15,1.0131246926855099e-05
1986,43,2.7570924600574243e-05
1987,25,1.5206812652068127e-05
1988,33,1.9208404200703378e-05
1989,18,9.841039869879584e-06
1990,37,1.8594730856347662e-05
1991,57,2.860856952133346e-05
1992,94,4.524002722102063e-05
1993,46,2.116742002741641e-05
1994,56,2.4457106820344643e-05
1995,69,2.8405921440748335e-05
1996,91,3.4561717542654285e-05
1997,66,2.4186668308428395e-05
1998,73,2.5106997079333984e-05
1999,49,1.6282558887203404e-05
2000,74,2.0265383411469166e-05
2001,82,2.2425154678871785e-05
2002,118,2.7680355697262296e-05
2003,100,2.2115624910155273e-05
2004,110,2.238527748789974e-05
2005,185,3.522832524922612e-05
2006,178,3.1081583219018296e-05
2007,191,3.0515671714640445e-05
2008,191,2.8707929731405e-05
2009,320,4.438285706597969e-05
2010,337,4.371878469043403e-05
2011,432,5.1570193001447305e-05
2012,390,4.515740133281491e-05
2013,659,7.248081595581024e-05
2014,704,7.323396399843295e-05
2015,765,7.794344240422814e-05
2016,1045,0.00010316892484849717
2017,1257,0.00012602541021170766
2018,1241,0.0001241655718384879
2019,1609,0.00015642012754705242
2020,1870,0.00016999225762535724
2021,1799,0.00017849359541365718
2022,1732,0.00017957524441206837
2023,2006,0.00019890942898120295
2024,1563,0.00016574151513194585
